exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	816	796	70.732	41	18.9	0.1	blastn,tblastx	815.75
1	2341	2342	100.0	683	1017.0	0.0	blastn,tblastx	2342.0
1	4438	4499	75.862	32	21.7	0.079	blastn,tblastx	4468.75
1	4894	4859	78.947	19	21.7	0.37	blastn,tblastx	4872.5
1	6388	6364	80.0	25	19.9	4.0	blastn,tblastx	6379.0
1	6806	6832	83.333	24	19.4	1.8	blastn,tblastx	6819.0
1	6876	6925	78.571	28	20.7	3.6	blastn,tblastx	6896.0
1	7149	7164	76.667	30	22.9	0.96	blastn,tblastx	7159.5
1	9122	9084	78.947	31	24.9	0.14	blastn,tblastx	9109.0
2	3283	3284	100.0	164	246.0	7.77e-69	blastn,tblastx	3283.5
2	4117	4080	84.211	19	19.2	0.79	blastn,tblastx	4098.5
2	4796	4771	74.074	27	17.1	1.5	blastn,tblastx	4783.5
3	3586	3587	100.0	134	201.0	1.61e-55	blastn,tblastx	3586.5
3	6574	6618	83.333	24	18.0	0.58	blastn,tblastx	6590.5
4	4971	4972	100.0	94	142.0	8.04e-38	blastn,tblastx	4971.5
5	5448	5612	100.0	167	250.0	3.61e-70	blastn,tblastx	5530.0
6	7308	7308	100.0	54	83.1	2.92e-20	blastn,tblastx	7307.5
