exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	4206	4206	100.0	4411	6557.0	0.0	blastn,tblastx	4206.0
1	9484	9450	83.333	18	23.1	4.2	blastn,tblastx	9467.5
1	10150	10125	84.211	22	23.5	0.055	blastn,tblastx	10137.25
1	25861	25922	70.588	68	26.6	1.6	blastn,tblastx	25883.0
1	37206	37164	83.333	22	22.6	5.8	blastn,tblastx	37185.0
2	7972	7972	100.0	123	185.0	4.78e-50	blastn,tblastx	7972.0
2	28303	28279	78.261	23	18.4	9.0	blastn,tblastx	28294.0
3	8982	8982	100.0	138	207.0	1.08e-56	blastn,tblastx	8981.5
3	10514	10466	73.81	42	22.9	0.89	blastn,tblastx	10474.0
3	29530	29564	84.211	19	19.2	1.6	blastn,tblastx	29551.5
4	8644	8606	75.0	24	22.1	0.14	blastn,tblastx	8625.25
4	9621	9765	100.0	146	219.0	3.04e-60	blastn,tblastx	9692.5
4	15270	15234	80.952	21	19.2	3.3	blastn,tblastx	15251.0
4	32620	32622	67.797	59	17.7	3.1	blastn,tblastx	32620.75
4	34822	34836	70.455	44	18.5	1.8	blastn,tblastx	34820.5
5	616	594	79.167	24	20.8	0.34	blastn,tblastx	608.75
5	10553	10760	100.0	209	313.0	3.09e-88	blastn,tblastx	10657.0
5	35214	35278	72.5	40	19.9	1.2	blastn,tblastx	35249.0
5	37858	37819	83.333	32	20.2	0.93	blastn,tblastx	37838.75
6	11186	11188	100.0	90	136.0	1.81e-35	blastn,tblastx	11186.5
7	25748	25724	83.333	22	18.9	2.0	blastn,tblastx	25736.5
8	8352	8406	84.211	30	19.9	2.0	blastn,tblastx	8378.75
8	17130	17318	100.0	191	286.0	3.12e-80	blastn,tblastx	17224.0
9	11447	11433	76.667	30	19.2	7.1	blastn,tblastx	11440.0
9	12837	12802	79.167	30	22.1	0.083	blastn,tblastx	12819.25
9	17693	17833	100.0	141	212.0	5.02e-58	blastn,tblastx	17763.0
9	21375	21404	75.862	29	19.9	7.1	blastn,tblastx	21392.0
9	26408	26388	74.286	35	20.7	1.2	blastn,tblastx	26397.0
9	33360	33378	78.788	33	24.4	0.2	blastn,tblastx	33357.0
10	18616	18616	100.0	64	97.9	4.69e-24	blastn,tblastx	18615.5
11	19146	19238	100.0	93	141.0	8.65e-37	blastn,tblastx	19192.0
12	20524	20623	100.0	101	152.0	2.57e-40	blastn,tblastx	20573.0
13	21802	21802	100.0	78	118.0	3.46e-30	blastn,tblastx	21801.5
14	25360	25361	100.0	113	170.0	1.27e-45	blastn,tblastx	25361.0
15	26067	26068	100.0	87	132.0	3.79e-34	blastn,tblastx	26068.0
16	35942	36010	88.889	40	21.4	0.26	blastn,tblastx	35972.5
16	36114	36243	66.258	163	35.5	0.000197	blastn,tblastx	36159.75
16	36271	36556	100.0	286	427.0	1.59e-122	blastn,tblastx	36413.5
