exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	164	2001	2164	100.0	164	exon	CDS
1	36	53	8185	8201	88.889	18	exon	exon
1	138	163	2670	2692	76.923	26	exon	intron
1	94	147	9507	9563	67.742	62	exon	intron
1	27	58	5723	5692	71.429	35	exon	intron
1	97	126	4640	4611	71.875	32	exon	intron
1	2	20	4816	4798	76.19	21	exon	intron
1	120	140	6987	6967	77.273	22	exon	intron
1	2	20	8000	7984	78.947	19	exon	intron
2	1	99	4016	4114	100.0	99	exon	CDS
2	64	94	2225	2190	77.778	36	exon	intron
2	48	67	4810	4832	82.609	23	exon	intron
2	20	48	6100	6124	75.862	29	exon	intron
2	1	46	10235	10282	71.154	52	exon	intron
2	31	55	6948	6972	77.778	27	exon	intron
2	10	28	2411	2427	84.211	19	exon	intron
2	11	29	8396	8380	84.211	19	exon	intron
2	75	92	10226	10209	83.333	18	exon	intron
2	31	59	10597	10628	75.0	32	exon	intron
2	66	86	3123	3105	80.952	21	exon	intron
2	17	34	8255	8236	80.952	21	exon	intron
2	22	41	2567	2549	80.0	20	exon	intron
2	4	22	4191	4209	78.947	19	exon	intron
2	68	84	4812	4794	78.947	19	exon	intron
2	35	62	412	434	71.429	28	exon	intron
2	55	70	1224	1242	78.947	19	exon	intron
2	73	97	4232	4254	73.077	26	exon	intron
2	56	84	3738	3713	70.968	31	exon	intron
2	66	85	6428	6448	76.19	21	exon	intron
2	53	73	8381	8400	76.19	21	exon	exon
2	67	92	10004	9969	66.667	36	exon	intron
2	65	85	544	562	76.19	21	exon	intron
2	8	27	6357	6376	76.19	21	exon	intron
2	39	61	7510	7491	73.913	23	exon	intron
2	25	60	8472	8515	65.909	44	exon	exon
2	61	75	10078	10061	77.778	18	exon	intron
2	14	45	10489	10454	69.444	36	exon	intron
3	1	38	6060	6097	100.0	38	exon	CDS
4	1	94	6603	6696	100.0	94	exon	CDS
4	32	61	8628	8654	80.0	30	exon	exon
4	30	80	6450	6497	72.222	54	exon	intron
4	6	64	4847	4782	68.116	69	exon	intron
4	64	81	9824	9841	84.211	19	exon	intron
4	61	77	10147	10165	84.211	19	exon	intron
4	69	84	4417	4401	83.333	18	exon	intron
4	57	76	9	32	75.0	24	exon	intron
4	11	36	3219	3189	71.875	32	exon	intron
4	69	87	4332	4353	77.273	22	exon	intron
4	1	31	10588	10554	71.429	35	exon	intron
4	32	50	8355	8338	78.947	19	exon	intron
4	58	77	8145	8160	75.0	20	exon	CDS
5	1	641	8138	8778	100.0	641	exon	CDS
5	253	350	9348	9447	66.972	109	exon	intron
5	254	301	1306	1349	72.549	51	exon	intron
5	358	389	7073	7101	78.788	33	exon	intron
5	491	517	6634	6663	80.0	30	exon	CDS
5	480	503	5689	5663	81.481	27	exon	intron
5	266	305	5871	5839	72.5	40	exon	intron
5	331	354	5431	5410	80.0	25	exon	intron
5	504	528	6503	6527	80.769	26	exon	intron
5	19	37	10161	10181	85.714	21	exon	intron
5	532	561	2188	2216	76.667	30	exon	intron
5	104	124	3244	3265	82.609	23	exon	intron
5	463	485	9860	9836	80.0	25	exon	intron
5	583	602	5851	5872	81.818	22	exon	intron
5	427	447	6088	6108	80.952	21	exon	CDS
5	325	342	6863	6881	84.211	19	exon	intron
5	498	521	1191	1165	77.778	27	exon	intron
5	536	556	7699	7718	80.952	21	exon	intron
5	221	238	10412	10429	83.333	18	exon	intron
5	27	64	5865	5901	71.795	39	exon	intron
5	306	325	6114	6097	80.0	20	exon	intron
5	470	505	4396	4430	69.231	39	exon	intron
5	582	605	4274	4297	75.0	24	exon	intron
