exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	427	2	2427	2002	100.0	142	358.0	2.78e-102	-1	tblastx:e1e1
1	3	428	2003	2428	100.0	142	351.0	4.48e-100	2	tblastx:e1e1
1	428	3	2428	2003	100.0	142	335.0	3.01e-95	-3	tblastx:e1e1
1	426	1	2426	2001	100.0	142	334.0	5.69e-95	-2	tblastx:e1e1
1	2	427	2002	2427	100.0	142	333.0	1.07e-94	1	tblastx:e1e1
1	1	426	2001	2426	100.0	142	329.0	1.87e-93	3	tblastx:e1e1
1	355	320	4417	4452	58.333	12	24.4	0.1	1	tblastx:e1e1
1	276	329	7109	7162	44.444	18	21.7	0.67	2	tblastx:e1e1
1	108	161	22227	22174	44.444	18	21.7	0.67	-1	tblastx:e1e1
1	319	299	27671	27651	85.714	7	21.2	0.92	-2	tblastx:e1e1
1	249	226	24232	24209	62.5	8	20.3	1.7	-3	tblastx:e1e1
1	343	320	24768	24791	62.5	8	20.3	1.7	3	tblastx:e1e1
1	285	226	2222	2281	35.0	20	19.9	2.4	2	tblastx:e1e1
1	193	246	26542	26489	50.0	18	19.9	2.4	-3	tblastx:e1e1
1	82	47	10059	10094	58.333	12	19.9	2.4	3	tblastx:e1e1
1	222	281	2285	2226	35.0	20	19.9	2.4	-2	tblastx:e1e1
1	353	418	27180	27245	36.364	22	19.9	2.4	3	tblastx:e1e1
1	60	19	4710	4669	57.143	14	19.4	3.3	-1	tblastx:e1e1
1	362	427	2805	2870	31.818	22	18.9	4.5	3	tblastx:e1e1
1	356	330	3064	3090	77.778	9	18.9	4.5	1	tblastx:e1e1
1	22	72	10632	10682	35.294	17	18.9	4.5	3	tblastx:e1e1
1	73	123	12312	12262	35.294	17	18.9	4.5	-1	tblastx:e1e1
1	85	23	23996	24058	38.095	21	18.9	4.5	2	tblastx:e1e1
1	346	332	3468	3482	100.0	5	18.5	6.2	3	tblastx:e1e1
1	328	302	12179	12153	66.667	9	18.5	6.2	-2	tblastx:e1e1
1	91	62	3958	3987	60.0	10	18.0	8.5	1	tblastx:e1e1
1	397	371	25369	25343	66.667	9	18.0	8.5	-3	tblastx:e1e1
1	223	252	13811	13782	40.0	10	18.0	8.5	-2	tblastx:e1e1
1	42	104	25652	25714	28.571	21	18.0	8.5	2	tblastx:e1e1
1	320	367	1192	1145	43.75	16	18.0	8.5	-3	tblastx:e1e1
2	99	1	3127	3029	100.0	33	82.2	4.24e-20	-3	tblastx:e1e1
2	3	98	3031	3126	100.0	32	82.2	4.3e-20	1	tblastx:e1e1
2	97	2	3125	3030	100.0	32	79.4	2.89e-19	-2	tblastx:e1e1
2	1	99	3029	3127	100.0	33	75.8	3.67e-18	2	tblastx:e1e1
2	2	97	3030	3125	100.0	32	75.8	3.67e-18	3	tblastx:e1e1
2	98	3	3126	3031	100.0	32	74.8	6.93e-18	-1	tblastx:e1e1
2	6	38	27369	27337	72.727	11	21.7	0.069	-1	tblastx:e1e1
2	36	62	2356	2330	77.778	9	18.9	0.47	-3	tblastx:e1e1
2	73	41	11613	11581	54.545	11	18.5	0.64	-1	tblastx:e1e1
2	11	46	23266	23301	58.333	12	18.0	0.88	1	tblastx:e1e1
2	82	56	25037	25011	66.667	9	17.6	1.2	-2	tblastx:e1e1
2	39	13	18264	18238	44.444	9	17.0	1.8	-1	tblastx:e1e1
2	67	96	1228	1257	60.0	10	16.6	2.3	1	tblastx:e1e1
2	34	8	16940	16914	55.556	9	16.6	2.3	-2	tblastx:e1e1
2	83	66	1244	1227	100.0	6	16.6	2.3	-2	tblastx:e1e1
2	72	86	28341	28355	80.0	5	16.6	2.3	3	tblastx:e1e1
2	2	22	1521	1541	57.143	7	16.2	3.1	3	tblastx:e1e1
2	64	14	19252	19302	47.059	17	15.7	4.3	1	tblastx:e1e1
2	86	63	7305	7282	62.5	8	15.7	4.3	-1	tblastx:e1e1
2	4	24	4311	4291	71.429	7	15.7	4.3	-1	tblastx:e1e1
2	79	65	3697	3683	80.0	5	15.7	4.3	-3	tblastx:e1e1
2	50	70	6067	6087	85.714	7	15.3	5.9	1	tblastx:e1e1
2	2	19	11225	11242	66.667	6	15.3	5.9	2	tblastx:e1e1
2	34	99	20257	20322	36.364	22	15.3	5.9	1	tblastx:e1e1
