exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1	687	2001	2687	100.0	229	550.0	6.51e-160	3	tblastx:e1e1
1	688	2	2688	2002	100.0	229	539.0	9.68e-157	-1	tblastx:e1e1
1	687	1	2687	2001	100.0	229	532.0	1.13e-154	-2	tblastx:e1e1
1	2	688	2002	2688	100.0	229	531.0	2.94e-154	1	tblastx:e1e1
1	3	689	2003	2689	100.0	229	520.0	6.01e-151	2	tblastx:e1e1
1	689	3	2689	2003	100.0	229	511.0	1.83e-148	-3	tblastx:e1e1
1	281	228	15189	15242	44.444	18	26.3	0.03	3	tblastx:e1e1
1	532	582	9939	9989	41.176	17	21.2	0.98	3	tblastx:e1e1
1	670	614	13066	13122	42.105	19	21.2	0.98	1	tblastx:e1e1
1	453	352	1623	1724	35.294	34	20.8	1.3	3	tblastx:e1e1
1	150	97	11921	11868	44.444	18	20.3	1.8	-2	tblastx:e1e1
1	174	154	7517	7537	85.714	7	20.3	1.8	2	tblastx:e1e1
1	346	311	7953	7918	58.333	12	20.3	1.8	-1	tblastx:e1e1
1	153	173	13320	13300	100.0	7	19.9	2.5	-1	tblastx:e1e1
1	487	455	8806	8838	45.455	11	19.9	2.5	1	tblastx:e1e1
1	497	459	14929	14967	53.846	13	19.9	2.5	1	tblastx:e1e1
1	647	664	13789	13806	83.333	6	19.4	3.5	1	tblastx:e1e1
1	558	590	12041	12009	54.545	11	18.9	4.8	-2	tblastx:e1e1
1	44	67	5972	5995	62.5	8	18.9	4.8	2	tblastx:e1e1
1	273	232	276	317	35.714	14	18.5	6.6	3	tblastx:e1e1
1	211	179	12479	12447	45.455	11	18.5	6.6	-2	tblastx:e1e1
1	97	171	5845	5919	36.0	25	18.5	6.6	1	tblastx:e1e1
1	601	630	6365	6336	40.0	10	18.5	6.6	-2	tblastx:e1e1
1	157	177	1105	1125	71.429	7	18.0	9.0	1	tblastx:e1e1
1	85	20	4516	4581	40.909	22	18.0	9.0	1	tblastx:e1e1
1	665	618	11734	11687	31.25	16	18.0	9.0	-3	tblastx:e1e1
1	135	152	6564	6581	100.0	6	18.0	9.0	3	tblastx:e1e1
1	294	341	7901	7948	43.75	16	18.0	9.0	2	tblastx:e1e1
1	627	601	9404	9430	77.778	9	18.0	9.0	2	tblastx:e1e1
1	172	155	13301	13318	100.0	6	18.0	9.0	2	tblastx:e1e1
1	405	361	14222	14266	40.0	15	18.0	9.0	2	tblastx:e1e1
1	116	142	14433	14459	66.667	9	18.0	9.0	3	tblastx:e1e1
1	473	393	2476	2396	37.037	27	18.0	9.0	-3	tblastx:e1e1
1	476	396	2473	2393	37.037	27	18.0	9.0	-3	tblastx:e1e1
2	2	136	2960	3094	100.0	45	120.0	1.3e-31	2	tblastx:e1e1
2	134	3	3092	2961	100.0	44	118.0	6.16e-31	-2	tblastx:e1e1
2	136	2	3094	2960	100.0	45	113.0	1.59e-29	-3	tblastx:e1e1
2	3	134	2961	3092	100.0	44	112.0	2.87e-29	3	tblastx:e1e1
2	135	1	3093	2959	100.0	45	108.0	7.17e-28	-1	tblastx:e1e1
2	1	135	2959	3093	100.0	45	106.0	2.45e-27	1	tblastx:e1e1
2	59	6	3644	3697	55.556	18	25.2	0.007	2	tblastx:e1e1
2	106	38	13280	13348	34.783	23	22.6	0.045	2	tblastx:e1e1
2	48	101	15344	15291	38.889	18	22.1	0.059	-2	tblastx:e1e1
2	27	50	16489	16466	75.0	8	18.9	0.059	-3	tblastx:e1e1
2	91	129	9731	9693	46.154	13	18.0	0.059	-2	tblastx:e1e1
2	109	38	1039	968	33.333	24	21.2	0.12	-3	tblastx:e1e1
2	71	36	3445	3480	58.333	12	17.9	1.1	1	tblastx:e1e1
2	66	113	17393	17440	25.0	16	17.6	1.4	2	tblastx:e1e1
2	49	35	16467	16481	100.0	5	17.1	2.0	3	tblastx:e1e1
2	116	78	10798	10836	61.538	13	16.6	2.2	1	tblastx:e1e1
2	56	15	10866	10907	35.714	14	14.8	2.2	3	tblastx:e1e1
2	57	77	3414	3394	42.857	7	16.6	2.8	-1	tblastx:e1e1
2	35	67	9252	9284	45.455	11	16.2	3.6	3	tblastx:e1e1
2	132	97	16284	16249	41.667	12	16.2	3.8	-1	tblastx:e1e1
2	129	64	10508	10573	31.818	22	16.2	3.8	2	tblastx:e1e1
2	20	43	5719	5696	50.0	8	16.2	3.8	-3	tblastx:e1e1
2	100	53	16654	16701	43.75	16	16.2	3.8	1	tblastx:e1e1
2	53	33	13314	13294	71.429	7	16.1	4.0	-1	tblastx:e1e1
2	110	72	13283	13321	38.462	13	16.1	4.0	2	tblastx:e1e1
2	80	36	15498	15542	40.0	15	16.1	4.0	3	tblastx:e1e1
2	94	35	3782	3723	35.0	20	15.7	5.2	-2	tblastx:e1e1
2	21	1	1330	1310	57.143	7	15.7	5.2	-3	tblastx:e1e1
2	130	113	17606	17623	66.667	6	15.7	5.2	2	tblastx:e1e1
2	75	98	8240	8217	50.0	8	15.3	7.2	-2	tblastx:e1e1
2	63	113	738	788	35.294	17	14.8	9.5	3	tblastx:e1e1
2	91	38	7488	7435	38.889	18	14.8	9.9	-1	tblastx:e1e1
3	1	63	5048	5110	100.0	21	54.2	4.52e-12	2	tblastx:e1e1
3	63	1	5110	5048	100.0	21	53.9	5.6e-12	-3	tblastx:e1e1
3	3	62	5050	5109	100.0	20	53.3	8.53e-12	1	tblastx:e1e1
3	64	2	5111	5049	100.0	21	51.9	2.21e-11	-2	tblastx:e1e1
3	62	3	5109	5050	100.0	20	51.5	3.04e-11	-1	tblastx:e1e1
3	2	64	5049	5111	100.0	21	45.5	1.89e-09	3	tblastx:e1e1
3	31	11	11944	11924	57.143	7	16.2	1.3	-3	tblastx:e1e1
3	46	5	8103	8062	42.857	14	15.7	1.7	-1	tblastx:e1e1
3	35	12	1176	1153	50.0	8	15.7	1.7	-1	tblastx:e1e1
3	7	33	4175	4149	55.556	9	15.3	2.4	-2	tblastx:e1e1
3	6	29	14710	14687	62.5	8	13.4	8.5	-3	tblastx:e1e1
4	261	1	15812	15552	100.0	87	232.0	1.09e-64	-2	tblastx:e1e1
4	2	262	15553	15813	100.0	87	228.0	1.39e-63	1	tblastx:e1e1
4	262	2	15813	15553	100.0	87	211.0	1.28e-58	-1	tblastx:e1e1
4	263	3	15814	15554	100.0	87	208.0	1.63e-57	-3	tblastx:e1e1
4	3	263	15554	15814	100.0	87	203.0	5.35e-56	2	tblastx:e1e1
4	1	261	15552	15812	100.0	87	197.0	3.33e-54	3	tblastx:e1e1
4	115	50	1914	1849	50.0	22	23.5	0.063	-1	tblastx:e1e1
4	162	106	16280	16336	47.368	19	20.3	0.088	2	tblastx:e1e1
4	219	178	16244	16285	35.714	14	18.5	0.088	2	tblastx:e1e1
4	84	188	9666	9562	34.286	35	22.1	0.16	-1	tblastx:e1e1
4	158	244	14998	15084	34.483	29	21.7	0.22	1	tblastx:e1e1
4	90	58	16391	16359	63.636	11	19.4	1.1	-2	tblastx:e1e1
4	27	1	11423	11449	66.667	9	19.4	1.1	2	tblastx:e1e1
4	79	41	431	469	46.154	13	18.9	1.5	2	tblastx:e1e1
4	207	260	14984	14931	44.444	18	18.9	1.5	-2	tblastx:e1e1
4	133	77	7836	7780	36.842	19	18.9	1.5	-1	tblastx:e1e1
4	213	169	6407	6363	40.0	15	18.9	1.5	-2	tblastx:e1e1
4	145	107	4229	4191	61.538	13	18.9	1.5	-2	tblastx:e1e1
4	24	4	14354	14334	85.714	7	18.5	2.1	-2	tblastx:e1e1
4	144	130	6074	6088	100.0	5	18.5	2.1	2	tblastx:e1e1
4	67	108	9730	9771	50.0	14	18.5	2.1	1	tblastx:e1e1
4	225	172	7584	7531	38.889	18	18.5	2.1	-1	tblastx:e1e1
4	189	175	1114	1128	80.0	5	18.0	2.8	1	tblastx:e1e1
4	50	85	13083	13048	50.0	12	18.0	2.8	-1	tblastx:e1e1
4	33	1	11600	11568	45.455	11	18.0	2.8	-2	tblastx:e1e1
