method	exon_index	sstart	send	reason	detail
blastn	1	104645	104613	low_complexity	entropy<0.5 fraction
blastn	1	57195	57157	low_complexity	entropy<0.5 fraction
blastn	1	57195	57162	low_complexity	entropy<0.5 fraction
blastn	1	22732	22763	low_complexity	entropy<0.5 fraction
blastn	1	22737	22772	low_complexity	entropy<0.5 fraction
blastn	1	9404	9442	low_complexity	entropy<0.5 fraction
blastn	1	103345	103365	low_complexity	entropy<0.5 fraction
blastn	1	9401	9428	low_complexity	entropy<0.5 fraction
blastn	1	22733	22767	low_complexity	entropy<0.5 fraction
blastn	1	114571	114555	basic	len/pident 17/100.0
blastn	1	57190	57170	low_complexity	entropy<0.5 fraction
blastn	1	90512	90497	basic	len/pident 16/100.0
blastn	1	41196	41176	low_complexity	entropy<0.5 fraction
blastn	1	57189	57152	low_complexity	entropy<0.5 fraction
blastn	1	7641	7655	basic	len/pident 15/100.0
blastn	1	43182	43168	basic	len/pident 15/100.0
blastn	1	51374	51388	basic	len/pident 15/100.0
blastn	1	72476	72490	basic	len/pident 15/100.0
blastn	1	99865	99879	basic	len/pident 15/100.0
blastn	1	104645	104631	basic	len/pident 15/100.0
blastn	1	12309	12325	basic	len/pident 17/94.118
blastn	1	22743	22759	basic	len/pident 17/94.118
blastn	1	26107	26091	basic	len/pident 17/94.118
blastn	1	30050	30066	basic	len/pident 17/94.118
blastn	1	68418	68402	basic	len/pident 17/94.118
blastn	1	71681	71665	basic	len/pident 17/94.118
blastn	1	85220	85236	basic	len/pident 17/94.118
blastn	1	88411	88395	basic	len/pident 17/94.118
blastn	1	107099	107083	basic	len/pident 17/94.118
blastn	1	4201	4214	basic	len/pident 14/100.0
blastn	1	4201	4214	basic	len/pident 14/100.0
blastn	1	4201	4214	basic	len/pident 14/100.0
blastn	1	5004	5017	basic	len/pident 14/100.0
blastn	1	5005	5018	basic	len/pident 14/100.0
blastn	1	5006	5019	basic	len/pident 14/100.0
blastn	1	9399	9422	low_complexity	entropy<0.5 fraction
blastn	1	12307	12320	basic	len/pident 14/100.0
blastn	1	12308	12321	basic	len/pident 14/100.0
blastn	1	22741	22754	basic	len/pident 14/100.0
blastn	1	22742	22755	basic	len/pident 14/100.0
blastn	1	23074	23061	basic	len/pident 14/100.0
blastn	1	25094	25107	basic	len/pident 14/100.0
blastn	1	42219	42206	basic	len/pident 14/100.0
blastn	1	43183	43170	basic	len/pident 14/100.0
blastn	1	43184	43171	basic	len/pident 14/100.0
blastn	1	43185	43172	basic	len/pident 14/100.0
blastn	1	43186	43173	basic	len/pident 14/100.0
blastn	1	43727	43714	basic	len/pident 14/100.0
blastn	1	43728	43715	basic	len/pident 14/100.0
blastn	1	43729	43716	basic	len/pident 14/100.0
blastn	1	43730	43717	basic	len/pident 14/100.0
blastn	1	43731	43718	basic	len/pident 14/100.0
blastn	1	49985	49970	basic	len/pident 17/94.118
blastn	1	54349	54362	basic	len/pident 14/100.0
blastn	1	54350	54363	basic	len/pident 14/100.0
blastn	1	54351	54364	basic	len/pident 14/100.0
blastn	1	54352	54365	basic	len/pident 14/100.0
blastn	1	57191	57178	basic	len/pident 14/100.0
blastn	1	57192	57179	basic	len/pident 14/100.0
blastn	1	57193	57180	basic	len/pident 14/100.0
blastn	1	57194	57181	basic	len/pident 14/100.0
blastn	1	62983	62996	basic	len/pident 14/100.0
blastn	1	82467	82480	basic	len/pident 14/100.0
blastn	1	99865	99878	basic	len/pident 14/100.0
blastn	1	99865	99878	basic	len/pident 14/100.0
blastn	1	99865	99878	basic	len/pident 14/100.0
blastn	1	104632	104619	basic	len/pident 14/100.0
blastn	1	104633	104620	basic	len/pident 14/100.0
blastn	1	104634	104621	basic	len/pident 14/100.0
blastn	1	104635	104622	basic	len/pident 14/100.0
blastn	1	104636	104623	basic	len/pident 14/100.0
blastn	1	104637	104624	basic	len/pident 14/100.0
blastn	1	104638	104625	basic	len/pident 14/100.0
blastn	1	104639	104626	basic	len/pident 14/100.0
