exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	43	2002	2043	100.0	14	41.4	2.54e-08	1	tblastx:e1e1
1	43	2	2043	2002	100.0	14	38.4	2e-07	-3	tblastx:e1e1
1	1	42	2001	2042	100.0	14	37.9	2.77e-07	3	tblastx:e1e1
1	42	1	2042	2001	100.0	14	34.8	2.47e-06	-1	tblastx:e1e1
1	3	41	2003	2041	100.0	13	34.3	3.48e-06	2	tblastx:e1e1
1	41	3	2041	2003	100.0	13	33.9	4.61e-06	-2	tblastx:e1e1
1	11	31	2037	2017	71.429	7	18.5	0.2	-3	tblastx:e1e1
1	37	17	2011	2031	71.429	7	18.4	0.22	1	tblastx:e1e1
1	30	13	1241	1258	83.333	6	16.0	1.1	2	tblastx:e1e1
1	35	12	9327	9304	62.5	8	14.3	3.7	-3	tblastx:e1e1
2	144	1	2847	2704	100.0	48	128.0	5.31e-34	-3	tblastx:e1e1
2	3	146	2706	2849	100.0	48	123.0	1.78e-32	3	tblastx:e1e1
2	1	144	2704	2847	100.0	48	119.0	2.22e-31	1	tblastx:e1e1
2	145	2	2848	2705	100.0	48	115.0	3.86e-30	-2	tblastx:e1e1
2	146	3	2849	2706	100.0	48	111.0	4.9e-29	-1	tblastx:e1e1
2	2	145	2705	2848	100.0	48	111.0	6.73e-29	2	tblastx:e1e1
2	78	140	6717	6779	42.857	21	23.5	0.02	3	tblastx:e1e1
2	45	107	1675	1613	47.619	21	21.2	0.1	-2	tblastx:e1e1
2	108	88	13688	13708	71.429	7	19.4	0.36	2	tblastx:e1e1
2	15	50	11428	11463	50.0	12	18.5	0.67	1	tblastx:e1e1
2	66	34	2119	2151	54.545	11	18.5	0.67	1	tblastx:e1e1
2	138	124	1412	1398	100.0	5	18.0	0.93	-1	tblastx:e1e1
2	42	140	2985	3083	18.182	33	16.6	2.4	3	tblastx:e1e1
2	74	39	5673	5708	58.333	12	16.6	2.4	3	tblastx:e1e1
2	45	83	2420	2458	46.154	13	16.2	3.3	2	tblastx:e1e1
2	115	129	6296	6310	80.0	5	16.2	3.3	2	tblastx:e1e1
2	95	51	9160	9116	40.0	15	15.7	4.5	-2	tblastx:e1e1
2	63	31	13623	13591	54.545	11	15.3	6.2	-3	tblastx:e1e1
2	91	26	9341	9276	31.818	22	14.8	8.6	-1	tblastx:e1e1
2	91	41	8072	8022	41.176	17	14.8	8.6	-1	tblastx:e1e1
3	1	672	3811	4482	100.0	224	566.0	5.3e-165	1	tblastx:e1e1
3	672	1	4482	3811	100.0	224	533.0	3.29e-155	-3	tblastx:e1e1
3	670	2	4480	3812	100.0	223	525.0	1.38e-152	-2	tblastx:e1e1
3	671	3	4481	3813	100.0	223	524.0	1.89e-152	-1	tblastx:e1e1
3	3	671	3813	4481	100.0	223	520.0	3.29e-151	3	tblastx:e1e1
3	2	670	3812	4480	100.0	223	478.0	2.22e-138	2	tblastx:e1e1
3	343	399	10527	10471	31.579	19	21.2	0.74	-3	tblastx:e1e1
3	304	278	5133	5159	66.667	9	20.3	1.4	3	tblastx:e1e1
3	444	521	12273	12350	30.769	26	20.3	1.4	3	tblastx:e1e1
3	273	175	1570	1668	33.333	33	19.9	1.9	1	tblastx:e1e1
3	597	463	6361	6495	22.222	45	19.9	1.9	1	tblastx:e1e1
3	120	161	8702	8661	64.286	14	19.9	1.9	-1	tblastx:e1e1
3	348	214	4688	4822	26.667	45	19.4	2.6	2	tblastx:e1e1
3	208	173	1353	1388	66.667	12	18.9	3.6	3	tblastx:e1e1
3	297	271	8066	8040	55.556	9	18.9	3.6	-1	tblastx:e1e1
3	190	131	6115	6056	40.0	20	18.9	3.6	-2	tblastx:e1e1
3	282	220	4211	4149	38.095	21	18.9	3.6	-1	tblastx:e1e1
3	401	339	4092	4030	38.095	21	18.9	3.6	-3	tblastx:e1e1
3	294	329	5114	5079	58.333	12	18.9	3.6	-1	tblastx:e1e1
3	252	217	12178	12143	66.667	12	18.5	4.9	-2	tblastx:e1e1
3	462	409	10718	10771	33.333	18	18.5	4.9	2	tblastx:e1e1
3	291	365	6063	6137	44.0	25	18.0	6.8	3	tblastx:e1e1
3	375	349	7011	7037	55.556	9	18.0	6.8	3	tblastx:e1e1
3	280	257	6382	6359	62.5	8	18.0	6.8	-2	tblastx:e1e1
3	288	262	8766	8792	44.444	9	17.6	9.3	3	tblastx:e1e1
4	1	147	5777	5923	100.0	49	122.0	3.72e-32	2	tblastx:e1e1
4	145	2	5921	5778	100.0	48	119.0	2.3e-31	-1	tblastx:e1e1
4	147	1	5923	5777	100.0	49	114.0	1.04e-29	-2	tblastx:e1e1
4	146	3	5922	5779	100.0	48	113.0	1.43e-29	-3	tblastx:e1e1
4	2	145	5778	5921	100.0	48	110.0	1.32e-28	3	tblastx:e1e1
4	3	146	5779	5922	100.0	48	110.0	1.32e-28	1	tblastx:e1e1
