exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	123.7	4.4e-38	phmmer:f0
	-1	-1	0	111.4	2.2e-34	phmmer:f0
	-1	-1	0	72.1	1.8e-22	phmmer:f0
	-1	-1	0	61.7	2.7e-19	phmmer:f0
	-1	-1	0	37.9	5.1e-12	phmmer:f0
	-1	-1	0	46.3	1.8e-14	phmmer:f0
	-1	-1	0	35.2	4.7e-11	phmmer:f0
	-1	-1	0	107.0	3.6e-33	phmmer:f0
	-1	-1	0	63.0	1.4e-19	phmmer:f0
	-1	-1	0	111.4	1.5e-34	phmmer:f0
	-1	-1	0	74.2	5.4e-23	phmmer:f0
	-1	-1	0	81.7	1.9e-25	phmmer:f0
	-1	-1	0	15.2	9e-05	phmmer:f0
	-1	-1	0	120.2	4.6e-37	phmmer:f0
	-1	-1	0	31.7	9.3e-10	phmmer:f0
	-1	-1	0	183.1	2.5e-56	phmmer:f0
	-1	-1	0	125.3	1.3e-38	phmmer:f0
	-1	-1	0	74.1	4.1e-23	phmmer:f0
	-1	-1	0	73.4	6.9e-23	phmmer:f0
	-1	-1	0	55.3	3.1e-17	phmmer:f0
	-1	-1	0	129.4	7.6e-40	phmmer:f0
	-1	-1	0	99.8	6.3e-31	phmmer:f0
	-1	-1	0	46.0	1.1e-14	phmmer:f0
