metric	value
hits:exon->CDS	16
hits:exon->exon	22
hits:exon->intron	161
copies:exon_to_intron_total	154
copies:exon_01_(2001-3369)	22
copies:exon_02_(5726-5797)	22
copies:exon_03_(6469-6582)	13
copies:exon_04_(7254-7310)	5
copies:exon_05_(8479-8651)	26
copies:exon_06_(9265-9393)	12
copies:exon_07_(10069-10138)	22
copies:exon_08_(11063-14617)	32
intron:total_raw_exon_to_intron_hits	130
intron:total_clustered_copies	94
intron_01_(1-2000):raw_hits	17
intron_01_(1-2000):clustered_copies	15
intron_02_(3370-5725):raw_hits	33
intron_02_(3370-5725):clustered_copies	19
intron_03_(5798-6468):raw_hits	9
intron_03_(5798-6468):clustered_copies	8
intron_04_(6583-7253):raw_hits	6
intron_04_(6583-7253):clustered_copies	6
intron_05_(7311-8478):raw_hits	14
intron_05_(7311-8478):clustered_copies	10
intron_06_(8652-9264):raw_hits	9
intron_06_(8652-9264):clustered_copies	6
intron_07_(9394-10068):raw_hits	4
intron_07_(9394-10068):clustered_copies	4
intron_08_(10139-11062):raw_hits	13
intron_08_(10139-11062):clustered_copies	8
intron_09_(14618-16617):raw_hits	25
intron_09_(14618-16617):clustered_copies	18
