intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	64	25	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2	3843	4066	224	5	3	1,6,11
3	4199	4381	183	10	4	1,3,5,6,7,12,13,15,16
4	4452	4593	142	1	1	13
5	4765	4857	93	5	1	1,11,12,15,16
6	4985	5238	254	3	3	6,13,14
7	5328	5407	80	3	1	8,9,13
8	5538	6154	617	26	7	1,3,5,6,7,8,9,10,11,13,16
9	6226	6309	84	3	1	5,8,9
10	6400	6662	263	7	3	1,6,10,12,14
11	6866	6999	134	7	2	1,6,7,10,14
12	7221	7295	75	2	2	1
13	7474	7664	191	3	3	3,9,15
14	7744	8445	702	15	9	1,3,6,7,9,10,11,13,15,16
15	8613	9067	455	12	4	1,4,6,11,12,15,16
16	9371	12614	3244	135	42	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
17	12803	14802	2000	105	31	1,2,4,5,6,7,8,9,10,11,12,13,14,15,16
