intron_index	start	end	length_bp	raw_exon_to_intron_hits	contributing_exons
1	1	2000	2000	9	1,2,10,13,14,17
2	2109	2468	360	2	1
3	2662	5042	2381	5	5,12,14
4	5199	7150	1952	3	4,11,20
5	7262	8336	1075	1	7
6	8440	9337	898	3	3,11,14
7	9463	9948	486	1	2
8	10022	10105	84	0	-
9	10195	12778	2584	3	2,10
10	12931	13936	1006	3	5,8,9
11	14500	15649	1150	2	6,11
12	15852	17690	1839	2	8,10
13	17906	20027	2122	2	8
14	20181	20293	113	0	-
15	20390	20715	326	0	-
16	20844	22102	1259	0	-
17	22290	22597	308	1	26
18	22768	23578	811	2	10,11
19	23816	24245	430	1	20
20	24418	25322	905	3	3,13,14
21	25414	25553	140	0	-
22	25685	26313	629	1	10
23	26434	26548	115	0	-
24	26689	27910	1222	2	4,9
25	28088	28169	82	0	-
26	28305	28785	481	1	1
27	30372	32371	2000	5	3,10,11,16
