exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	4411	2001	6411	100.0	4411	6557.0	0.0	blastn:w7;e1e2
1	517	621	26217	26116	68.468	111	31.1	0.075	blastn:w7;e1e2
1	3621	3655	15808	15841	80.0	35	28.1	0.59	blastn:w7;e1e2
1	2979	3034	17973	17914	71.875	64	28.1	0.59	blastn:w7;e1e2
1	818	847	24626	24658	81.818	33	27.4	1.6	blastn:w7;e1e2
1	1609	1666	8740	8792	71.186	59	26.6	1.6	blastn:w7;e1e2
1	1850	1873	23289	23314	84.615	26	26.6	1.6	blastn:w7;e1e2
1	778	844	25854	25912	70.588	68	26.6	1.6	blastn:w7;e1e2
1	820	844	28760	28734	85.185	27	26.6	1.6	blastn:w7;e1e2
1	833	860	23743	23768	82.143	28	25.9	4.6	blastn:w7;e1e2
1	1739	1769	26775	26804	81.25	32	25.9	4.6	blastn:w7;e1e2
1	1011	1047	673	642	76.316	38	25.1	4.6	blastn:w7;e1e2
1	830	851	12692	12670	86.957	23	25.1	4.6	blastn:w7;e1e2
1	2697	2717	14511	14529	90.476	21	25.1	4.6	blastn:w7;e1e2
1	825	844	21307	21288	90.0	20	25.1	4.6	blastn:w7;e1e2
1	753	772	25893	25912	90.0	20	25.1	4.6	blastn:w7;e1e2
1	1948	1971	823	799	84.0	25	24.4	13.0	blastn:w7;e1e2
1	4214	4237	10053	10077	84.0	25	24.4	13.0	blastn:w7;e1e2
1	809	840	10793	10764	78.125	32	24.4	13.0	blastn:w7;e1e2
1	829	845	21301	21285	94.118	17	24.4	13.0	blastn:w7;e1e2
1	837	853	26313	26329	94.118	17	24.4	13.0	blastn:w7;e1e2
1	555	574	28531	28549	90.0	20	24.4	13.0	blastn:w7;e1e2
1	1909	1957	29482	29429	71.429	56	24.4	13.0	blastn:w7;e1e2
1	2731	2744	2674	2687	100.0	14	23.6	13.0	blastn:w7;e1e2
1	3345	3385	4022	3978	73.913	46	23.6	13.0	blastn:w7;e1e2
1	674	687	4731	4744	100.0	14	23.6	13.0	blastn:w7;e1e2
1	1978	2022	5385	5345	73.913	46	23.6	13.0	blastn:w7;e1e2
1	3899	4008	6008	5899	66.102	118	23.6	13.0	blastn:w7;e1e2
1	4317	4354	9904	9867	75.0	40	23.6	13.0	blastn:w7;e1e2
1	1690	1721	10079	10109	78.125	32	23.6	13.0	blastn:w7;e1e2
1	2842	2863	10854	10834	86.364	22	23.6	13.0	blastn:w7;e1e2
1	832	845	11418	11431	100.0	14	23.6	13.0	blastn:w7;e1e2
1	2265	2278	11559	11546	100.0	14	23.6	13.0	blastn:w7;e1e2
1	3707	3732	14322	14296	81.481	27	23.6	13.0	blastn:w7;e1e2
1	2095	2108	15274	15261	100.0	14	23.6	13.0	blastn:w7;e1e2
1	835	848	16744	16757	100.0	14	23.6	13.0	blastn:w7;e1e2
1	1438	1468	20942	20911	78.125	32	23.6	13.0	blastn:w7;e1e2
1	1857	1870	21202	21215	100.0	14	23.6	13.0	blastn:w7;e1e2
1	1305	1318	27617	27604	100.0	14	23.6	13.0	blastn:w7;e1e2
1	350	363	28599	28612	100.0	14	23.6	13.0	blastn:w7;e1e2
1	808	844	28762	28731	75.676	37	23.6	13.0	blastn:w7;e1e2
1	1960	2001	34258	34219	72.727	44	23.6	13.0	blastn:w7;e1e2
1	3025	3040	2842	2827	93.75	16	22.9	36.0	blastn:w7;e1e2
1	827	842	5040	5025	93.75	16	22.9	36.0	blastn:w7;e1e2
1	3594	3609	8379	8364	93.75	16	22.9	36.0	blastn:w7;e1e2
1	1883	1922	8816	8771	71.739	46	22.9	36.0	blastn:w7;e1e2
1	746	761	11697	11712	93.75	16	22.9	36.0	blastn:w7;e1e2
1	816	836	13968	13948	85.714	21	22.9	36.0	blastn:w7;e1e2
1	1681	1696	15097	15082	93.75	16	22.9	36.0	blastn:w7;e1e2
1	810	825	17904	17919	93.75	16	22.9	36.0	blastn:w7;e1e2
1	2297	2342	20274	20233	71.739	46	22.9	36.0	blastn:w7;e1e2
1	1396	1424	20337	20364	79.31	29	22.9	36.0	blastn:w7;e1e2
