exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	27.5	1.5e-08	phmmer:f0
	-1	-1	0	36.3	6.4e-11	phmmer:f0
	-1	-1	0	35.1	1.6e-10	phmmer:f0
	-1	-1	0	84.0	6.6e-26	phmmer:f0
	-1	-1	0	97.7	2.4e-30	phmmer:f0
	-1	-1	0	47.3	3.2e-14	phmmer:f0
	-1	-1	0	40.9	3.3e-12	phmmer:f0
	-1	-1	0	20.1	1.2e-05	phmmer:f0
	-1	-1	0	14.8	0.00037	phmmer:f0
	-1	-1	0	20.0	3.6e-06	phmmer:f0
	-1	-1	0	39.3	4.7e-12	phmmer:f0
	-1	-1	0	27.1	2.9e-08	phmmer:f0
	-1	-1	0	38.5	6e-12	phmmer:f0
	-1	-1	0	34.9	1e-10	phmmer:f0
	-1	-1	0	38.7	4.6e-12	phmmer:f0
	-1	-1	0	75.3	2.1e-23	phmmer:f0
	-1	-1	0	28.1	8.5e-09	phmmer:f0
	-1	-1	0	28.3	2.2e-08	phmmer:f0
