exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	1431	1358	69.231	52	21.7	0.087	blastn,tblastx	1394.75
1	1484	1508	80.0	23	18.3	0.91	blastn,tblastx	1493.0
1	1877	1862	76.0	25	20.1	0.12	blastn,tblastx	1869.25
1	1932	1890	78.947	22	16.2	0.31	blastn,tblastx	1906.5
1	2054	2056	100.0	108	163.0	1.75e-43	blastn,tblastx	2054.5
1	2242	2258	71.667	60	25.9	0.07	blastn,tblastx	2240.5
1	2394	2390	72.059	68	28.1	0.004	blastn,tblastx	2390.0
1	28678	28714	75.0	24	18.3	0.95	blastn,tblastx	28696.0
2	1332	1291	79.167	24	22.6	0.13	blastn,tblastx	1311.75
2	2564	2566	100.0	193	289.0	3.4e-81	blastn,tblastx	2565.0
2	9562	9523	84.211	20	19.2	6.0	blastn,tblastx	9542.25
2	11642	11626	77.419	31	22.2	0.63	blastn,tblastx	11632.5
2	24245	24304	80.0	32	20.7	3.2	blastn,tblastx	24264.5
2	28838	28881	79.167	24	18.4	4.3	blastn,tblastx	28863.0
3	5120	5120	100.0	156	234.0	9.41e-65	blastn,tblastx	5120.5
3	9131	9166	75.0	40	23.6	0.31	blastn,tblastx	9144.5
3	23727	23778	85.185	27	25.9	0.11	blastn,tblastx	23752.75
3	24939	24976	85.0	20	21.7	0.096	blastn,tblastx	24957.5
3	31009	30990	74.074	27	17.7	4.3	blastn,tblastx	31009.5
4	5461	5418	88.889	23	21.4	0.47	blastn,tblastx	5433.0
4	7152	7260	100.0	111	167.0	8.26e-45	blastn,tblastx	7206.0
4	26889	26931	84.0	25	25.1	0.072	blastn,tblastx	26912.0
5	4282	4328	80.0	25	18.4	1.4	blastn,tblastx	4294.25
5	4462	4480	75.676	37	21.4	1.4	blastn,tblastx	4474.5
5	8388	8388	100.0	103	155.0	2.82e-41	blastn,tblastx	8388.0
5	13888	13940	77.778	27	19.9	1.4	blastn,tblastx	13914.25
6	9338	9462	100.0	125	188.0	5.23e-51	blastn,tblastx	9400.0
6	14704	14688	77.273	22	17.0	7.8	blastn,tblastx	14695.5
7	7552	7493	77.778	34	17.1	3.2	blastn,tblastx	7522.5
7	9985	9986	100.0	73	111.0	4.61e-28	blastn,tblastx	9985.0
8	10149	10150	100.0	89	135.0	4.26e-35	blastn,tblastx	10150.0
8	13484	13528	74.074	27	19.2	9.2	blastn,tblastx	13499.0
8	16776	16756	78.261	23	17.7	4.8	blastn,tblastx	16775.0
8	19140	19192	69.231	52	19.2	3.3	blastn,tblastx	19165.5
8	19722	19700	80.0	21	18.0	3.5	blastn,tblastx	19711.25
9	12854	12854	100.0	152	228.0	5.61e-63	blastn,tblastx	12854.5
9	13026	13078	80.952	29	18.9	1.2	blastn,tblastx	13052.0
9	27537	27479	72.727	44	22.2	1.3	blastn,tblastx	27511.0
10	920	938	83.333	18	18.5	9.4	blastn,tblastx	923.5
10	11386	11351	83.333	18	18.9	1.8	blastn,tblastx	11368.5
10	11416	11425	69.231	39	19.4	5.0	blastn,tblastx	11411.0
10	14218	14219	100.0	563	839.0	0.0	blastn,tblastx	14218.0
10	16350	16378	86.957	26	25.1	0.47	blastn,tblastx	16353.5
10	23522	23491	89.474	27	22.9	0.27	blastn,tblastx	23497.75
10	25991	25943	76.471	34	22.2	3.6	blastn,tblastx	25972.5
10	31668	31624	81.818	23	20.7	6.9	blastn,tblastx	31648.5
11	5684	5752	67.164	67	22.2	0.96	blastn,tblastx	5720.0
11	8478	8436	80.952	22	19.2	4.7	blastn,tblastx	8457.25
11	14782	14804	81.818	22	19.9	3.2	blastn,tblastx	14804.0
11	15716	15663	74.286	35	20.7	0.95	blastn,tblastx	15695.0
11	15750	15750	100.0	202	303.0	3.38e-85	blastn,tblastx	15750.5
11	23172	23132	78.947	21	16.2	6.9	blastn,tblastx	23152.0
11	30512	30498	72.222	36	23.5	0.077	blastn,tblastx	30496.0
12	2800	2763	80.0	20	17.1	5.2	blastn,tblastx	2781.75
12	3561	3530	78.947	27	21.2	0.41	blastn,tblastx	3545.5
12	17798	17799	100.0	215	322.0	5.54e-91	blastn,tblastx	17798.0
13	1233	1216	84.211	19	19.9	3.0	blastn,tblastx	1211.25
13	20029	20180	100.0	153	230.0	2.02e-63	blastn,tblastx	20104.0
13	25046	25048	67.647	68	20.8	0.33	blastn,tblastx	25042.5
14	820	800	79.31	29	22.2	0.47	blastn,tblastx	815.0
14	3475	3490	71.053	38	18.0	0.89	blastn,tblastx	3493.5
14	8870	8882	78.378	37	28.6	0.000599	blastn,tblastx	8874.25
14	20295	20388	100.0	96	145.0	3.51e-38	blastn,tblastx	20341.5
14	24524	24539	75.0	24	17.6	3.7	blastn,tblastx	24531.5
15	20717	20843	100.0	128	193.0	2.45e-52	blastn,tblastx	20779.5
15	30228	30270	76.19	21	21.7	0.21	blastn,tblastx	30248.5
16	22104	22288	100.0	187	280.0	1.58e-78	blastn,tblastx	22196.0
16	31090	31074	80.0	25	20.7	4.0	blastn,tblastx	31079.5
16	31928	31950	75.862	29	23.1	0.4	blastn,tblastx	31943.0
17	330	286	70.27	37	16.2	8.9	blastn,tblastx	308.0
17	22598	22766	100.0	170	255.0	5.67e-71	blastn,tblastx	22682.5
18	23579	23815	100.0	237	355.0	8.95e-101	blastn,tblastx	23697.0
19	24246	24416	100.0	172	258.0	7.34e-72	blastn,tblastx	24331.5
20	5219	5240	83.333	20	21.2	4.4	blastn,tblastx	5243.5
20	24036	24074	85.714	21	22.9	0.44	blastn,tblastx	24065.0
20	25367	25369	100.0	91	138.0	5.61e-36	blastn,tblastx	25368.0
21	25554	25684	100.0	131	197.0	1.15e-53	blastn,tblastx	25619.0
22	26373	26374	100.0	120	181.0	8.63e-49	blastn,tblastx	26373.5
23	26550	26688	100.0	140	210.0	1.18e-57	blastn,tblastx	26618.5
24	27911	28087	100.0	177	265.0	4.41e-74	blastn,tblastx	27999.0
25	28170	28304	100.0	135	203.0	1.94e-55	blastn,tblastx	28237.0
26	22493	22502	68.817	93	28.8	0.17	blastn,tblastx	22497.75
26	29578	29580	100.0	1586	2359.0	0.0	blastn,tblastx	29578.5
