exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	354	2001	2354	100.0	354	exon	CDS
1	14	40	37556	37581	88.889	27	exon	intron
1	258	275	2275	2258	88.889	18	exon	intron
1	106	137	5634	5663	76.471	34	exon	intron
1	15	70	9930	9870	68.182	66	exon	intron
1	212	230	8032	8052	85.714	21	exon	intron
1	15	34	20625	20644	85.0	20	exon	intron
1	16	35	26616	26635	85.0	20	exon	intron
1	60	98	39686	39725	73.171	41	exon	intron
1	51	70	405	388	85.0	20	exon	intron
1	101	121	4172	4152	80.952	21	exon	intron
1	16	36	12703	12683	80.952	21	exon	intron
1	15	32	42353	42335	84.211	19	exon	intron
1	62	86	29887	29910	76.923	26	exon	intron
1	99	118	14863	14882	80.0	20	exon	intron
1	4	23	15448	15467	80.0	20	exon	intron
2	1	146	12389	12534	100.0	146	exon	CDS
2	20	42	30329	30355	77.778	27	exon	intron
2	20	50	38040	38064	74.194	31	exon	intron
2	5	24	42524	42506	85.0	20	exon	intron
2	100	127	3777	3748	76.667	30	exon	intron
2	95	126	17977	17953	71.875	32	exon	intron
2	12	37	19150	19125	77.778	27	exon	intron
2	96	116	22497	22517	80.952	21	exon	intron
2	113	133	8354	8329	76.923	26	exon	intron
2	119	134	9435	9452	83.333	18	exon	intron
2	39	106	23081	23156	66.234	77	exon	intron
2	45	60	25381	25400	80.0	20	exon	intron
2	123	145	38717	38696	78.261	23	exon	intron
2	33	52	34114	34130	80.0	20	exon	intron
2	68	85	38026	38044	80.0	20	exon	intron
3	1	155	25926	26080	100.0	155	exon	CDS
3	34	88	4643	4582	70.312	64	exon	intron
3	120	139	15248	15229	90.476	21	exon	intron
3	38	71	11764	11800	75.676	37	exon	intron
3	47	81	909	947	75.0	40	exon	intron
3	116	136	3468	3449	86.364	22	exon	intron
3	41	86	24956	24919	70.833	48	exon	intron
3	36	73	31798	31767	73.684	38	exon	intron
3	80	127	37722	37765	71.429	49	exon	intron
3	58	77	824	843	85.714	21	exon	intron
3	52	81	9942	9913	77.419	31	exon	intron
3	20	42	23611	23592	82.609	23	exon	intron
3	72	94	30995	30976	82.609	23	exon	intron
3	48	81	6791	6823	75.0	36	exon	intron
3	34	53	30322	30301	81.818	22	exon	intron
3	59	82	33817	33841	80.0	25	exon	intron
3	37	52	36114	36131	88.889	18	exon	intron
3	99	118	42214	42196	85.0	20	exon	intron
3	35	61	25574	25547	74.194	31	exon	intron
3	104	122	26421	26404	84.211	19	exon	intron
3	2	19	28371	28389	84.211	19	exon	intron
3	95	115	41703	41683	81.818	22	exon	intron
3	15	45	44185	44159	74.194	31	exon	intron
3	95	112	1923	1940	83.333	18	exon	intron
3	61	83	17171	17151	79.167	24	exon	intron
3	90	108	24993	25015	78.261	23	exon	intron
3	103	126	28409	28382	75.0	28	exon	intron
3	89	128	35234	35275	70.455	44	exon	intron
3	38	55	38313	38296	83.333	18	exon	intron
3	59	81	38394	38373	76.0	25	exon	intron
3	42	61	12309	12290	80.0	20	exon	intron
3	100	115	12822	12841	80.0	20	exon	intron
3	126	143	39940	39956	83.333	18	exon	intron
3	46	65	43121	43140	80.952	21	exon	intron
3	7	36	17372	17346	73.333	30	exon	intron
3	105	140	25107	25078	69.444	36	exon	intron
3	125	143	4752	4734	78.947	19	exon	intron
4	1	72	27479	27550	100.0	72	exon	CDS
4	37	69	26569	26599	74.286	35	exon	intron
4	22	48	11926	11957	72.727	33	exon	intron
4	18	62	12125	12163	70.833	48	exon	intron
4	46	69	26756	26779	79.167	24	exon	intron
4	20	43	43916	43937	79.167	24	exon	intron
4	25	53	5676	5649	75.862	29	exon	intron
4	24	41	17075	17057	84.211	19	exon	intron
4	13	28	26561	26580	80.0	20	exon	intron
