exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	120	2001	2120	100.0	120	181.0	8.94e-49	blastn:w7;e1e2
1	82	111	18817	18791	80.0	30	25.9	0.083	blastn:w7;e1e2
1	48	59	2220	2209	100.0	12	20.7	1.8	blastn:w7;e1e2
1	85	101	15298	15314	88.235	17	20.7	1.8	blastn:w7;e1e2
1	28	48	10128	10145	80.952	21	19.9	5.1	blastn:w7;e1e2
1	99	112	11253	11241	92.857	14	19.2	5.1	blastn:w7;e1e2
1	1	13	27642	27630	92.308	13	18.4	14.0	blastn:w7;e1e2
1	9	18	1226	1217	100.0	10	17.7	14.0	blastn:w7;e1e2
1	51	70	2070	2051	80.0	20	17.7	14.0	blastn:w7;e1e2
1	55	74	5839	5817	78.261	23	17.7	14.0	blastn:w7;e1e2
1	1	10	18159	18168	100.0	10	17.7	14.0	blastn:w7;e1e2
1	1	15	20173	20185	86.667	15	17.7	14.0	blastn:w7;e1e2
1	97	106	20765	20756	100.0	10	17.7	14.0	blastn:w7;e1e2
1	77	86	27096	27105	100.0	10	17.7	14.0	blastn:w7;e1e2
1	80	96	1374	1358	82.353	17	17.0	40.0	blastn:w7;e1e2
1	27	48	4921	4942	77.273	22	17.0	40.0	blastn:w7;e1e2
1	76	91	4995	4977	78.947	19	17.0	40.0	blastn:w7;e1e2
1	62	73	8708	8719	91.667	12	17.0	40.0	blastn:w7;e1e2
1	65	76	8776	8765	91.667	12	17.0	40.0	blastn:w7;e1e2
1	109	120	9022	9033	91.667	12	17.0	40.0	blastn:w7;e1e2
1	78	89	14928	14939	91.667	12	17.0	40.0	blastn:w7;e1e2
1	91	102	21189	21178	91.667	12	17.0	40.0	blastn:w7;e1e2
1	107	120	28483	28497	86.667	15	17.0	40.0	blastn:w7;e1e2
1	47	55	806	814	100.0	9	16.2	40.0	blastn:w7;e1e2
1	112	120	3153	3145	100.0	9	16.2	40.0	blastn:w7;e1e2
1	12	20	3291	3299	100.0	9	16.2	40.0	blastn:w7;e1e2
1	1	9	6848	6856	100.0	9	16.2	40.0	blastn:w7;e1e2
1	109	117	6938	6930	100.0	9	16.2	40.0	blastn:w7;e1e2
1	73	81	7344	7336	100.0	9	16.2	40.0	blastn:w7;e1e2
1	72	80	8578	8586	100.0	9	16.2	40.0	blastn:w7;e1e2
1	75	85	9451	9462	91.667	12	16.2	40.0	blastn:w7;e1e2
1	43	51	9896	9888	100.0	9	16.2	40.0	blastn:w7;e1e2
1	13	21	10078	10070	100.0	9	16.2	40.0	blastn:w7;e1e2
1	61	74	11498	11485	85.714	14	16.2	40.0	blastn:w7;e1e2
1	72	80	13198	13206	100.0	9	16.2	40.0	blastn:w7;e1e2
1	19	27	14525	14517	100.0	9	16.2	40.0	blastn:w7;e1e2
1	93	101	16174	16166	100.0	9	16.2	40.0	blastn:w7;e1e2
1	32	40	20295	20287	100.0	9	16.2	40.0	blastn:w7;e1e2
1	64	72	21571	21579	100.0	9	16.2	40.0	blastn:w7;e1e2
1	112	120	27426	27418	100.0	9	16.2	40.0	blastn:w7;e1e2
1	51	59	30771	30763	100.0	9	16.2	40.0	blastn:w7;e1e2
2	1	223	2251	2473	100.0	223	334.0	1.58e-94	blastn:w7;e1e2
2	83	117	4041	3997	71.111	45	24.4	0.49	blastn:w7;e1e2
2	182	197	18810	18825	93.75	16	22.9	1.4	blastn:w7;e1e2
2	108	145	4320	4356	73.684	38	21.4	3.8	blastn:w7;e1e2
2	57	83	19501	19526	78.571	28	21.4	3.8	blastn:w7;e1e2
2	47	66	32729	32712	85.0	20	21.4	3.8	blastn:w7;e1e2
2	11	29	9038	9019	85.0	20	20.7	3.8	blastn:w7;e1e2
2	105	121	21605	21621	88.235	17	20.7	3.8	blastn:w7;e1e2
2	209	222	27111	27097	93.333	15	20.7	3.8	blastn:w7;e1e2
2	114	134	4477	4498	81.818	22	19.9	11.0	blastn:w7;e1e2
2	49	65	7792	7777	88.235	17	19.9	11.0	blastn:w7;e1e2
2	111	129	16391	16409	84.211	19	19.9	11.0	blastn:w7;e1e2
2	187	202	18157	18141	88.235	17	19.9	11.0	blastn:w7;e1e2
2	20	33	20139	20126	92.857	14	19.9	11.0	blastn:w7;e1e2
2	82	102	24300	24321	82.609	23	19.9	11.0	blastn:w7;e1e2
2	102	117	1356	1371	87.5	16	19.2	11.0	blastn:w7;e1e2
2	181	196	29124	29139	87.5	16	19.2	11.0	blastn:w7;e1e2
2	206	216	30875	30865	100.0	11	19.2	11.0	blastn:w7;e1e2
