method	exon_index	sstart	send	reason	detail
blastn	1	3565	3553	basic	len/pident 13/100.0
blastn	1	3565	3553	basic	len/pident 13/100.0
blastn	1	2319	2305	basic	len/pident 15/93.333
blastn	1	2925	2936	basic	len/pident 12/100.0
blastn	1	2925	2936	basic	len/pident 12/100.0
blastn	1	2925	2936	basic	len/pident 12/100.0
blastn	1	4540	4554	basic	len/pident 15/93.333
blastn	1	4541	4555	basic	len/pident 15/93.333
blastn	1	4688	4704	basic	len/pident 17/88.235
blastn	1	10314	10301	basic	len/pident 15/93.333
blastn	1	119	132	basic	len/pident 14/92.857
blastn	1	3305	3289	basic	len/pident 17/88.235
blastn	1	11772	11785	basic	len/pident 14/92.857
blastn	1	592	602	basic	len/pident 11/100.0
blastn	1	713	703	basic	len/pident 11/100.0
blastn	1	10621	10606	basic	len/pident 16/87.5
blastn	1	10852	10842	basic	len/pident 11/100.0
blastn	1	11080	11065	basic	len/pident 16/87.5
blastn	1	11175	11165	basic	len/pident 11/100.0
blastn	1	349	363	basic	len/pident 16/87.5
blastn	1	3854	3866	basic	len/pident 13/92.308
blastn	1	7088	7076	basic	len/pident 13/92.308
blastn	1	8655	8643	basic	len/pident 13/92.308
blastn	1	9507	9495	basic	len/pident 13/92.308
blastn	1	495	504	basic	len/pident 10/100.0
blastn	1	665	651	basic	len/pident 15/86.667
blastn	1	2251	2242	basic	len/pident 10/100.0
blastn	1	2707	2716	basic	len/pident 10/100.0
blastn	1	2921	2930	basic	len/pident 10/100.0
blastn	1	3050	3059	basic	len/pident 10/100.0
blastn	1	3523	3514	basic	len/pident 10/100.0
blastn	1	3569	3560	basic	len/pident 10/100.0
blastn	1	4366	4375	basic	len/pident 10/100.0
blastn	1	4806	4797	basic	len/pident 10/100.0
blastn	1	5616	5625	basic	len/pident 10/100.0
blastn	1	5756	5767	basic	len/pident 13/92.308
blastn	1	6522	6508	basic	len/pident 15/86.667
blastn	1	7185	7194	basic	len/pident 10/100.0
blastn	1	8052	8043	basic	len/pident 10/100.0
blastn	1	8156	8147	basic	len/pident 10/100.0
blastn	1	8507	8496	basic	len/pident 13/92.308
blastn	1	10129	10138	basic	len/pident 10/100.0
blastn	1	10918	10909	basic	len/pident 10/100.0
blastn	1	11036	11024	basic	len/pident 13/92.308
