exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	137	2001	2137	100.0	137	exon	exon
1	32	76	13951	13912	73.333	45	exon	intron
1	89	106	37998	38014	88.889	18	exon	exon
1	12	30	6204	6185	85.0	20	exon	intron
1	98	122	19695	19718	80.0	25	exon	intron
1	22	41	29127	29109	85.0	20	exon	intron
1	15	31	19483	19501	84.211	19	exon	intron
1	3	25	21921	21902	82.609	23	exon	intron
1	89	107	22953	22971	85.0	20	exon	intron
1	42	75	29707	29674	73.529	34	exon	intron
1	84	110	21380	21356	77.778	27	exon	intron
1	3	39	37824	37861	71.795	39	exon	exon
1	53	83	484	449	72.973	37	exon	intron
1	26	46	1082	1063	80.952	21	exon	intron
1	14	31	8645	8628	83.333	18	exon	intron
1	57	74	20741	20758	83.333	18	exon	intron
1	63	88	22098	22120	76.923	26	exon	intron
1	12	27	24018	24037	80.0	20	exon	intron
1	20	48	26708	26678	74.194	31	exon	intron
1	36	52	27319	27336	83.333	18	exon	intron
1	18	40	29171	29198	75.0	28	exon	intron
1	11	37	37042	37015	75.0	28	exon	intron
1	32	49	40619	40633	83.333	18	exon	intron
1	15	38	3768	3744	76.0	25	exon	intron
1	94	112	7154	7177	75.0	24	exon	intron
1	7	28	17898	17874	76.0	25	exon	intron
1	37	58	39137	39118	77.273	22	exon	intron
1	70	88	14146	14130	78.947	19	exon	intron
1	62	82	26588	26564	76.0	25	exon	intron
1	12	30	32821	32839	78.947	19	exon	intron
2	1	146	2306	2451	100.0	146	exon	CDS
2	23	111	681	763	68.817	93	exon	intron
2	15	134	2208	2333	66.423	137	exon	exon
2	3	54	2637	2584	72.881	59	exon	intron
2	1	69	2634	2710	68.293	82	exon	intron
2	2	31	39350	39323	80.0	30	exon	intron
2	4	57	737	786	70.909	55	exon	intron
2	21	51	2356	2326	76.471	34	exon	intron
2	1	53	2592	2531	68.75	64	exon	intron
2	88	109	773	789	77.273	22	exon	intron
3	1	210	4044	4253	100.0	210	exon	CDS
3	160	185	14440	14470	77.419	31	exon	intron
3	135	185	29460	29411	72.222	54	exon	intron
3	71	102	3261	3233	76.471	34	exon	intron
3	45	65	34484	34466	85.714	21	exon	intron
3	159	179	36087	36108	81.818	22	exon	exon
3	1	31	37375	37348	74.194	31	exon	intron
3	143	177	12053	12021	72.973	37	exon	intron
3	81	102	17896	17877	81.818	22	exon	intron
3	1	29	21255	21286	73.529	34	exon	intron
3	16	38	41135	41158	79.167	24	exon	intron
3	37	61	10912	10887	76.923	26	exon	intron
3	79	98	29173	29153	80.952	21	exon	intron
3	180	201	4767	4751	77.273	22	exon	intron
3	12	29	36713	36729	83.333	18	exon	exon
3	27	51	1707	1728	76.0	25	exon	intron
3	159	180	13123	13144	77.273	22	exon	intron
3	7	25	28869	28884	78.947	19	exon	intron
4	1	115	6937	7051	100.0	115	exon	exon
4	61	93	22698	22671	78.788	33	exon	intron
4	43	66	7329	7305	80.769	26	exon	intron
4	35	57	14345	14323	82.609	23	exon	intron
4	34	51	30266	30283	88.889	18	exon	intron
4	46	104	19269	19214	68.75	64	exon	intron
4	33	91	19582	19641	67.164	67	exon	intron
4	74	96	24019	24046	78.571	28	exon	intron
4	68	92	15427	15404	80.0	25	exon	intron
4	57	84	23049	23074	78.571	28	exon	intron
4	47	67	28711	28727	80.952	21	exon	intron
4	49	74	7821	7795	78.571	28	exon	intron
4	15	42	11433	11461	74.194	31	exon	intron
4	50	73	17573	17596	79.167	24	exon	intron
4	59	83	17894	17869	77.778	27	exon	intron
4	28	58	25151	25124	75.0	32	exon	intron
4	79	95	36724	36742	84.211	19	exon	exon
4	30	47	37344	37325	85.0	20	exon	intron
4	79	100	8887	8907	79.167	24	exon	intron
4	6	39	25212	25242	74.286	35	exon	intron
4	38	57	29487	29470	80.952	21	exon	intron
4	71	89	36158	36175	84.211	19	exon	exon
4	35	60	4052	4028	76.923	26	exon	intron
4	17	58	5540	5581	70.455	44	exon	intron
4	68	88	10818	10799	80.952	21	exon	intron
4	89	111	11533	11555	78.261	23	exon	intron
4	40	65	11940	11916	76.923	26	exon	intron
4	52	69	13038	13021	83.333	18	exon	intron
4	73	90	16860	16843	83.333	18	exon	intron
4	34	54	17971	17951	78.261	23	exon	intron
4	47	62	19301	19318	83.333	18	exon	intron
4	66	91	38527	38549	76.923	26	exon	exon
4	35	58	10499	10474	76.923	26	exon	intron
4	81	103	26239	26214	74.074	27	exon	intron
4	9	62	36114	36057	66.667	60	exon	intron
4	10	37	12372	12403	72.727	33	exon	intron
4	30	49	18179	18197	80.0	20	exon	intron
4	59	80	18561	18540	78.261	23	exon	intron
4	59	79	22022	22042	78.261	23	exon	intron
4	78	106	28099	28126	73.333	30	exon	intron
4	51	69	33987	33968	80.0	20	exon	intron
4	1	23	4093	4120	75.0	28	exon	CDS
5	1	177	8077	8253	100.0	177	exon	CDS
5	19	45	5114	5139	81.481	27	exon	intron
5	122	148	1186	1166	77.778	27	exon	intron
5	65	88	14967	14947	79.167	24	exon	intron
5	21	42	32450	32426	80.0	25	exon	intron
5	51	79	41097	41125	76.667	30	exon	intron
5	44	71	12043	12015	76.667	30	exon	intron
5	43	90	40851	40800	70.37	54	exon	intron
5	53	86	10203	10232	74.286	35	exon	intron
5	65	92	6095	6121	75.0	28	exon	intron
5	110	129	8378	8397	80.0	20	exon	intron
5	157	174	10837	10821	83.333	18	exon	intron
5	14	40	11302	11275	75.0	28	exon	intron
5	120	146	18121	18090	71.875	32	exon	intron
5	73	94	25689	25667	78.261	23	exon	intron
5	29	48	33752	33733	80.0	20	exon	intron
5	35	54	37738	37755	80.0	20	exon	exon
5	28	88	40427	40486	67.692	65	exon	intron
5	46	61	3176	3159	83.333	18	exon	intron
5	12	42	18289	18321	73.529	34	exon	intron
5	7	26	38703	38721	80.952	21	exon	exon
6	1	134	11131	11264	100.0	134	exon	CDS
6	62	82	23772	23792	85.714	21	exon	intron
6	85	105	22968	22987	85.714	21	exon	intron
6	49	94	26743	26699	70.0	50	exon	intron
6	68	101	18389	18351	73.171	41	exon	intron
6	8	36	1907	1885	75.862	29	exon	intron
6	9	30	40193	40216	80.0	25	exon	intron
6	22	54	10117	10089	72.222	36	exon	intron
6	24	44	17813	17831	80.952	21	exon	intron
6	90	105	29774	29756	84.211	19	exon	intron
6	84	112	31431	31406	75.862	29	exon	intron
6	8	51	3027	2983	69.565	46	exon	intron
6	12	31	13712	13696	80.0	20	exon	intron
6	25	42	18103	18086	83.333	18	exon	intron
6	5	33	24341	24318	73.333	30	exon	intron
6	110	132	28139	28161	78.261	23	exon	intron
6	27	46	9685	9702	80.0	20	exon	intron
6	19	38	10856	10875	80.952	21	exon	intron
6	4	25	21643	21621	78.261	23	exon	intron
6	99	116	7533	7548	83.333	18	exon	intron
6	6	23	23906	23927	77.273	22	exon	CDS
6	39	56	41007	41022	83.333	18	exon	intron
6	21	39	40155	40173	78.947	19	exon	intron
7	1	136	13220	13355	100.0	136	exon	CDS
7	3	46	17169	17134	71.111	45	exon	intron
