exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	228	239	69.444	72	28.1	0.008	blastn,tblastx	224.0
1	338	390	77.273	42	30.9	0.003	blastn,tblastx	363.5
1	612	564	79.167	25	19.4	7.3	blastn,tblastx	581.0
1	636	686	78.947	29	21.2	2.3	blastn,tblastx	659.0
1	848	860	80.556	36	29.6	0.033	blastn,tblastx	861.25
1	932	981	80.952	26	19.2	1.7	blastn,tblastx	951.0
1	1033	1082	72.5	40	24.4	3.11e-06	blastn,tblastx	1058.5
1	1154	1220	81.818	37	28.6	0.001	blastn,tblastx	1183.25
1	1615	1642	75.0	32	20.7	3.5e-06	blastn,tblastx	1634.0
1	1766	1674	85.0	56	21.4	3.2	blastn,tblastx	1726.5
1	1926	1996	72.973	37	19.9	4.8	blastn,tblastx	1955.75
1	2508	2462	74.194	31	21.7	0.012	blastn,tblastx	2495.5
1	2001	3842	100.0	1842	2740.0	0.0	blastn,tblastx	2921.5
1	3106	3101	72.059	68	29.6	0.033	blastn,tblastx	3103.25
1	3448	3470	83.333	24	23.6	0.32	blastn,tblastx	3456.0
1	3852	3868	76.923	26	19.9	3.8	blastn,tblastx	3860.0
1	3972	3940	75.676	37	22.2	1.2	blastn,tblastx	3963.0
1	4238	4281	77.143	35	22.9	0.031	blastn,tblastx	4271.25
1	4818	4834	84.0	25	25.1	0.006	blastn,tblastx	4835.0
1	5201	5167	88.889	18	20.7	0.39	blastn,tblastx	5186.0
1	5724	5674	80.0	30	24.9	0.004	blastn,tblastx	5712.5
1	6053	6094	80.0	25	20.8	3.5e-06	blastn,tblastx	6087.75
1	6278	6330	80.952	41	20.8	3.2	blastn,tblastx	6301.5
1	6636	6647	73.529	34	23.1	0.073	blastn,tblastx	6635.5
1	6930	6910	72.917	48	22.9	5.88e-05	blastn,tblastx	6916.5
1	7296	7254	81.818	23	19.4	0.023	blastn,tblastx	7274.0
1	8235	8194	72.093	43	22.2	5.7	blastn,tblastx	8214.25
1	8322	8364	75.862	29	22.6	3.5e-06	blastn,tblastx	8348.0
1	8812	8840	67.164	67	28.1	1.41e-05	blastn,tblastx	8817.0
1	9734	9798	84.0	35	25.1	2.66e-05	blastn,tblastx	9774.0
1	10718	10760	84.211	23	25.4	3.11e-06	blastn,tblastx	10735.0
1	10804	10832	85.0	26	21.7	1.7	blastn,tblastx	10812.0
1	11498	11518	76.0	25	19.9	1.41e-05	blastn,tblastx	11500.0
1	11727	11750	89.474	21	22.9	0.43	blastn,tblastx	11742.0
1	11888	11780	69.811	56	25.4	0.071	blastn,tblastx	11830.0
1	11997	11978	74.286	35	21.7	0.76	blastn,tblastx	11986.0
1	12358	12324	82.609	30	26.7	0.052	blastn,tblastx	12342.5
1	13124	13154	78.571	29	21.4	2.2	blastn,tblastx	13141.0
1	13758	13786	79.31	29	23.1	0.006	blastn,tblastx	13771.5
1	13976	13866	66.667	168	42.2	7.7e-07	blastn,tblastx	13923.5
1	14191	14098	65.333	75	18.9	0.23	blastn,tblastx	14154.0
1	14684	14732	75.862	29	26.7	0.004	blastn,tblastx	14707.5
1	14779	14720	76.667	31	25.8	0.098	blastn,tblastx	14752.5
2	144	122	67.742	31	17.6	3.9	blastn,tblastx	135.5
2	4067	4198	100.0	132	198.0	1.95e-54	blastn,tblastx	4133.0
2	7044	7000	88.889	24	23.1	0.000491	blastn,tblastx	7016.0
2	7338	7358	80.0	20	17.8	1.7	blastn,tblastx	7343.0
2	12140	12125	84.615	26	23.6	0.051	blastn,tblastx	12130.5
2	13308	13380	68.493	73	23.6	0.12	blastn,tblastx	13348.0
2	13356	13421	68.919	74	22.9	0.33	blastn,tblastx	13395.5
2	13452	13501	83.333	26	23.9	0.025	blastn,tblastx	13484.0
3	2342	2366	80.952	23	19.2	0.008	blastn,tblastx	2360.5
3	4382	4450	100.0	70	106.0	4.53e-27	blastn,tblastx	4416.5
3	7625	7580	73.913	23	18.9	0.67	blastn,tblastx	7602.5
3	8634	8596	82.609	23	20.7	1.7	blastn,tblastx	8615.0
3	9931	9947	80.0	25	20.7	0.4	blastn,tblastx	9939.0
4	1480	1446	77.778	31	19.9	1.1	blastn,tblastx	1462.5
4	4595	4764	100.0	171	256.0	9.52e-72	blastn,tblastx	4679.0
4	8768	8720	72.222	42	24.0	0.03	blastn,tblastx	8741.5
4	10272	10292	80.0	25	19.9	5.5	blastn,tblastx	10284.0
5	4451	4489	75.0	20	15.7	1.7	blastn,tblastx	4470.0
5	4859	4983	100.0	127	191.0	3.2e-52	blastn,tblastx	4921.5
5	12450	12508	78.261	46	17.0	7.6	blastn,tblastx	12479.25
5	14632	14620	82.353	34	30.3	0.002	blastn,tblastx	14629.5
6	4054	4014	80.0	20	17.1	5.4	blastn,tblastx	4034.0
6	5282	5284	100.0	89	135.0	2.01e-35	blastn,tblastx	5283.0
6	8096	8122	75.758	33	20.8	0.15	blastn,tblastx	8101.75
6	9464	9486	74.286	35	19.9	0.82	blastn,tblastx	9467.5
6	11208	11218	76.316	38	20.7	0.56	blastn,tblastx	11219.75
6	11632	11658	72.131	61	27.4	0.007	blastn,tblastx	11641.5
7	5409	5536	100.0	130	196.0	1.5e-53	blastn,tblastx	5472.5
7	5602	5584	76.923	26	19.2	1.1	blastn,tblastx	5594.25
7	14440	14460	74.0	50	32.2	4.31e-05	blastn,tblastx	14435.75
8	6190	6191	100.0	71	108.0	1.65e-27	blastn,tblastx	6190.0
8	7223	7186	80.0	20	17.1	2.8	blastn,tblastx	7204.25
8	10251	10204	76.667	30	20.7	0.41	blastn,tblastx	10228.5
8	13078	13114	83.333	19	23.5	0.021	blastn,tblastx	13091.5
8	13600	13611	78.788	33	23.6	0.31	blastn,tblastx	13609.0
9	450	503	71.795	39	17.0	4.5	blastn,tblastx	476.25
9	6354	6354	100.0	90	136.0	7.29e-36	blastn,tblastx	6354.5
9	6736	6718	71.053	38	19.9	0.39	blastn,tblastx	6727.5
9	7580	7526	78.788	33	24.4	0.072	blastn,tblastx	7552.75
9	14566	14538	72.5	40	19.2	1.6	blastn,tblastx	14564.0
10	6764	6764	100.0	203	304.0	5.62e-86	blastn,tblastx	6764.0
10	10490	10558	68.831	77	27.6	0.000599	blastn,tblastx	10511.75
10	11096	11083	76.667	30	23.5	0.037	blastn,tblastx	11095.0
11	2238	2310	68.627	51	19.2	2.0	blastn,tblastx	2264.0
11	7109	7110	100.0	221	331.0	5.5e-94	blastn,tblastx	7110.0
11	10877	10897	86.364	22	22.2	0.61	blastn,tblastx	10884.0
12	3838	3786	68.627	51	19.4	1.1	blastn,tblastx	3816.5
12	7384	7385	100.0	178	267.0	7.33e-75	blastn,tblastx	7386.5
12	11403	11346	75.472	53	31.8	0.001	blastn,tblastx	11387.5
12	12212	12228	78.261	23	19.4	0.54	blastn,tblastx	12217.75
12	12742	12762	86.957	23	25.4	0.005	blastn,tblastx	12740.0
13	102	58	75.0	40	23.6	0.061	blastn,tblastx	78.0
13	7665	7742	100.0	79	120.0	5.12e-31	blastn,tblastx	7704.0
13	9572	9590	68.966	29	18.9	0.084	blastn,tblastx	9577.5
13	13206	13252	84.211	37	19.2	1.1	blastn,tblastx	13232.25
14	8528	8530	100.0	167	250.0	5.7e-70	blastn,tblastx	8529.0
15	8382	8420	78.125	35	21.4	0.23	blastn,tblastx	8406.75
15	9219	9219	100.0	303	453.0	1.63e-130	blastn,tblastx	9232.5
15	10917	10958	75.0	32	19.9	0.008	blastn,tblastx	10928.5
16	7880	7921	88.889	22	20.7	1.4	blastn,tblastx	7902.0
16	9074	9092	84.211	19	20.3	0.000242	blastn,tblastx	9083.5
