exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	1129	2001	3129	100.0	1129	exon	CDS
1	400	454	1379	1323	73.333	60	exon	intron
1	695	752	6427	6374	70.492	61	exon	intron
1	877	898	3647	3668	86.364	22	exon	CDS
1	442	513	4164	4237	69.231	78	exon	intron
1	1036	1115	4449	4519	67.47	83	exon	intron
1	202	224	5462	5484	83.333	24	exon	intron
1	384	409	2242	2266	78.571	28	exon	exon
1	242	266	2384	2409	78.571	28	exon	exon
1	407	426	5036	5055	85.0	20	exon	intron
1	651	689	6570	6610	73.81	42	exon	intron
1	947	970	1213	1245	72.727	33	exon	intron
1	1065	1086	426	446	81.818	22	exon	intron
1	125	144	1959	1942	85.0	20	exon	intron
1	788	809	3683	3701	81.818	22	exon	intron
1	1008	1028	3738	3755	80.952	21	exon	intron
1	687	741	5175	5116	67.742	62	exon	intron
1	253	276	5465	5487	76.923	26	exon	intron
1	453	480	5647	5618	76.667	30	exon	intron
1	515	533	6181	6199	84.211	19	exon	intron
1	874	899	622	645	76.923	26	exon	intron
1	273	288	1166	1184	84.211	19	exon	intron
1	271	299	2011	2045	71.429	35	exon	exon
1	11	45	2271	2299	71.429	35	exon	exon
1	990	1034	2457	2417	69.565	46	exon	intron
1	417	457	3034	2990	69.565	46	exon	intron
1	989	1025	3589	3626	72.5	40	exon	CDS
1	497	534	4113	4154	71.429	42	exon	intron
1	864	884	5153	5171	81.818	22	exon	intron
1	434	457	5635	5657	79.167	24	exon	intron
1	1083	1100	1105	1120	83.333	18	exon	intron
1	979	996	1123	1108	83.333	18	exon	intron
1	1077	1094	1505	1522	83.333	18	exon	intron
1	980	997	5372	5389	83.333	18	exon	intron
1	690	721	5898	5867	73.529	34	exon	intron
1	485	504	6215	6235	80.952	21	exon	intron
1	465	512	6238	6281	69.388	49	exon	intron
1	717	733	471	454	83.333	18	exon	intron
1	218	237	4376	4395	80.952	21	exon	intron
1	486	511	5634	5660	75.862	29	exon	intron
1	144	163	402	386	80.0	20	exon	intron
1	688	729	2154	2121	69.048	42	exon	intron
1	121	154	2729	2688	69.048	42	exon	intron
1	837	920	3055	3135	64.211	95	exon	CDS
1	382	401	5121	5145	76.0	25	exon	intron
1	737	755	539	521	78.947	19	exon	intron
1	977	995	3697	3679	78.947	19	exon	intron
1	1089	1107	4576	4594	78.947	19	exon	exon
2	1	269	3410	3678	100.0	269	exon	CDS
2	238	259	2877	2898	86.364	22	exon	exon
2	52	76	5907	5881	81.481	27	exon	intron
2	213	241	1014	1043	75.0	32	exon	intron
2	184	202	5402	5384	84.211	19	exon	intron
2	27	47	1403	1385	80.952	21	exon	intron
2	180	217	2989	3025	72.5	40	exon	exon
2	97	126	4502	4533	75.758	33	exon	intron
2	43	90	5046	5091	68.627	51	exon	intron
2	177	194	1319	1336	83.333	18	exon	intron
2	194	216	4987	5009	78.261	23	exon	intron
2	57	77	373	351	78.261	23	exon	intron
2	53	67	721	739	78.947	19	exon	intron
2	193	212	736	762	74.074	27	exon	intron
2	242	261	3009	2986	75.0	24	exon	intron
2	124	160	4342	4305	70.0	40	exon	intron
3	1	205	3887	4091	100.0	205	exon	CDS
3	121	202	2994	3078	69.231	91	exon	CDS
3	119	168	4054	4005	73.077	52	exon	intron
3	100	127	3759	3735	79.31	29	exon	intron
3	138	195	5100	5047	70.492	61	exon	intron
3	163	180	6269	6285	88.889	18	exon	intron
3	87	107	1694	1715	82.609	23	exon	intron
3	76	104	3326	3300	77.419	31	exon	intron
3	155	188	448	482	72.222	36	exon	intron
3	161	181	746	728	80.952	21	exon	intron
3	163	181	2492	2512	81.818	22	exon	exon
3	105	124	4968	4993	76.923	26	exon	intron
3	191	205	5067	5084	83.333	18	exon	intron
3	90	109	6127	6112	80.0	20	exon	intron
3	85	128	4420	4458	66.667	48	exon	intron
3	99	117	1310	1328	78.947	19	exon	intron
3	74	94	5624	5639	76.19	21	exon	intron
4	1	87	4560	4646	100.0	87	exon	exon
4	63	85	2985	3011	81.481	27	exon	exon
4	4	37	4517	4546	76.471	34	exon	intron
4	50	73	1128	1102	77.778	27	exon	intron
4	33	65	4495	4465	73.529	34	exon	intron
4	63	83	4479	4498	80.952	21	exon	intron
4	17	35	3089	3107	78.947	19	exon	CDS
4	16	45	4002	3973	70.588	34	exon	intron
4	15	32	2981	2999	80.0	20	exon	exon
4	59	80	3779	3753	70.37	27	exon	intron
4	36	67	133	162	70.588	34	exon	intron
4	37	71	3778	3745	70.27	37	exon	intron
4	59	73	3303	3286	77.778	18	exon	intron
4	63	82	4491	4516	73.077	26	exon	intron
4	68	83	5025	5041	77.778	18	exon	intron
5	1	77	4753	4829	100.0	77	exon	exon
5	46	67	4222	4244	86.957	23	exon	intron
5	52	68	1646	1663	88.889	18	exon	intron
5	52	69	1327	1309	80.0	20	exon	intron
5	35	60	2878	2900	73.077	26	exon	exon
5	57	73	4281	4302	77.273	22	exon	intron
5	48	77	1036	1063	71.875	32	exon	intron
5	14	30	4574	4557	78.947	19	exon	intron
