metric	value
hits:exon->CDS	291
hits:exon->exon	15
hits:exon->intron	603
copies:exon_to_intron_total	597
copies:exon_01_(2001-2137)	15
copies:exon_02_(9999-10080)	19
copies:exon_03_(19752-20011)	17
copies:exon_04_(20728-21063)	11
copies:exon_05_(26027-26149)	19
copies:exon_06_(39583-39816)	23
copies:exon_07_(40376-40531)	17
copies:exon_08_(41622-41810)	15
copies:exon_09_(42923-43036)	19
copies:exon_10_(44207-44320)	20
copies:exon_11_(47666-47899)	20
copies:exon_12_(48336-48446)	18
copies:exon_13_(50068-50260)	9
copies:exon_14_(51902-52047)	16
copies:exon_15_(53226-53345)	19
copies:exon_16_(53456-53608)	14
copies:exon_17_(56321-56549)	23
copies:exon_18_(58275-58476)	18
copies:exon_19_(60816-60969)	10
copies:exon_20_(61955-62139)	23
copies:exon_21_(62948-63080)	13
copies:exon_22_(65205-65450)	10
copies:exon_23_(67469-67581)	18
copies:exon_24_(67863-68392)	22
copies:exon_25_(68994-69341)	13
copies:exon_26_(69574-69716)	27
copies:exon_27_(69994-70204)	7
copies:exon_28_(71074-71170)	10
copies:exon_29_(71627-71795)	32
copies:exon_30_(75374-75675)	12
copies:exon_31_(75806-75953)	15
copies:exon_32_(76446-76543)	36
copies:exon_33_(77405-81016)	37
intron:total_raw_exon_to_intron_hits	555
intron:total_clustered_copies	437
intron_01_(1-2000):raw_hits	16
intron_01_(1-2000):clustered_copies	15
intron_02_(2138-9998):raw_hits	73
intron_02_(2138-9998):clustered_copies	54
intron_03_(10081-19751):raw_hits	65
intron_03_(10081-19751):clustered_copies	46
intron_04_(20012-20727):raw_hits	2
intron_04_(20012-20727):clustered_copies	2
intron_05_(21064-26026):raw_hits	43
intron_05_(21064-26026):clustered_copies	31
intron_06_(26150-39582):raw_hits	95
intron_06_(26150-39582):clustered_copies	75
intron_07_(39817-40375):raw_hits	2
intron_07_(39817-40375):clustered_copies	2
intron_08_(40532-41621):raw_hits	12
intron_08_(40532-41621):clustered_copies	11
intron_09_(41811-42922):raw_hits	9
intron_09_(41811-42922):clustered_copies	8
intron_10_(43037-44206):raw_hits	9
intron_10_(43037-44206):clustered_copies	5
intron_11_(44321-47665):raw_hits	25
intron_11_(44321-47665):clustered_copies	22
intron_12_(47900-48335):raw_hits	3
intron_12_(47900-48335):clustered_copies	3
intron_13_(48447-50067):raw_hits	9
intron_13_(48447-50067):clustered_copies	9
intron_14_(50261-51901):raw_hits	14
intron_14_(50261-51901):clustered_copies	11
intron_15_(52048-53225):raw_hits	2
intron_15_(52048-53225):clustered_copies	2
intron_16_(53346-53455):raw_hits	2
intron_16_(53346-53455):clustered_copies	2
intron_17_(53609-56320):raw_hits	14
intron_17_(53609-56320):clustered_copies	12
intron_18_(56550-58274):raw_hits	14
intron_18_(56550-58274):clustered_copies	10
intron_19_(58477-60815):raw_hits	19
intron_19_(58477-60815):clustered_copies	16
intron_20_(60970-61954):raw_hits	7
intron_20_(60970-61954):clustered_copies	6
intron_21_(62140-62947):raw_hits	8
intron_21_(62140-62947):clustered_copies	7
intron_22_(63081-65204):raw_hits	14
intron_22_(63081-65204):clustered_copies	13
intron_23_(65451-67468):raw_hits	19
intron_23_(65451-67468):clustered_copies	15
intron_24_(67582-67862):raw_hits	2
intron_24_(67582-67862):clustered_copies	2
intron_25_(68393-68993):raw_hits	2
intron_25_(68393-68993):clustered_copies	2
intron_26_(69342-69573):raw_hits	0
intron_26_(69342-69573):clustered_copies	0
intron_27_(69717-69993):raw_hits	2
intron_27_(69717-69993):clustered_copies	1
intron_28_(70205-71073):raw_hits	7
intron_28_(70205-71073):clustered_copies	4
intron_29_(71171-71626):raw_hits	5
intron_29_(71171-71626):clustered_copies	5
intron_30_(71796-75373):raw_hits	38
intron_30_(71796-75373):clustered_copies	25
intron_31_(75676-75805):raw_hits	0
intron_31_(75676-75805):clustered_copies	0
intron_32_(75954-76445):raw_hits	3
intron_32_(75954-76445):clustered_copies	3
intron_33_(76544-77404):raw_hits	7
intron_33_(76544-77404):clustered_copies	6
intron_34_(81017-83016):raw_hits	13
intron_34_(81017-83016):clustered_copies	12
