exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3156	1	5156	2001	100.0	1052	2667.0	0.0	-2	tblastx:e1e1
1	1	3156	2001	5156	100.0	1052	2665.0	0.0	3	tblastx:e1e1
1	2	3154	2002	5154	100.0	1051	2615.0	0.0	1	tblastx:e1e1
1	3155	3	5155	2003	100.0	1051	2607.0	0.0	-3	tblastx:e1e1
1	3154	2	5154	2002	100.0	1051	2572.0	0.0	-1	tblastx:e1e1
1	3	3155	2003	5155	100.0	1051	2524.0	0.0	2	tblastx:e1e1
1	2667	2635	4837	4805	72.727	11	26.7	9.44e-14	-3	tblastx:e1e1
1	143	90	228	175	44.444	18	26.7	9.44e-14	-1	tblastx:e1e1
1	1717	1661	3714	3658	52.632	19	26.3	9.44e-14	-1	tblastx:e1e1
1	1755	1717	3881	3843	69.231	13	25.4	9.44e-14	-2	tblastx:e1e1
1	287	225	432	370	52.381	21	25.4	9.44e-14	-1	tblastx:e1e1
1	3071	2955	6509	6393	33.333	39	23.5	9.44e-14	-2	tblastx:e1e1
1	1527	1468	1488	1429	45.0	20	22.1	9.44e-14	-1	tblastx:e1e1
1	2824	2795	6015	5986	70.0	10	21.7	9.44e-14	-1	tblastx:e1e1
1	2004	1957	4751	4704	50.0	16	21.7	9.44e-14	-2	tblastx:e1e1
1	1932	1876	4583	4527	36.842	19	21.7	9.44e-14	-2	tblastx:e1e1
1	2762	2691	5438	5367	37.5	24	21.2	9.44e-14	-2	tblastx:e1e1
1	809	792	1035	1018	66.667	6	20.3	9.44e-14	-1	tblastx:e1e1
1	1556	1506	2279	2229	47.059	17	19.9	9.44e-14	-2	tblastx:e1e1
1	1893	1837	4523	4467	36.842	19	19.4	9.44e-14	-2	tblastx:e1e1
1	565	530	777	742	50.0	12	19.4	9.44e-14	-1	tblastx:e1e1
1	1289	1236	1426	1373	33.333	18	18.0	9.44e-14	-3	tblastx:e1e1
1	153	1	2141	1989	29.412	51	29.5	1.23e-11	-2	tblastx:e1e1
1	284	129	2285	2130	26.923	52	28.1	1.23e-11	-2	tblastx:e1e1
1	2837	2805	4667	4635	72.727	11	26.7	1.23e-11	-2	tblastx:e1e1
1	1714	1658	3717	3661	52.632	19	26.3	1.23e-11	-1	tblastx:e1e1
1	1881	1843	3755	3717	69.231	13	25.4	1.23e-11	-2	tblastx:e1e1
1	3017	2970	6030	5983	50.0	16	23.5	1.23e-11	-1	tblastx:e1e1
1	1540	1493	2686	2639	68.75	16	23.5	1.23e-11	-3	tblastx:e1e1
1	2751	2704	4004	3957	50.0	16	21.7	1.23e-11	-2	tblastx:e1e1
1	2583	2527	3932	3876	36.842	19	21.7	1.23e-11	-2	tblastx:e1e1
