exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	189	2001	2189	100.0	189	283.0	4.8e-80	blastn:w7;e1e2
1	50	104	3581	3527	72.131	61	28.8	0.004	blastn:w7;e1e2
1	61	98	5277	5240	77.5	40	27.4	0.012	blastn:w7;e1e2
1	33	70	6419	6454	75.61	41	26.6	0.012	blastn:w7;e1e2
1	5	79	3119	3041	70.238	84	25.9	0.033	blastn:w7;e1e2
1	33	96	85	144	69.565	69	24.4	0.092	blastn:w7;e1e2
1	6	69	1155	1220	68.056	72	24.4	0.092	blastn:w7;e1e2
1	4	62	2062	2004	68.657	67	24.4	0.092	blastn:w7;e1e2
1	38	75	6522	6557	76.923	39	24.4	0.092	blastn:w7;e1e2
1	14	37	6280	6303	83.333	24	23.6	0.092	blastn:w7;e1e2
1	36	62	343	368	79.31	29	22.9	0.26	blastn:w7;e1e2
1	39	76	3329	3368	74.419	43	22.9	0.26	blastn:w7;e1e2
1	5	40	3590	3628	75.0	40	22.9	0.26	blastn:w7;e1e2
1	42	70	1261	1235	79.31	29	22.2	0.26	blastn:w7;e1e2
1	11	36	2398	2422	81.481	27	22.2	0.26	blastn:w7;e1e2
1	21	38	4601	4584	88.889	18	22.2	0.26	blastn:w7;e1e2
1	1	23	7095	7073	83.333	24	22.2	0.26	blastn:w7;e1e2
1	46	75	214	247	74.286	35	21.4	0.72	blastn:w7;e1e2
1	51	74	1514	1535	80.0	25	21.4	0.72	blastn:w7;e1e2
1	16	105	2099	2019	65.957	94	21.4	0.72	blastn:w7;e1e2
1	38	56	5050	5070	85.714	21	21.4	0.72	blastn:w7;e1e2
1	25	74	5979	6022	70.588	51	21.4	0.72	blastn:w7;e1e2
1	54	100	2100	2054	70.833	48	20.7	0.72	blastn:w7;e1e2
1	26	54	2989	2957	75.758	33	20.7	0.72	blastn:w7;e1e2
1	72	98	3544	3573	77.419	31	20.7	0.72	blastn:w7;e1e2
1	78	94	7263	7249	88.235	17	20.7	0.72	blastn:w7;e1e2
1	58	76	626	644	85.0	20	19.9	2.0	blastn:w7;e1e2
1	10	82	1246	1310	66.667	75	19.9	2.0	blastn:w7;e1e2
1	1	27	1527	1550	77.778	27	19.9	2.0	blastn:w7;e1e2
1	88	108	2772	2793	81.818	22	19.9	2.0	blastn:w7;e1e2
1	58	76	4918	4936	84.211	19	19.9	2.0	blastn:w7;e1e2
1	44	62	5623	5641	84.211	19	19.9	2.0	blastn:w7;e1e2
1	23	82	6971	6909	67.164	67	19.9	2.0	blastn:w7;e1e2
1	4	21	114	96	84.211	19	19.2	2.0	blastn:w7;e1e2
1	119	135	423	442	85.0	20	19.2	2.0	blastn:w7;e1e2
1	82	100	1075	1058	84.211	19	19.2	2.0	blastn:w7;e1e2
1	59	69	1106	1116	100.0	11	19.2	2.0	blastn:w7;e1e2
1	20	57	1751	1790	72.093	43	19.2	2.0	blastn:w7;e1e2
1	13	103	3384	3461	64.894	94	19.2	2.0	blastn:w7;e1e2
1	36	65	3458	3427	75.758	33	19.2	2.0	blastn:w7;e1e2
1	15	89	3501	3581	67.059	85	19.2	2.0	blastn:w7;e1e2
1	11	27	5070	5056	88.235	17	19.2	2.0	blastn:w7;e1e2
1	12	74	5932	5995	67.606	71	19.2	2.0	blastn:w7;e1e2
1	80	105	6114	6089	77.778	27	19.2	2.0	blastn:w7;e1e2
1	78	88	6294	6284	100.0	11	19.2	2.0	blastn:w7;e1e2
1	18	66	6523	6569	69.231	52	19.2	2.0	blastn:w7;e1e2
1	36	52	7176	7196	80.952	21	19.2	2.0	blastn:w7;e1e2
1	97	109	1370	1358	92.308	13	18.4	5.6	blastn:w7;e1e2
1	3	86	1787	1859	65.909	88	18.4	5.6	blastn:w7;e1e2
1	37	58	2403	2422	78.261	23	18.4	5.6	blastn:w7;e1e2
1	57	74	4771	4786	83.333	18	18.4	5.6	blastn:w7;e1e2
1	3	18	5642	5628	87.5	16	18.4	5.6	blastn:w7;e1e2
1	20	108	6742	6642	65.741	108	18.4	5.6	blastn:w7;e1e2
1	6	18	7026	7038	92.308	13	18.4	5.6	blastn:w7;e1e2
1	54	69	7151	7165	87.5	16	18.4	5.6	blastn:w7;e1e2
1	91	105	7384	7369	87.5	16	18.4	5.6	blastn:w7;e1e2
1	30	54	614	636	76.0	25	17.7	5.6	blastn:w7;e1e2
1	96	108	839	828	92.308	13	17.7	5.6	blastn:w7;e1e2
1	35	46	848	836	92.308	13	17.7	5.6	blastn:w7;e1e2
1	16	32	1050	1067	83.333	18	17.7	5.6	blastn:w7;e1e2
1	51	67	1312	1329	83.333	18	17.7	5.6	blastn:w7;e1e2
1	45	54	2365	2374	100.0	10	17.7	5.6	blastn:w7;e1e2
1	41	96	3269	3323	66.667	63	17.7	5.6	blastn:w7;e1e2
1	74	103	5978	5949	75.0	32	17.7	5.6	blastn:w7;e1e2
1	69	85	6433	6416	83.333	18	17.7	5.6	blastn:w7;e1e2
1	71	90	7096	7077	80.952	21	17.7	5.6	blastn:w7;e1e2
1	4	36	7179	7145	71.429	35	17.7	5.6	blastn:w7;e1e2
1	118	132	346	330	82.353	17	17.0	16.0	blastn:w7;e1e2
1	5	24	1024	1008	80.0	20	17.0	16.0	blastn:w7;e1e2
1	48	64	1210	1226	82.353	17	17.0	16.0	blastn:w7;e1e2
1	33	51	1537	1518	80.0	20	17.0	16.0	blastn:w7;e1e2
1	62	80	2298	2317	80.952	21	17.0	16.0	blastn:w7;e1e2
1	31	42	3788	3777	91.667	12	17.0	16.0	blastn:w7;e1e2
1	6	28	3799	3822	76.0	25	17.0	16.0	blastn:w7;e1e2
1	40	63	4824	4846	76.923	26	17.0	16.0	blastn:w7;e1e2
1	37	48	5247	5258	91.667	12	17.0	16.0	blastn:w7;e1e2
1	29	62	6392	6426	72.222	36	17.0	16.0	blastn:w7;e1e2
1	3	39	6876	6915	70.732	41	17.0	16.0	blastn:w7;e1e2
1	33	92	6992	7040	67.213	61	17.0	16.0	blastn:w7;e1e2
1	18	26	78	70	100.0	9	16.2	16.0	blastn:w7;e1e2
1	84	92	223	215	100.0	9	16.2	16.0	blastn:w7;e1e2
1	5	25	249	232	76.19	21	16.2	16.0	blastn:w7;e1e2
1	149	157	303	295	100.0	9	16.2	16.0	blastn:w7;e1e2
1	40	51	1219	1229	91.667	12	16.2	16.0	blastn:w7;e1e2
1	85	95	1254	1265	91.667	12	16.2	16.0	blastn:w7;e1e2
1	15	23	1292	1284	100.0	9	16.2	16.0	blastn:w7;e1e2
1	8	16	1380	1372	100.0	9	16.2	16.0	blastn:w7;e1e2
1	123	133	1375	1386	91.667	12	16.2	16.0	blastn:w7;e1e2
1	17	25	2861	2869	100.0	9	16.2	16.0	blastn:w7;e1e2
1	123	131	3124	3132	100.0	9	16.2	16.0	blastn:w7;e1e2
1	124	148	3390	3412	76.0	25	16.2	16.0	blastn:w7;e1e2
1	80	91	3645	3635	91.667	12	16.2	16.0	blastn:w7;e1e2
1	13	50	3685	3718	70.0	40	16.2	16.0	blastn:w7;e1e2
1	55	75	4375	4350	73.077	26	16.2	16.0	blastn:w7;e1e2
1	55	71	4684	4669	82.353	17	16.2	16.0	blastn:w7;e1e2
1	116	126	5027	5038	91.667	12	16.2	16.0	blastn:w7;e1e2
1	86	102	5560	5545	82.353	17	16.2	16.0	blastn:w7;e1e2
1	124	132	5997	6005	100.0	9	16.2	16.0	blastn:w7;e1e2
1	79	92	6811	6824	85.714	14	16.2	16.0	blastn:w7;e1e2
1	16	24	7375	7383	100.0	9	16.2	16.0	blastn:w7;e1e2
1	145	155	470	460	90.909	11	15.5	44.0	blastn:w7;e1e2
1	37	47	2431	2421	90.909	11	15.5	44.0	blastn:w7;e1e2
1	82	92	2526	2536	90.909	11	15.5	44.0	blastn:w7;e1e2
1	27	43	2792	2778	82.353	17	15.5	44.0	blastn:w7;e1e2
1	20	35	2829	2814	81.25	16	15.5	44.0	blastn:w7;e1e2
1	10	22	3721	3708	85.714	14	15.5	44.0	blastn:w7;e1e2
1	42	52	4127	4117	90.909	11	15.5	44.0	blastn:w7;e1e2
1	149	162	4791	4803	85.714	14	15.5	44.0	blastn:w7;e1e2
1	22	32	5138	5148	90.909	11	15.5	44.0	blastn:w7;e1e2
1	53	63	5484	5494	90.909	11	15.5	44.0	blastn:w7;e1e2
1	121	131	5525	5535	90.909	11	15.5	44.0	blastn:w7;e1e2
1	11	21	6728	6738	90.909	11	15.5	44.0	blastn:w7;e1e2
1	87	97	6942	6952	90.909	11	15.5	44.0	blastn:w7;e1e2
1	15	25	7005	7015	90.909	11	15.5	44.0	blastn:w7;e1e2
1	52	62	7137	7127	90.909	11	15.5	44.0	blastn:w7;e1e2
1	44	51	45	38	100.0	8	14.7	44.0	blastn:w7;e1e2
1	88	95	539	532	100.0	8	14.7	44.0	blastn:w7;e1e2
1	37	44	720	713	100.0	8	14.7	44.0	blastn:w7;e1e2
1	87	99	737	749	84.615	13	14.7	44.0	blastn:w7;e1e2
1	147	154	929	922	100.0	8	14.7	44.0	blastn:w7;e1e2
1	10	17	968	961	100.0	8	14.7	44.0	blastn:w7;e1e2
1	156	163	1263	1270	100.0	8	14.7	44.0	blastn:w7;e1e2
1	68	75	1367	1374	100.0	8	14.7	44.0	blastn:w7;e1e2
1	122	129	1383	1390	100.0	8	14.7	44.0	blastn:w7;e1e2
1	62	69	1413	1420	100.0	8	14.7	44.0	blastn:w7;e1e2
1	55	62	1537	1530	100.0	8	14.7	44.0	blastn:w7;e1e2
1	29	36	1568	1575	100.0	8	14.7	44.0	blastn:w7;e1e2
