exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	136	2	2136	2002	100.0	45	113.0	3.37e-29	-1	tblastx:e1e1
1	3	137	2003	2137	100.0	45	113.0	4.63e-29	2	tblastx:e1e1
1	137	3	2137	2003	100.0	45	109.0	8.07e-28	-3	tblastx:e1e1
1	135	1	2135	2001	100.0	45	105.0	7.45e-27	-2	tblastx:e1e1
1	1	135	2001	2135	100.0	45	103.0	3.65e-26	3	tblastx:e1e1
1	2	136	2002	2136	100.0	45	99.6	6.36e-25	1	tblastx:e1e1
1	44	15	284	255	60.0	10	23.1	0.069	-2	tblastx:e1e1
1	51	31	13932	13952	85.714	7	20.3	0.46	3	tblastx:e1e1
1	88	53	36759	36794	50.0	12	19.4	0.87	3	tblastx:e1e1
1	97	53	288	244	40.0	15	19.4	0.87	-1	tblastx:e1e1
1	102	131	32484	32455	60.0	10	18.9	1.2	-1	tblastx:e1e1
1	58	17	6047	6088	50.0	14	18.5	1.7	2	tblastx:e1e1
1	97	68	21173	21144	50.0	10	18.5	1.7	-2	tblastx:e1e1
1	52	35	38732	38715	66.667	6	18.0	2.3	-2	tblastx:e1e1
1	118	56	12392	12454	38.095	21	18.0	2.3	2	tblastx:e1e1
1	73	41	29676	29708	63.636	11	18.0	2.3	3	tblastx:e1e1
1	93	46	37652	37699	43.75	16	18.0	2.3	2	tblastx:e1e1
1	58	35	39161	39138	62.5	8	17.6	3.1	-2	tblastx:e1e1
1	106	56	18363	18413	41.176	17	17.6	3.1	3	tblastx:e1e1
1	100	74	6451	6425	55.556	9	17.6	3.1	-3	tblastx:e1e1
1	48	34	1079	1093	80.0	5	17.1	4.3	2	tblastx:e1e1
1	54	34	2908	2928	71.429	7	17.1	4.3	1	tblastx:e1e1
1	133	71	6505	6567	38.095	21	17.1	4.3	1	tblastx:e1e1
1	85	56	16294	16323	50.0	10	17.1	4.3	1	tblastx:e1e1
1	51	13	23785	23747	46.154	13	17.1	4.3	-3	tblastx:e1e1
1	97	80	21614	21597	83.333	6	17.1	4.3	-2	tblastx:e1e1
1	91	35	5346	5290	31.579	19	17.1	4.3	-1	tblastx:e1e1
1	79	38	1616	1575	42.857	14	17.1	4.3	-2	tblastx:e1e1
1	115	71	18218	18174	40.0	15	16.6	5.9	-2	tblastx:e1e1
1	49	35	39120	39134	100.0	5	16.6	5.9	3	tblastx:e1e1
1	39	19	37861	37841	71.429	7	16.2	8.1	-3	tblastx:e1e1
1	117	131	28788	28774	80.0	5	16.2	8.1	-1	tblastx:e1e1
1	87	128	23407	23366	35.714	14	16.2	8.1	-3	tblastx:e1e1
1	90	131	31058	31099	42.857	14	16.2	8.1	2	tblastx:e1e1
2	145	2	2450	2307	100.0	48	125.0	1.36e-32	-2	tblastx:e1e1
2	1	144	2306	2449	100.0	48	123.0	4.86e-32	2	tblastx:e1e1
2	146	3	2451	2308	100.0	48	121.0	2.38e-31	-1	tblastx:e1e1
2	3	146	2308	2451	100.0	48	120.0	4.49e-31	1	tblastx:e1e1
2	2	145	2307	2450	100.0	48	116.0	4.14e-30	3	tblastx:e1e1
2	144	1	2449	2306	100.0	48	108.0	1.95e-27	-3	tblastx:e1e1
2	43	129	39324	39410	41.379	29	26.3	0.008	3	tblastx:e1e1
2	115	89	2542	2516	66.667	9	19.4	0.18	-3	tblastx:e1e1
2	28	2	2401	2375	77.778	9	18.0	0.18	-3	tblastx:e1e1
2	40	5	2545	2580	58.333	12	21.7	0.2	1	tblastx:e1e1
2	56	24	914	882	54.545	11	20.3	0.23	-2	tblastx:e1e1
2	29	3	761	735	66.667	9	16.6	0.23	-2	tblastx:e1e1
2	120	31	39721	39632	43.333	30	20.5	0.46	-3	tblastx:e1e1
2	119	3	896	780	28.205	39	20.3	0.53	-2	tblastx:e1e1
2	108	40	2621	2553	39.13	23	18.7	0.54	-2	tblastx:e1e1
2	31	14	2539	2522	83.333	6	16.6	0.54	-3	tblastx:e1e1
2	115	92	39321	39298	75.0	8	19.9	0.72	-1	tblastx:e1e1
2	112	92	39317	39297	71.429	7	19.9	0.72	-2	tblastx:e1e1
2	96	55	2333	2292	57.143	14	19.2	1.2	-2	tblastx:e1e1
2	20	100	694	614	40.741	27	18.9	1.4	-3	tblastx:e1e1
2	109	92	39941	39924	83.333	6	18.5	1.9	-2	tblastx:e1e1
2	52	108	39702	39646	31.579	19	18.5	1.9	-1	tblastx:e1e1
2	87	122	1805	1840	58.333	12	18.5	1.9	2	tblastx:e1e1
2	109	92	39313	39296	83.333	6	18.5	1.9	-3	tblastx:e1e1
2	109	92	39310	39293	83.333	6	18.5	1.9	-3	tblastx:e1e1
2	109	92	39307	39290	83.333	6	18.5	1.9	-3	tblastx:e1e1
2	81	10	35086	35157	45.833	24	18.3	2.1	1	tblastx:e1e1
2	58	35	2348	2371	62.5	8	17.1	2.4	2	tblastx:e1e1
2	43	66	2363	2340	62.5	8	17.1	2.4	-2	tblastx:e1e1
2	32	9	2401	2424	62.5	8	15.3	2.4	1	tblastx:e1e1
2	96	119	2337	2314	62.5	8	15.3	2.4	-1	tblastx:e1e1
