metric	value
hits:exon->CDS	15
hits:exon->exon	25
hits:exon->intron	132
copies:exon_to_intron_total	108
copies:exon_01_(2001-3272)	28
copies:exon_02_(4020-4243)	20
copies:exon_03_(5329-5606)	15
copies:exon_04_(7982-8246)	16
copies:exon_05_(16123-17965)	29
intron:total_raw_exon_to_intron_hits	100
intron:total_clustered_copies	74
intron_01_(1-2000):raw_hits	8
intron_01_(1-2000):clustered_copies	8
intron_02_(3273-4019):raw_hits	20
intron_02_(3273-4019):clustered_copies	7
intron_03_(4244-5328):raw_hits	6
intron_03_(4244-5328):clustered_copies	5
intron_04_(5607-7981):raw_hits	11
intron_04_(5607-7981):clustered_copies	9
intron_05_(8247-16122):raw_hits	44
intron_05_(8247-16122):clustered_copies	36
intron_06_(17966-19965):raw_hits	11
intron_06_(17966-19965):clustered_copies	9
