method	exon_index	sstart	send	reason	detail
blastn	1	37899	37885	basic	len/pident 15/93.333
blastn	1	25242	25229	basic	len/pident 15/93.333
blastn	1	1910	1923	basic	len/pident 14/92.857
blastn	1	649	664	basic	len/pident 16/87.5
blastn	1	1093	1078	basic	len/pident 16/87.5
blastn	1	1188	1178	basic	len/pident 11/100.0
blastn	1	39101	39086	basic	len/pident 16/87.5
blastn	1	8553	8541	basic	len/pident 13/92.308
blastn	1	13616	13604	basic	len/pident 13/92.308
blastn	1	30272	30260	basic	len/pident 13/92.308
blastn	1	31746	31758	basic	len/pident 13/92.308
blastn	1	32594	32582	basic	len/pident 13/92.308
blastn	1	3304	3295	basic	len/pident 10/100.0
blastn	1	3777	3768	basic	len/pident 10/100.0
blastn	1	7094	7083	basic	len/pident 13/92.308
blastn	1	8828	8819	basic	len/pident 10/100.0
blastn	1	8869	8878	basic	len/pident 10/100.0
blastn	1	9569	9578	basic	len/pident 10/100.0
blastn	1	16262	16253	basic	len/pident 10/100.0
blastn	1	28611	28620	basic	len/pident 10/100.0
blastn	1	29359	29368	basic	len/pident 10/100.0
blastn	1	31222	31231	basic	len/pident 10/100.0
blastn	1	35123	35114	basic	len/pident 10/100.0
blastn	1	35842	35851	basic	len/pident 10/100.0
blastn	1	35927	35916	basic	len/pident 13/92.308
blastn	1	36057	36069	basic	len/pident 15/86.667
blastn	1	36475	36484	basic	len/pident 10/100.0
blastn	1	38667	38676	basic	len/pident 10/100.0
blastn	1	1615	1626	basic	len/pident 12/91.667
blastn	1	5591	5578	basic	len/pident 15/86.667
blastn	1	6143	6154	basic	len/pident 12/91.667
blastn	1	11593	11582	basic	len/pident 12/91.667
blastn	1	13740	13729	basic	len/pident 12/91.667
blastn	1	13739	13755	basic	len/pident 17/82.353
blastn	1	17472	17483	basic	len/pident 12/91.667
blastn	1	18742	18728	basic	len/pident 15/86.667
blastn	1	19252	19241	basic	len/pident 12/91.667
blastn	1	21535	21524	basic	len/pident 12/91.667
blastn	1	24162	24173	basic	len/pident 12/91.667
blastn	1	26806	26819	basic	len/pident 15/86.667
blastn	1	26991	26977	basic	len/pident 15/86.667
blastn	1	28960	28971	basic	len/pident 12/91.667
blastn	1	30503	30492	basic	len/pident 12/91.667
blastn	1	31959	31948	basic	len/pident 12/91.667
blastn	1	32828	32817	basic	len/pident 12/91.667
blastn	1	640	632	basic	len/pident 9/100.0
blastn	1	1382	1390	basic	len/pident 9/100.0
blastn	1	1753	1745	basic	len/pident 9/100.0
blastn	1	2228	2220	basic	len/pident 9/100.0
blastn	1	2908	2921	basic	len/pident 14/85.714
blastn	1	3505	3519	basic	len/pident 15/86.667
blastn	1	4791	4799	basic	len/pident 9/100.0
blastn	1	6617	6609	basic	len/pident 9/100.0
blastn	1	6683	6691	basic	len/pident 9/100.0
blastn	1	6801	6814	basic	len/pident 14/85.714
blastn	1	8634	8626	basic	len/pident 9/100.0
blastn	1	9287	9295	basic	len/pident 9/100.0
blastn	1	12977	12969	basic	len/pident 9/100.0
blastn	1	13513	13500	basic	len/pident 14/85.714
blastn	1	13531	13518	basic	len/pident 14/85.714
blastn	1	13549	13536	basic	len/pident 14/85.714
blastn	1	13567	13554	basic	len/pident 14/85.714
blastn	1	13585	13572	basic	len/pident 14/85.714
blastn	1	13603	13590	basic	len/pident 14/85.714
blastn	1	16836	16828	basic	len/pident 9/100.0
blastn	1	17197	17205	basic	len/pident 9/100.0
blastn	1	17392	17384	basic	len/pident 9/100.0
blastn	1	19273	19265	basic	len/pident 9/100.0
blastn	1	19543	19551	basic	len/pident 9/100.0
blastn	1	20367	20359	basic	len/pident 9/100.0
blastn	1	22228	22220	basic	len/pident 9/100.0
blastn	1	23388	23380	basic	len/pident 9/100.0
blastn	1	23747	23755	basic	len/pident 9/100.0
blastn	1	24813	24805	basic	len/pident 9/100.0
blastn	1	25464	25472	basic	len/pident 9/100.0
blastn	1	26080	26072	basic	len/pident 9/100.0
blastn	1	26665	26673	basic	len/pident 9/100.0
blastn	1	27033	27041	basic	len/pident 9/100.0
blastn	1	27345	27337	basic	len/pident 9/100.0
blastn	1	28769	28761	basic	len/pident 9/100.0
blastn	1	29777	29764	basic	len/pident 14/85.714
blastn	1	30600	30592	basic	len/pident 9/100.0
blastn	1	31363	31350	basic	len/pident 14/85.714
blastn	1	31781	31789	basic	len/pident 9/100.0
blastn	1	32866	32874	basic	len/pident 9/100.0
blastn	1	33619	33627	basic	len/pident 9/100.0
blastn	1	34047	34039	basic	len/pident 9/100.0
blastn	1	35425	35417	basic	len/pident 9/100.0
blastn	1	35879	35887	basic	len/pident 9/100.0
blastn	1	39668	39660	basic	len/pident 9/100.0
blastn	1	40209	40201	basic	len/pident 9/100.0
blastn	1	40270	40278	basic	len/pident 9/100.0
blastn	2	2580	2564	basic	len/pident 17/88.235
blastn	2	2278	2263	basic	len/pident 17/88.235
blastn	2	2753	2767	basic	len/pident 15/86.667
blastn	2	24933	24924	basic	len/pident 10/100.0
blastn	2	626	615	basic	len/pident 12/91.667
blastn	2	896	912	basic	len/pident 17/82.353
blastn	2	2571	2587	basic	len/pident 17/82.353
blastn	2	20615	20631	basic	len/pident 17/82.353
blastn	2	865	857	basic	len/pident 9/100.0
blastn	2	1256	1248	basic	len/pident 9/100.0
blastn	2	1689	1681	basic	len/pident 9/100.0
blastn	2	12942	12929	basic	len/pident 14/85.714
blastn	2	24340	24348	basic	len/pident 9/100.0
blastn	2	25932	25924	basic	len/pident 9/100.0
blastn	2	39698	39706	basic	len/pident 9/100.0
blastn	3	1619	1630	basic	len/pident 12/100.0
blastn	3	38575	38564	basic	len/pident 12/100.0
blastn	3	12432	12419	basic	len/pident 14/92.857
blastn	3	14908	14924	basic	len/pident 17/88.235
blastn	3	22448	22433	basic	len/pident 17/88.235
blastn	3	17194	17184	basic	len/pident 11/100.0
blastn	3	19826	19836	basic	len/pident 11/100.0
blastn	3	20705	20715	basic	len/pident 11/100.0
blastn	3	32581	32571	basic	len/pident 11/100.0
blastn	3	37389	37374	basic	len/pident 16/87.5
blastn	3	37936	37946	basic	len/pident 11/100.0
blastn	3	38002	37987	basic	len/pident 16/87.5
blastn	3	597	585	basic	len/pident 13/92.308
blastn	3	1176	1191	basic	len/pident 16/87.5
blastn	3	13248	13260	basic	len/pident 13/92.308
blastn	3	15130	15142	basic	len/pident 13/92.308
blastn	3	15510	15522	basic	len/pident 13/92.308
blastn	3	18605	18593	basic	len/pident 13/92.308
blastn	3	35520	35506	basic	len/pident 16/87.5
blastn	3	294	303	basic	len/pident 10/100.0
blastn	3	5518	5504	basic	len/pident 15/86.667
blastn	3	5566	5577	basic	len/pident 13/92.308
blastn	3	5971	5985	basic	len/pident 15/86.667
blastn	3	7755	7746	basic	len/pident 10/100.0
blastn	3	7766	7757	basic	len/pident 10/100.0
blastn	3	8360	8372	basic	len/pident 13/92.308
blastn	3	20306	20315	basic	len/pident 10/100.0
blastn	3	20564	20555	basic	len/pident 10/100.0
blastn	3	20914	20923	basic	len/pident 10/100.0
blastn	3	21165	21154	basic	len/pident 13/92.308
