exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	683	2001	2683	100.0	683	exon	CDS
1	364	393	5762	5731	78.788	33	exon	intron
1	339	363	464	441	84.0	25	exon	intron
1	379	403	6247	6273	82.143	28	exon	intron
1	269	289	1408	1388	85.714	21	exon	intron
1	510	539	7188	7163	76.667	30	exon	intron
1	584	601	64	81	88.889	18	exon	intron
1	169	196	1003	1030	78.571	28	exon	intron
1	349	366	2031	2014	88.889	18	exon	intron
1	14	31	2366	2349	88.889	18	exon	intron
1	201	231	2804	2777	78.125	32	exon	intron
1	509	537	6948	6915	73.529	34	exon	intron
1	338	357	275	256	85.0	20	exon	intron
1	519	542	1173	1146	78.571	28	exon	intron
1	395	421	6884	6908	78.571	28	exon	intron
1	507	534	7269	7244	78.571	28	exon	intron
1	526	557	8586	8611	75.0	32	exon	intron
1	119	160	1557	1595	72.093	43	exon	intron
1	71	89	2905	2889	84.211	19	exon	intron
1	626	644	2924	2945	81.818	22	exon	intron
1	262	285	3414	3435	79.167	24	exon	intron
1	9	37	4455	4481	75.862	29	exon	intron
1	120	143	6344	6367	80.0	25	exon	intron
1	163	220	8622	8671	67.241	58	exon	intron
1	26	43	3673	3655	84.211	19	exon	intron
1	118	135	8610	8628	84.211	19	exon	intron
1	344	363	465	445	80.952	21	exon	intron
1	125	144	1075	1095	80.952	21	exon	intron
1	464	507	4653	4696	69.388	49	exon	intron
1	421	438	6425	6440	83.333	18	exon	intron
1	356	396	148	108	68.182	44	exon	intron
1	354	378	374	350	76.0	25	exon	intron
1	32	49	3077	3096	80.0	20	exon	intron
1	384	400	5685	5702	83.333	18	exon	intron
1	541	557	6102	6085	83.333	18	exon	intron
1	246	267	8857	8835	78.261	23	exon	intron
1	289	308	6491	6473	80.0	20	exon	intron
1	119	137	8991	9009	78.947	19	exon	intron
2	1	164	3202	3365	100.0	164	exon	CDS
2	127	143	4925	4943	89.474	19	exon	CDS
2	38	73	8610	8647	73.171	41	exon	intron
2	50	79	8813	8789	76.667	30	exon	intron
2	99	147	81	135	69.643	56	exon	intron
2	4	23	3623	3601	78.261	23	exon	intron
2	114	131	4114	4096	84.211	19	exon	intron
2	43	60	974	991	84.211	19	exon	intron
2	38	55	2118	2134	83.333	18	exon	exon
2	60	81	6171	6189	77.273	22	exon	intron
2	96	122	4780	4804	74.074	27	exon	intron
2	110	128	4880	4865	78.947	19	exon	intron
2	96	122	5549	5571	74.074	27	exon	CDS
2	45	64	6366	6392	70.37	27	exon	intron
2	62	79	6197	6214	78.947	19	exon	intron
3	1	134	3520	3653	100.0	134	exon	CDS
3	41	59	5453	5471	85.0	20	exon	CDS
3	82	104	3224	3205	78.261	23	exon	intron
3	113	128	6838	6821	83.333	18	exon	intron
3	33	52	2201	2181	77.273	22	exon	intron
4	1	94	4925	5018	100.0	94	exon	CDS
4	47	87	4755	4721	75.61	41	exon	intron
4	1	19	3328	3344	89.474	19	exon	CDS
4	15	40	3393	3373	80.769	26	exon	intron
4	10	28	4571	4555	80.0	20	exon	intron
4	39	55	5928	5948	80.952	21	exon	intron
4	48	74	9019	9047	74.194	31	exon	intron
4	10	26	4644	4663	80.0	20	exon	intron
4	61	92	5074	5039	71.053	38	exon	intron
4	51	68	6583	6598	83.333	18	exon	intron
4	7	32	4548	4524	75.0	28	exon	intron
4	6	34	5482	5504	72.414	29	exon	CDS
4	26	55	2063	2038	70.968	31	exon	intron
4	32	58	6586	6556	70.968	31	exon	intron
4	25	40	8867	8849	78.947	19	exon	intron
4	10	30	2134	2117	77.273	22	exon	intron
4	6	30	5235	5254	73.077	26	exon	intron
4	24	41	8615	8602	77.778	18	exon	intron
4	35	51	8599	8616	77.778	18	exon	intron
5	1	167	5447	5613	100.0	167	exon	CDS
5	29	70	7320	7282	72.093	43	exon	intron
5	7	25	3560	3578	85.0	20	exon	CDS
5	69	136	8823	8887	67.123	73	exon	intron
5	27	57	7734	7760	74.194	31	exon	intron
5	40	59	8314	8333	80.0	20	exon	intron
5	36	58	4930	4958	72.414	29	exon	CDS
5	103	125	3297	3323	74.074	27	exon	CDS
5	6	26	3509	3532	75.0	24	exon	CDS
6	1	54	7281	7334	100.0	54	exon	CDS
6	16	47	7882	7853	81.25	32	exon	intron
6	15	45	7589	7557	78.788	33	exon	intron
6	2	40	5516	5475	72.093	43	exon	intron
6	19	38	1368	1348	81.818	22	exon	intron
6	14	36	7171	7148	79.167	24	exon	intron
6	7	28	7757	7735	80.0	25	exon	intron
6	18	45	1029	1052	75.862	29	exon	intron
6	25	51	2461	2491	74.194	31	exon	exon
6	18	40	7545	7524	78.261	23	exon	intron
6	12	30	1011	992	80.0	20	exon	intron
6	8	29	1198	1217	77.273	22	exon	intron
6	32	48	8379	8395	83.333	18	exon	intron
6	14	46	772	810	70.732	41	exon	intron
6	28	52	880	905	74.074	27	exon	intron
6	17	31	1051	1068	77.778	18	exon	intron
6	21	47	1020	992	73.333	30	exon	intron
6	2	29	1233	1208	71.429	28	exon	intron
6	27	44	2254	2237	78.947	19	exon	intron
6	35	52	9089	9105	78.947	19	exon	intron
