exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	428	2001	2428	100.0	428	638.0	0.0	blastn:w7;e1e2
1	148	183	28226	28192	78.947	38	27.4	0.11	blastn:w7;e1e2
1	315	352	4458	4420	77.5	40	26.6	0.11	blastn:w7;e1e2
1	333	347	3481	3467	100.0	15	25.1	0.32	blastn:w7;e1e2
1	15	34	14712	14732	86.364	22	23.6	0.88	blastn:w7;e1e2
1	210	239	17227	17199	78.125	32	23.6	0.88	blastn:w7;e1e2
1	182	208	23535	23512	81.481	27	23.6	0.88	blastn:w7;e1e2
1	239	258	3764	3785	86.364	22	22.9	2.5	blastn:w7;e1e2
1	196	229	22976	22944	76.471	34	22.9	2.5	blastn:w7;e1e2
1	18	45	4668	4695	78.571	28	22.2	2.5	blastn:w7;e1e2
1	357	396	5758	5720	74.419	43	22.2	2.5	blastn:w7;e1e2
1	185	210	27516	27540	80.769	26	22.2	2.5	blastn:w7;e1e2
1	351	365	8410	8396	93.333	15	21.4	6.9	blastn:w7;e1e2
1	168	182	9138	9124	93.333	15	21.4	6.9	blastn:w7;e1e2
1	19	40	9397	9377	82.609	23	21.4	6.9	blastn:w7;e1e2
1	47	66	22335	22354	85.0	20	21.4	6.9	blastn:w7;e1e2
1	18	32	2909	2896	93.333	15	20.7	6.9	blastn:w7;e1e2
1	329	340	7222	7233	100.0	12	20.7	6.9	blastn:w7;e1e2
1	71	85	19991	19978	93.333	15	20.7	6.9	blastn:w7;e1e2
1	201	257	22288	22344	68.254	63	20.7	6.9	blastn:w7;e1e2
1	260	285	32	61	76.667	30	19.9	19.0	blastn:w7;e1e2
1	310	330	12275	12254	82.609	23	19.9	19.0	blastn:w7;e1e2
1	193	211	14764	14782	84.211	19	19.9	19.0	blastn:w7;e1e2
1	19	32	22819	22806	92.857	14	19.9	19.0	blastn:w7;e1e2
1	148	163	25247	25231	88.235	17	19.9	19.0	blastn:w7;e1e2
1	231	251	26323	26344	81.818	22	19.9	19.0	blastn:w7;e1e2
1	204	220	28105	28120	88.235	17	19.9	19.0	blastn:w7;e1e2
1	224	239	742	727	87.5	16	19.2	19.0	blastn:w7;e1e2
1	154	182	802	772	75.0	32	19.2	19.0	blastn:w7;e1e2
1	227	242	1778	1763	87.5	16	19.2	19.0	blastn:w7;e1e2
1	179	194	7380	7365	87.5	16	19.2	19.0	blastn:w7;e1e2
1	235	250	7720	7735	87.5	16	19.2	19.0	blastn:w7;e1e2
1	20	32	10630	10643	92.857	14	19.2	19.0	blastn:w7;e1e2
1	18	34	10724	10705	85.0	20	19.2	19.0	blastn:w7;e1e2
1	264	290	14711	14733	77.778	27	19.2	19.0	blastn:w7;e1e2
1	31	41	18151	18141	100.0	11	19.2	19.0	blastn:w7;e1e2
1	227	237	19515	19505	100.0	11	19.2	19.0	blastn:w7;e1e2
1	270	290	20468	20448	80.952	21	19.2	19.0	blastn:w7;e1e2
1	172	189	21484	21466	84.211	19	19.2	19.0	blastn:w7;e1e2
1	261	286	24414	24435	76.923	26	19.2	19.0	blastn:w7;e1e2
1	182	194	827	839	92.308	13	18.4	54.0	blastn:w7;e1e2
1	279	291	4017	4029	92.308	13	18.4	54.0	blastn:w7;e1e2
1	311	337	4268	4244	75.0	28	18.4	54.0	blastn:w7;e1e2
1	269	290	8307	8284	79.167	24	18.4	54.0	blastn:w7;e1e2
1	77	103	9068	9046	75.0	28	18.4	54.0	blastn:w7;e1e2
1	72	84	11674	11686	92.308	13	18.4	54.0	blastn:w7;e1e2
1	26	38	12224	12212	92.308	13	18.4	54.0	blastn:w7;e1e2
1	174	186	14671	14683	92.308	13	18.4	54.0	blastn:w7;e1e2
1	315	334	15731	15711	80.952	21	18.4	54.0	blastn:w7;e1e2
1	16	28	19805	19793	92.308	13	18.4	54.0	blastn:w7;e1e2
1	362	374	21429	21417	92.308	13	18.4	54.0	blastn:w7;e1e2
1	1	13	22978	22966	92.308	13	18.4	54.0	blastn:w7;e1e2
1	225	237	23238	23226	92.308	13	18.4	54.0	blastn:w7;e1e2
1	242	254	25406	25394	92.308	13	18.4	54.0	blastn:w7;e1e2
1	188	202	27536	27521	87.5	16	18.4	54.0	blastn:w7;e1e2
1	278	287	919	928	100.0	10	17.7	54.0	blastn:w7;e1e2
1	70	79	1932	1941	100.0	10	17.7	54.0	blastn:w7;e1e2
1	169	178	2178	2169	100.0	10	17.7	54.0	blastn:w7;e1e2
1	288	297	2297	2288	100.0	10	17.7	54.0	blastn:w7;e1e2
1	240	249	3667	3676	100.0	10	17.7	54.0	blastn:w7;e1e2
1	346	355	5816	5807	100.0	10	17.7	54.0	blastn:w7;e1e2
1	28	37	5931	5940	100.0	10	17.7	54.0	blastn:w7;e1e2
1	48	57	9538	9547	100.0	10	17.7	54.0	blastn:w7;e1e2
1	394	403	9566	9557	100.0	10	17.7	54.0	blastn:w7;e1e2
1	234	248	10762	10776	86.667	15	17.7	54.0	blastn:w7;e1e2
1	218	244	11422	11387	69.444	36	17.7	54.0	blastn:w7;e1e2
1	238	247	12856	12865	100.0	10	17.7	54.0	blastn:w7;e1e2
1	229	238	17978	17987	100.0	10	17.7	54.0	blastn:w7;e1e2
1	64	73	18104	18095	100.0	10	17.7	54.0	blastn:w7;e1e2
1	233	245	19472	19461	92.308	13	17.7	54.0	blastn:w7;e1e2
1	24	33	19815	19806	100.0	10	17.7	54.0	blastn:w7;e1e2
1	164	178	19823	19809	86.667	15	17.7	54.0	blastn:w7;e1e2
1	351	367	20500	20517	83.333	18	17.7	54.0	blastn:w7;e1e2
1	112	126	20680	20666	86.667	15	17.7	54.0	blastn:w7;e1e2
1	334	348	21477	21491	86.667	15	17.7	54.0	blastn:w7;e1e2
1	20	37	22455	22471	83.333	18	17.7	54.0	blastn:w7;e1e2
1	235	244	23048	23057	100.0	10	17.7	54.0	blastn:w7;e1e2
1	203	217	23753	23739	86.667	15	17.7	54.0	blastn:w7;e1e2
1	309	318	25018	25027	100.0	10	17.7	54.0	blastn:w7;e1e2
1	109	134	27011	26987	75.0	28	17.7	54.0	blastn:w7;e1e2
1	239	248	27721	27712	100.0	10	17.7	54.0	blastn:w7;e1e2
1	371	380	28674	28683	100.0	10	17.7	54.0	blastn:w7;e1e2
1	146	160	28855	28841	86.667	15	17.7	54.0	blastn:w7;e1e2
2	1	99	3029	3127	100.0	99	149.0	1.51e-39	blastn:w7;e1e2
2	18	41	13673	13652	83.333	24	23.6	0.16	blastn:w7;e1e2
2	47	60	22284	22298	93.333	15	20.7	1.2	blastn:w7;e1e2
2	88	99	22458	22447	100.0	12	20.7	1.2	blastn:w7;e1e2
2	13	51	808	769	72.093	43	19.9	3.5	blastn:w7;e1e2
2	1	14	7965	7952	92.857	14	19.9	3.5	blastn:w7;e1e2
2	47	60	12023	12036	92.857	14	19.9	3.5	blastn:w7;e1e2
2	5	18	14966	14953	92.857	14	19.9	3.5	blastn:w7;e1e2
2	20	40	22482	22503	81.818	22	19.9	3.5	blastn:w7;e1e2
2	43	58	16653	16638	87.5	16	19.2	3.5	blastn:w7;e1e2
2	5	15	18864	18854	100.0	11	19.2	3.5	blastn:w7;e1e2
2	69	99	21989	22016	72.727	33	19.2	3.5	blastn:w7;e1e2
2	48	58	22318	22308	100.0	11	19.2	3.5	blastn:w7;e1e2
2	7	40	25222	25181	71.429	42	19.2	3.5	blastn:w7;e1e2
2	42	59	1046	1029	83.333	18	18.4	9.8	blastn:w7;e1e2
