exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2566	2594	88.889	25	21.4	3.2	blastn,tblastx	2585.0
1	3114	3076	80.0	25	21.7	2.8	blastn,tblastx	3098.0
1	3543	3544	100.0	3087	4590.0	0.0	blastn,tblastx	3544.0
1	3725	3746	70.833	72	28.8	0.15	blastn,tblastx	3732.5
1	3802	3766	82.609	23	21.4	5.4	blastn,tblastx	3789.0
1	3962	4006	75.758	33	22.2	0.19	blastn,tblastx	3989.5
1	4184	4192	70.833	72	28.8	0.001	blastn,tblastx	4186.0
1	4436	4508	82.609	56	35.0	9.63e-06	blastn,tblastx	4478.0
1	4704	4726	75.0	40	26.7	0.005	blastn,tblastx	4716.75
1	5345	5320	78.571	28	22.2	0.007	blastn,tblastx	5341.5
1	7186	7145	76.667	30	21.4	7.4	blastn,tblastx	7159.5
1	8330	8304	76.19	23	20.8	1.64e-05	blastn,tblastx	8317.25
1	9791	9808	80.952	21	21.7	2.8	blastn,tblastx	9799.5
1	10216	10260	88.889	24	22.1	3.38e-06	blastn,tblastx	10228.5
1	10635	10680	82.609	23	46.0	1.28e-08	blastn,tblastx	10664.5
1	11071	11064	68.75	48	19.2	0.31	blastn,tblastx	11067.5
1	13204	13156	73.171	41	20.7	0.98	blastn,tblastx	13180.0
2	7552	7554	100.0	306	457.0	7.37e-132	blastn,tblastx	7553.5
2	10402	10352	85.0	40	20.7	1.3	blastn,tblastx	10382.5
3	2135	2082	72.973	37	20.7	0.56	blastn,tblastx	2106.0
3	9558	9559	100.0	90	136.0	7.16e-36	blastn,tblastx	9558.5
4	10288	10290	100.0	282	421.0	3.66e-121	blastn,tblastx	10288.5
4	11022	11008	75.556	45	26.6	0.036	blastn,tblastx	11014.75
5	10952	10954	100.0	132	198.0	1.92e-54	blastn,tblastx	10952.5
5	13034	12990	71.429	35	18.0	0.83	blastn,tblastx	13010.0
6	12016	12018	100.0	1035	1540.0	0.0	blastn,tblastx	12017.0
6	13306	13275	83.333	29	23.1	0.35	blastn,tblastx	13287.5
