method	exon_index	sstart	send	reason	detail
blastn	1	2127	2142	basic	len/pident 16/93.75
blastn	1	4561	4576	basic	len/pident 17/88.235
blastn	1	2418	2430	basic	len/pident 13/92.308
blastn	1	10818	10830	basic	len/pident 13/92.308
blastn	1	11080	11094	basic	len/pident 16/87.5
blastn	1	7301	7292	basic	len/pident 10/100.0
blastn	1	2661	2675	basic	len/pident 15/86.667
blastn	1	2815	2804	basic	len/pident 12/91.667
blastn	1	3813	3827	basic	len/pident 15/86.667
blastn	1	2482	2495	basic	len/pident 14/85.714
blastn	1	3118	3110	basic	len/pident 9/100.0
blastn	1	7333	7322	basic	len/pident 12/91.667
blastn	1	10594	10602	basic	len/pident 9/100.0
blastn	1	10705	10689	basic	len/pident 17/82.353
blastn	1	10919	10930	basic	len/pident 12/91.667
blastn	1	2495	2485	basic	len/pident 11/90.909
blastn	1	2819	2829	basic	len/pident 11/90.909
blastn	1	6242	6230	basic	len/pident 14/85.714
blastn	1	1939	1932	basic	len/pident 8/100.0
blastn	1	1946	1939	basic	len/pident 8/100.0
blastn	1	2447	2435	basic	len/pident 13/84.615
blastn	1	2569	2562	basic	len/pident 8/100.0
blastn	1	2598	2605	basic	len/pident 8/100.0
blastn	1	3578	3571	basic	len/pident 8/100.0
blastn	1	9318	9325	basic	len/pident 8/100.0
blastn	1	10108	10101	basic	len/pident 8/100.0
blastn	1	10616	10604	basic	len/pident 13/84.615
blastn	1	10739	10732	basic	len/pident 8/100.0
blastn	1	10740	10733	basic	len/pident 8/100.0
blastn	1	10824	10831	basic	len/pident 8/100.0
blastn	2	8242	8258	basic	len/pident 17/88.235
blastn	2	113	125	basic	len/pident 15/86.667
blastn	2	1134	1148	basic	len/pident 15/86.667
blastn	2	1483	1497	basic	len/pident 15/86.667
blastn	2	7070	7085	basic	len/pident 16/87.5
blastn	2	7260	7271	basic	len/pident 13/92.308
blastn	2	7571	7560	basic	len/pident 13/92.308
blastn	2	8391	8400	basic	len/pident 10/100.0
blastn	2	9038	9049	basic	len/pident 13/92.308
blastn	2	9293	9302	basic	len/pident 10/100.0
blastn	2	4363	4374	basic	len/pident 12/91.667
blastn	2	5955	5971	basic	len/pident 17/82.353
blastn	2	6572	6561	basic	len/pident 12/91.667
blastn	2	7833	7819	basic	len/pident 15/86.667
blastn	2	9333	9322	basic	len/pident 12/91.667
blastn	2	9962	9973	basic	len/pident 12/91.667
blastn	2	368	376	basic	len/pident 9/100.0
blastn	2	978	970	basic	len/pident 9/100.0
blastn	2	1298	1310	basic	len/pident 16/81.25
blastn	2	4084	4074	basic	len/pident 12/91.667
blastn	2	4278	4293	basic	len/pident 17/82.353
blastn	2	6918	6910	basic	len/pident 9/100.0
blastn	2	7348	7340	basic	len/pident 9/100.0
blastn	2	8437	8445	basic	len/pident 9/100.0
blastn	2	8633	8641	basic	len/pident 9/100.0
blastn	2	9104	9112	basic	len/pident 9/100.0
blastn	2	9489	9497	basic	len/pident 9/100.0
blastn	2	10373	10381	basic	len/pident 9/100.0
blastn	2	4383	4367	basic	len/pident 17/82.353
blastn	2	8130	8120	basic	len/pident 11/90.909
blastn	2	10142	10132	basic	len/pident 11/90.909
blastn	2	372	365	basic	len/pident 8/100.0
blastn	2	513	506	basic	len/pident 8/100.0
blastn	2	540	552	basic	len/pident 13/84.615
blastn	2	1800	1807	basic	len/pident 8/100.0
