exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	207	2001	2207	100.0	207	exon	CDS
1	67	94	34643	34616	85.714	28	exon	intron
1	105	145	29576	29528	72.549	51	exon	intron
1	89	135	153973	154020	74.51	51	exon	intron
1	111	137	14744	14718	82.759	29	exon	intron
1	69	116	60849	60798	72.222	54	exon	intron
1	146	163	88589	88606	94.444	18	exon	intron
1	146	163	88592	88609	94.444	18	exon	intron
1	57	89	21969	22003	77.143	35	exon	intron
1	3	23	29394	29373	86.957	23	exon	intron
1	66	136	43157	43233	69.231	78	exon	intron
1	161	190	119514	119484	78.788	33	exon	intron
1	14	35	152339	152318	86.364	22	exon	intron
1	28	52	13184	13162	84.0	25	exon	intron
1	54	116	37817	37882	67.606	71	exon	intron
1	100	118	78653	78671	89.474	19	exon	intron
1	18	39	110010	109987	83.333	24	exon	intron
1	76	153	150993	150924	68.293	82	exon	intron
1	141	159	153917	153935	89.474	19	exon	intron
1	62	87	81955	81980	80.769	26	exon	intron
1	139	156	87355	87373	89.474	19	exon	intron
1	28	48	120373	120353	86.364	22	exon	intron
1	149	174	153922	153950	79.31	29	exon	intron
1	48	74	165182	165206	81.481	27	exon	intron
1	28	77	2077	2028	68.966	58	exon	intron
1	74	91	29403	29420	88.889	18	exon	intron
1	35	57	58953	58931	82.609	23	exon	intron
1	44	73	64933	64966	77.143	35	exon	intron
1	13	46	91396	91430	75.0	36	exon	intron
1	123	140	91479	91496	88.889	18	exon	intron
1	178	207	167468	167496	77.419	31	exon	intron
1	27	44	34668	34652	88.889	18	exon	intron
1	80	104	36322	36298	80.0	25	exon	intron
1	56	74	83687	83667	85.714	21	exon	intron
1	35	75	93691	93650	72.727	44	exon	intron
1	28	45	98270	98286	88.889	18	exon	intron
1	85	114	146756	146727	77.419	31	exon	intron
1	23	52	151003	150971	75.758	33	exon	intron
1	102	119	155712	155728	88.889	18	exon	intron
1	107	136	162326	162358	75.758	33	exon	intron
1	69	86	163620	163604	88.889	18	exon	intron
