metric	value
hits:exon->CDS	28
hits:exon->exon	5
hits:exon->intron	305
copies:exon_to_intron_total	299
copies:exon_01_(2001-3452)	22
copies:exon_02_(4906-5030)	11
copies:exon_03_(5812-5935)	21
copies:exon_04_(6889-7022)	18
copies:exon_05_(7891-8005)	15
copies:exon_06_(8265-8343)	19
copies:exon_07_(9643-9838)	12
copies:exon_08_(10357-10452)	16
copies:exon_09_(12314-12456)	23
copies:exon_10_(14049-14214)	24
copies:exon_11_(15765-15846)	11
copies:exon_12_(16273-16405)	9
copies:exon_13_(17026-17155)	22
copies:exon_14_(17970-18121)	21
copies:exon_15_(19917-20009)	9
copies:exon_16_(30431-30646)	15
copies:exon_17_(50574-50682)	23
copies:exon_18_(51189-51244)	8
intron:total_raw_exon_to_intron_hits	290
intron:total_clustered_copies	246
intron_01_(1-2000):raw_hits	8
intron_01_(1-2000):clustered_copies	7
intron_02_(3453-4905):raw_hits	9
intron_02_(3453-4905):clustered_copies	9
intron_03_(5031-5811):raw_hits	1
intron_03_(5031-5811):clustered_copies	1
intron_04_(5936-6888):raw_hits	6
intron_04_(5936-6888):clustered_copies	5
intron_05_(7023-7890):raw_hits	4
intron_05_(7023-7890):clustered_copies	4
intron_06_(8006-8264):raw_hits	2
intron_06_(8006-8264):clustered_copies	2
intron_07_(8344-9642):raw_hits	7
intron_07_(8344-9642):clustered_copies	7
intron_08_(9839-10356):raw_hits	0
intron_08_(9839-10356):clustered_copies	0
intron_09_(10453-12313):raw_hits	10
intron_09_(10453-12313):clustered_copies	10
intron_10_(12457-14048):raw_hits	17
intron_10_(12457-14048):clustered_copies	11
intron_11_(14215-15764):raw_hits	4
intron_11_(14215-15764):clustered_copies	4
intron_12_(15847-16272):raw_hits	4
intron_12_(15847-16272):clustered_copies	4
intron_13_(16406-17025):raw_hits	5
intron_13_(16406-17025):clustered_copies	4
intron_14_(17156-17969):raw_hits	4
intron_14_(17156-17969):clustered_copies	4
intron_15_(18122-19916):raw_hits	14
intron_15_(18122-19916):clustered_copies	12
intron_16_(20010-30430):raw_hits	59
intron_16_(20010-30430):clustered_copies	49
intron_17_(30647-50573):raw_hits	112
intron_17_(30647-50573):clustered_copies	92
intron_18_(50683-51188):raw_hits	5
intron_18_(50683-51188):clustered_copies	4
intron_19_(51245-53244):raw_hits	19
intron_19_(51245-53244):clustered_copies	17
