metric	value
hits:exon->CDS	32
hits:exon->exon	14
hits:exon->intron	312
copies:exon_to_intron_total	292
copies:exon_01_(2001-2496)	45
copies:exon_02_(2943-3033)	20
copies:exon_03_(3165-3318)	12
copies:exon_04_(4210-5642)	39
copies:exon_05_(6405-6469)	13
copies:exon_06_(7106-7248)	21
copies:exon_07_(7506-7638)	29
copies:exon_08_(8019-8061)	19
copies:exon_09_(8827-8931)	14
copies:exon_10_(9563-9772)	15
copies:exon_11_(12348-12433)	14
copies:exon_12_(16501-17172)	15
copies:exon_13_(19254-19362)	17
copies:exon_14_(21876-22423)	19
intron:total_raw_exon_to_intron_hits	264
intron:total_clustered_copies	168
intron_01_(1-2000):raw_hits	26
intron_01_(1-2000):clustered_copies	17
intron_02_(2497-2942):raw_hits	7
intron_02_(2497-2942):clustered_copies	3
intron_03_(3034-3164):raw_hits	2
intron_03_(3034-3164):clustered_copies	2
intron_04_(3319-4209):raw_hits	9
intron_04_(3319-4209):clustered_copies	7
intron_05_(5643-6404):raw_hits	11
intron_05_(5643-6404):clustered_copies	6
intron_06_(6470-7105):raw_hits	7
intron_06_(6470-7105):clustered_copies	6
intron_07_(7249-7505):raw_hits	2
intron_07_(7249-7505):clustered_copies	1
intron_08_(7639-8018):raw_hits	7
intron_08_(7639-8018):clustered_copies	2
intron_09_(8062-8826):raw_hits	12
intron_09_(8062-8826):clustered_copies	8
intron_10_(8932-9562):raw_hits	12
intron_10_(8932-9562):clustered_copies	6
intron_11_(9773-12347):raw_hits	38
intron_11_(9773-12347):clustered_copies	25
intron_12_(12434-16500):raw_hits	50
intron_12_(12434-16500):clustered_copies	34
intron_13_(17173-19253):raw_hits	20
intron_13_(17173-19253):clustered_copies	15
intron_14_(19363-21875):raw_hits	36
intron_14_(19363-21875):clustered_copies	21
intron_15_(22424-24423):raw_hits	25
intron_15_(22424-24423):clustered_copies	15
