exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3	284	2003	2284	100.0	94	243.0	7.48e-68	2	tblastx:e1e1
1	283	2	2283	2002	100.0	94	237.0	4.65e-66	-3	tblastx:e1e1
1	1	285	2001	2285	100.0	95	237.0	4.78e-66	3	tblastx:e1e1
1	285	1	2285	2001	100.0	95	228.0	1.94e-63	-1	tblastx:e1e1
1	2	283	2002	2283	100.0	94	223.0	6.39e-62	1	tblastx:e1e1
1	284	3	2284	2003	100.0	94	221.0	2.28e-61	-2	tblastx:e1e1
1	175	125	22606	22656	47.059	17	22.6	0.23	1	tblastx:e1e1
1	145	56	2160	2249	33.333	30	20.3	0.41	3	tblastx:e1e1
1	248	204	2057	2101	46.667	15	16.6	0.41	2	tblastx:e1e1
1	160	249	2145	2056	33.333	30	20.1	0.47	-3	tblastx:e1e1
1	57	101	2248	2204	46.667	15	16.6	0.47	-2	tblastx:e1e1
1	229	252	12443	12420	75.0	8	20.5	0.96	-1	tblastx:e1e1
1	115	68	24779	24826	43.75	16	20.3	1.1	2	tblastx:e1e1
1	12	59	12787	12834	43.75	16	20.3	1.1	1	tblastx:e1e1
1	144	170	1825	1799	66.667	9	20.3	1.1	-2	tblastx:e1e1
1	137	175	9391	9429	61.538	13	19.9	1.5	1	tblastx:e1e1
1	65	48	27415	27432	100.0	6	19.4	2.1	1	tblastx:e1e1
1	69	113	2580	2624	46.667	15	19.4	2.1	3	tblastx:e1e1
1	129	152	1406	1383	50.0	8	18.9	2.9	-1	tblastx:e1e1
1	163	125	1761	1799	46.154	13	18.5	3.9	3	tblastx:e1e1
1	89	157	30788	30720	30.435	23	18.5	4.0	-1	tblastx:e1e1
1	146	181	4137	4172	41.667	12	18.5	4.0	3	tblastx:e1e1
1	227	271	20544	20588	46.667	15	18.5	4.0	3	tblastx:e1e1
1	33	71	9238	9200	46.154	13	18.5	4.0	-2	tblastx:e1e1
1	253	270	25240	25223	66.667	6	18.3	4.6	-2	tblastx:e1e1
1	157	107	29170	29220	47.059	17	18.0	5.4	1	tblastx:e1e1
1	18	95	6765	6688	30.769	26	18.0	5.5	-3	tblastx:e1e1
1	122	69	23755	23808	44.444	18	17.6	7.4	1	tblastx:e1e1
1	125	151	5669	5695	55.556	9	17.6	7.5	2	tblastx:e1e1
1	250	264	19336	19350	80.0	5	17.4	8.6	1	tblastx:e1e1
2	28	2	2352	2326	100.0	9	30.9	8.6e-05	-3	tblastx:e1e1
2	1	30	2325	2354	100.0	10	30.2	0.000119	3	tblastx:e1e1
2	2	28	2326	2352	100.0	9	26.3	0.002	1	tblastx:e1e1
2	29	3	2353	2327	100.0	9	26.3	0.002	-2	tblastx:e1e1
2	30	1	2354	2325	100.0	10	25.8	0.003	-1	tblastx:e1e1
2	3	29	2327	2353	100.0	9	24.0	0.009	2	tblastx:e1e1
2	4	24	9576	9556	71.429	7	16.9	1.2	-3	tblastx:e1e1
2	26	9	30537	30554	66.667	6	14.4	7.7	3	tblastx:e1e1
2	28	8	29200	29220	57.143	7	14.4	7.9	1	tblastx:e1e1
3	38	3	2619	2584	100.0	12	36.3	1.9e-06	-3	tblastx:e1e1
3	3	38	2584	2619	100.0	12	34.1	9.31e-06	1	tblastx:e1e1
3	2	37	2583	2618	100.0	12	32.7	2.41e-05	3	tblastx:e1e1
3	37	2	2618	2583	100.0	12	31.8	4.56e-05	-1	tblastx:e1e1
3	36	1	2617	2582	100.0	12	30.4	0.000118	-2	tblastx:e1e1
3	1	36	2582	2617	100.0	12	28.8	0.00036	2	tblastx:e1e1
3	24	4	25980	25960	85.714	7	17.1	1.2	-3	tblastx:e1e1
3	32	18	4835	4849	80.0	5	16.6	1.6	2	tblastx:e1e1
3	2	25	16462	16485	62.5	8	15.3	4.0	1	tblastx:e1e1
3	5	28	18058	18035	62.5	8	14.9	6.2	-2	tblastx:e1e1
4	2	70	4121	4189	100.0	23	61.1	6.77e-14	2	tblastx:e1e1
4	1	69	4120	4188	100.0	23	60.2	1.28e-13	1	tblastx:e1e1
4	69	1	4188	4120	100.0	23	58.3	5.12e-13	-3	tblastx:e1e1
4	3	68	4122	4187	100.0	22	57.4	8.59e-13	3	tblastx:e1e1
4	70	2	4189	4121	100.0	23	57.4	9.66e-13	-2	tblastx:e1e1
4	68	3	4187	4122	100.0	22	55.6	3.5e-12	-1	tblastx:e1e1
4	11	61	30589	30539	47.059	17	21.7	0.049	-2	tblastx:e1e1
4	18	53	2146	2181	41.667	12	18.5	0.46	1	tblastx:e1e1
4	38	70	5348	5316	45.455	11	17.6	0.86	-1	tblastx:e1e1
4	14	64	4462	4512	29.412	17	16.6	1.6	1	tblastx:e1e1
4	43	63	4850	4870	71.429	7	16.6	1.6	2	tblastx:e1e1
4	29	52	23507	23484	50.0	8	16.2	2.2	-1	tblastx:e1e1
4	53	9	22137	22181	40.0	15	16.1	2.5	3	tblastx:e1e1
4	65	18	10245	10198	43.75	16	16.1	2.8	-3	tblastx:e1e1
4	28	11	1470	1487	66.667	6	15.7	3.1	3	tblastx:e1e1
4	11	67	5674	5730	42.105	19	15.3	4.2	1	tblastx:e1e1
4	14	55	20505	20546	35.714	14	15.3	4.2	3	tblastx:e1e1
4	51	68	20922	20905	83.333	6	15.3	4.2	-3	tblastx:e1e1
4	55	66	10509	10520	100.0	4	14.8	5.8	3	tblastx:e1e1
4	49	32	8589	8606	100.0	6	14.4	7.9	3	tblastx:e1e1
4	69	40	25852	25881	40.0	10	14.4	7.9	1	tblastx:e1e1
4	47	67	30564	30544	71.429	7	14.4	7.9	-3	tblastx:e1e1
5	1	129	4722	4850	100.0	43	108.0	8.02e-28	3	tblastx:e1e1
5	129	1	4850	4722	100.0	43	107.0	1.98e-27	-1	tblastx:e1e1
5	128	3	4849	4724	100.0	42	105.0	5.13e-27	-2	tblastx:e1e1
5	3	128	4724	4849	100.0	42	105.0	5.39e-27	2	tblastx:e1e1
5	2	127	4723	4848	100.0	42	104.0	1.4e-26	1	tblastx:e1e1
5	127	2	4848	4723	100.0	42	99.1	6.02e-25	-3	tblastx:e1e1
5	82	44	27970	27932	61.538	13	22.1	0.09	-2	tblastx:e1e1
5	75	128	20719	20772	38.889	18	19.9	0.46	1	tblastx:e1e1
5	12	35	27940	27963	75.0	8	19.4	0.63	1	tblastx:e1e1
5	89	45	19830	19786	46.667	15	18.9	0.83	-3	tblastx:e1e1
5	6	122	10781	10665	30.769	39	18.9	0.83	-1	tblastx:e1e1
5	111	58	4514	4461	33.333	18	18.5	1.1	-1	tblastx:e1e1
5	91	123	6481	6513	36.364	11	18.5	1.2	1	tblastx:e1e1
5	72	107	22541	22576	50.0	12	18.5	1.2	2	tblastx:e1e1
5	94	65	15594	15623	60.0	10	18.0	1.6	3	tblastx:e1e1
5	92	60	18275	18307	63.636	11	18.0	1.6	2	tblastx:e1e1
5	77	112	10314	10279	50.0	12	18.0	1.6	-3	tblastx:e1e1
5	94	114	25331	25311	71.429	7	17.6	2.1	-1	tblastx:e1e1
5	89	63	13713	13739	66.667	9	17.1	2.9	3	tblastx:e1e1
5	4	21	16565	16548	83.333	6	17.1	2.9	-1	tblastx:e1e1
5	101	124	481	458	50.0	8	17.1	2.9	-2	tblastx:e1e1
5	100	126	23226	23252	55.556	9	16.6	4.3	3	tblastx:e1e1
5	86	60	632	658	55.556	9	16.2	5.6	2	tblastx:e1e1
5	101	81	15554	15534	57.143	7	16.2	5.6	-1	tblastx:e1e1
5	85	59	18028	18054	55.556	9	16.2	5.6	1	tblastx:e1e1
5	88	2	19465	19551	37.931	29	16.2	5.6	1	tblastx:e1e1
5	4	18	17920	17934	80.0	5	16.2	5.8	1	tblastx:e1e1
5	82	35	7250	7297	31.25	16	15.7	7.6	2	tblastx:e1e1
5	20	3	17936	17919	83.333	6	15.7	7.6	-1	tblastx:e1e1
5	90	107	12914	12897	83.333	6	15.7	7.6	-1	tblastx:e1e1
5	94	111	12118	12101	66.667	6	15.7	7.6	-2	tblastx:e1e1
5	19	93	13554	13628	28.0	25	15.7	8.0	3	tblastx:e1e1
5	90	122	30731	30763	54.545	11	15.7	8.0	2	tblastx:e1e1
6	3	320	5837	6154	100.0	106	258.0	2.95e-72	2	tblastx:e1e1
6	321	1	6155	5835	100.0	107	253.0	5.82e-71	-1	tblastx:e1e1
6	320	3	6154	5837	100.0	106	250.0	5.38e-70	-2	tblastx:e1e1
6	1	321	5835	6155	100.0	107	250.0	5.44e-70	3	tblastx:e1e1
6	2	319	5836	6153	100.0	106	249.0	1.03e-69	1	tblastx:e1e1
6	319	2	6153	5836	100.0	106	241.0	3.08e-67	-3	tblastx:e1e1
6	210	278	8841	8909	39.13	23	25.1	0.047	3	tblastx:e1e1
6	162	100	20030	19968	42.857	21	22.1	0.36	-1	tblastx:e1e1
6	164	214	11133	11183	35.294	17	22.1	0.37	3	tblastx:e1e1
6	118	86	11849	11817	54.545	11	20.8	0.94	-1	tblastx:e1e1
6	282	232	2364	2314	41.176	17	20.8	0.94	-3	tblastx:e1e1
6	278	210	9686	9754	30.435	23	18.9	0.95	2	tblastx:e1e1
6	316	287	9600	9629	60.0	10	16.6	0.95	3	tblastx:e1e1
6	305	252	22768	22715	44.444	18	20.3	1.3	-2	tblastx:e1e1
6	192	314	14057	13935	29.268	41	19.7	2.0	-1	tblastx:e1e1
6	299	255	24985	24941	46.667	15	18.9	3.4	-2	tblastx:e1e1
6	195	160	15132	15097	50.0	12	18.9	3.4	-3	tblastx:e1e1
6	262	300	30758	30720	46.154	13	18.9	3.4	-1	tblastx:e1e1
6	298	312	6897	6911	80.0	5	18.9	3.4	3	tblastx:e1e1
6	106	159	21592	21539	50.0	18	18.9	3.4	-2	tblastx:e1e1
6	289	312	20082	20059	62.5	8	18.9	3.4	-3	tblastx:e1e1
6	191	211	15929	15909	71.429	7	18.9	3.4	-1	tblastx:e1e1
6	165	82	28134	28051	35.714	28	18.5	4.6	-3	tblastx:e1e1
6	149	111	3927	3889	61.538	13	18.5	4.6	-3	tblastx:e1e1
6	252	202	4371	4421	47.059	17	18.5	4.7	3	tblastx:e1e1
6	190	164	22126	22152	66.667	9	18.5	4.7	1	tblastx:e1e1
6	221	174	29891	29938	50.0	16	18.5	4.7	2	tblastx:e1e1
6	148	128	30471	30491	71.429	7	18.5	4.7	3	tblastx:e1e1
6	204	139	30574	30509	27.273	22	18.0	6.3	-2	tblastx:e1e1
