exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	285	2001	2285	100.0	285	exon	exon
1	170	199	4094	4063	75.0	32	exon	intron
1	253	285	4283	4255	75.758	33	exon	intron
1	187	211	30324	30347	80.0	25	exon	intron
1	31	49	10750	10768	85.0	20	exon	intron
1	78	99	15237	15257	81.818	22	exon	intron
1	255	275	18192	18173	81.818	22	exon	intron
1	182	205	16670	16648	79.167	24	exon	intron
1	170	192	18194	18217	79.167	24	exon	intron
1	118	138	24820	24800	81.818	22	exon	intron
1	202	223	25495	25476	81.818	22	exon	intron
1	133	150	1402	1385	83.333	18	exon	intron
1	20	42	25921	25899	78.261	23	exon	intron
1	268	285	30115	30132	83.333	18	exon	intron
1	135	152	4283	4267	83.333	18	exon	intron
1	178	202	22265	22243	76.0	25	exon	intron
1	233	252	22371	22390	80.0	20	exon	intron
2	1	30	2325	2354	100.0	30	exon	exon
2	2	21	2069	2090	77.273	22	exon	exon
2	1	23	21484	21503	73.913	23	exon	intron
2	14	30	5335	5317	78.947	19	exon	intron
2	11	27	23898	23881	77.778	18	exon	intron
3	1	38	2582	2619	100.0	38	exon	exon
3	8	30	23196	23173	80.0	25	exon	intron
3	11	33	6605	6627	79.167	24	exon	CDS
3	7	26	3177	3160	80.0	20	exon	intron
3	7	23	13964	13981	83.333	18	exon	exon
3	2	23	13145	13127	77.273	22	exon	intron
3	4	23	21248	21231	80.0	20	exon	intron
3	12	38	22310	22283	72.414	29	exon	intron
3	4	21	24828	24847	76.19	21	exon	intron
3	9	26	6030	6015	77.778	18	exon	intron
4	1	70	4120	4189	100.0	70	exon	exon
4	21	57	30600	30560	78.571	42	exon	intron
4	42	64	12373	12394	82.609	23	exon	intron
4	7	28	7198	7217	82.609	23	exon	intron
4	8	65	18941	18992	68.966	58	exon	intron
4	54	70	21291	21307	88.889	18	exon	intron
4	30	57	13614	13589	75.862	29	exon	intron
4	31	48	10359	10377	84.211	19	exon	intron
4	51	69	1242	1226	84.211	19	exon	intron
4	7	45	5730	5769	71.429	42	exon	intron
4	43	69	10576	10553	77.778	27	exon	intron
4	13	37	14134	14109	77.778	27	exon	intron
4	23	43	9700	9721	79.167	24	exon	intron
4	16	35	24598	24579	80.952	21	exon	intron
4	15	51	26106	26139	71.795	39	exon	intron
4	43	64	4850	4871	77.273	22	exon	intron
4	16	42	8011	8037	74.074	27	exon	intron
4	12	33	2004	2024	77.273	22	exon	exon
4	47	70	25946	25972	74.074	27	exon	intron
4	27	55	3314	3284	71.875	32	exon	intron
4	9	27	13743	13760	78.947	19	exon	exon
4	28	48	22524	22542	76.19	21	exon	intron
4	49	66	23950	23964	77.778	18	exon	intron
4	12	25	17453	17436	77.778	18	exon	intron
5	1	129	4722	4850	100.0	129	exon	CDS
5	3	30	26020	26044	82.143	28	exon	intron
5	16	42	12666	12690	81.481	27	exon	intron
5	7	38	18240	18273	77.143	35	exon	intron
5	7	35	8276	8302	79.31	29	exon	intron
5	1	76	19559	19476	65.909	88	exon	intron
5	41	81	444	489	70.833	48	exon	intron
5	79	101	15533	15554	82.609	23	exon	intron
5	48	74	6431	6405	78.571	28	exon	intron
5	73	92	10967	10949	85.714	21	exon	intron
5	49	80	22912	22881	75.758	33	exon	intron
5	60	77	23431	23416	88.889	18	exon	intron
5	47	70	13414	13391	79.167	24	exon	intron
5	2	30	25348	25320	75.862	29	exon	intron
5	96	114	28717	28699	84.211	19	exon	intron
5	81	101	12059	12079	81.818	22	exon	intron
5	61	79	19947	19930	84.211	19	exon	intron
5	31	48	21866	21851	83.333	18	exon	intron
5	31	58	27892	27917	75.0	28	exon	intron
5	38	57	29321	29301	80.952	21	exon	intron
5	45	83	7530	7568	70.732	41	exon	intron
5	49	90	13586	13625	68.889	45	exon	exon
5	29	46	23397	23381	83.333	18	exon	intron
5	92	109	28401	28415	83.333	18	exon	intron
5	32	48	29718	29735	83.333	18	exon	intron
5	76	94	5758	5743	78.947	19	exon	intron
5	7	36	13302	13271	71.875	32	exon	intron
5	12	31	15153	15174	77.273	22	exon	intron
5	87	102	19757	19740	83.333	18	exon	intron
5	4	27	625	648	75.0	24	exon	intron
5	95	116	18300	18320	77.273	22	exon	intron
6	1	321	5835	6155	100.0	321	exon	CDS
6	105	150	13978	14024	74.0	50	exon	exon
6	174	212	11296	11335	75.61	41	exon	intron
6	100	118	9086	9106	85.714	21	exon	intron
6	273	303	30748	30711	73.684	38	exon	intron
6	213	230	9870	9887	88.889	18	exon	intron
6	264	301	23449	23416	74.359	39	exon	intron
6	42	62	30105	30124	85.714	21	exon	intron
6	175	199	3155	3179	80.769	26	exon	intron
6	80	96	4115	4132	88.889	18	exon	exon
6	91	110	17964	17945	85.714	21	exon	intron
6	97	122	24741	24770	76.667	30	exon	intron
6	138	166	5575	5604	77.419	31	exon	intron
6	96	126	15093	15125	75.758	33	exon	intron
6	39	60	22549	22568	81.818	22	exon	intron
6	294	314	28990	28972	81.818	22	exon	intron
6	286	311	308	328	76.923	26	exon	intron
6	32	57	4434	4460	77.778	27	exon	intron
6	127	148	7591	7571	81.818	22	exon	intron
6	5	22	14712	14731	85.0	20	exon	exon
6	256	277	19704	19686	81.818	22	exon	intron
6	42	68	21348	21373	77.778	27	exon	intron
6	185	206	28527	28547	81.818	22	exon	intron
6	87	105	6600	6620	80.952	21	exon	CDS
6	233	251	19154	19171	84.211	19	exon	intron
6	44	67	22565	22590	76.923	26	exon	intron
6	2	22	24440	24460	81.818	22	exon	intron
6	8	24	530	549	80.0	20	exon	intron
6	298	315	6897	6914	83.333	18	exon	intron
6	128	145	16886	16903	83.333	18	exon	intron
6	128	145	20824	20807	83.333	18	exon	intron
6	162	179	22503	22483	80.952	21	exon	intron
6	279	296	23286	23303	83.333	18	exon	intron
6	253	277	9695	9671	76.923	26	exon	intron
7	1	261	6588	6848	100.0	261	exon	CDS
7	32	56	10808	10833	85.185	27	exon	intron
7	180	208	9370	9342	80.0	30	exon	intron
7	35	69	24239	24207	77.143	35	exon	intron
7	194	211	10258	10276	89.474	19	exon	intron
7	134	161	15717	15690	78.571	28	exon	intron
7	184	201	21172	21155	88.889	18	exon	intron
7	212	231	430	447	85.0	20	exon	intron
7	230	251	5496	5518	82.609	23	exon	intron
7	60	87	23619	23648	76.667	30	exon	intron
7	168	191	520	544	80.0	25	exon	intron
7	228	259	4421	4455	75.0	36	exon	intron
7	217	238	4922	4901	81.818	22	exon	intron
7	111	129	18980	18961	85.0	20	exon	intron
7	50	69	23865	23844	81.818	22	exon	intron
7	30	47	24800	24785	88.889	18	exon	intron
7	37	61	26172	26193	80.0	25	exon	intron
7	149	175	29271	29295	77.778	27	exon	intron
7	180	224	4597	4551	70.588	51	exon	intron
7	120	149	17928	17903	76.667	30	exon	intron
7	204	230	20964	20992	76.667	30	exon	intron
7	71	97	21956	21928	76.667	30	exon	intron
7	13	33	5921	5939	80.952	21	exon	CDS
7	70	87	9387	9369	85.0	20	exon	intron
7	166	216	16107	16154	68.519	54	exon	intron
7	110	140	21472	21448	74.194	31	exon	intron
7	200	219	13760	13780	80.952	21	exon	exon
7	123	148	18655	18636	73.077	26	exon	intron
7	37	63	21632	21599	71.429	35	exon	intron
7	71	88	938	919	80.0	20	exon	intron
7	52	80	5789	5818	71.875	32	exon	intron
7	122	141	13061	13042	80.0	20	exon	intron
7	133	150	13294	13310	83.333	18	exon	intron
7	19	36	14247	14231	83.333	18	exon	intron
7	41	60	17107	17090	80.0	20	exon	intron
7	141	158	23179	23165	83.333	18	exon	intron
7	59	75	26589	26606	83.333	18	exon	intron
7	162	178	6215	6199	83.333	18	exon	intron
7	199	231	8895	8855	68.293	41	exon	intron
7	229	250	16125	16104	77.273	22	exon	intron
7	222	240	20511	20493	78.947	19	exon	intron
7	33	51	28888	28906	78.947	19	exon	exon
8	1	291	8659	8949	100.0	291	exon	CDS
8	45	76	15649	15616	77.143	35	exon	intron
8	54	72	25109	25091	89.474	19	exon	intron
8	149	220	5450	5375	67.5	80	exon	intron
8	56	91	24698	24664	75.0	36	exon	intron
8	32	48	14458	14441	88.889	18	exon	intron
8	5	28	16830	16852	80.0	25	exon	intron
8	142	176	28017	28048	72.973	37	exon	intron
8	83	107	11101	11122	80.0	25	exon	intron
8	90	120	25055	25027	75.0	32	exon	intron
8	174	191	18074	18091	83.333	18	exon	intron
8	92	111	24915	24896	80.0	20	exon	intron
8	14	31	28991	29010	80.0	20	exon	exon
9	1	92	11896	11987	100.0	92	exon	CDS
9	13	44	21239	21211	81.25	32	exon	intron
9	7	28	14315	14293	82.609	23	exon	intron
9	68	92	18790	18763	78.571	28	exon	intron
