exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	803	3	2803	2003	100.0	267	626.0	0.0	-3	tblastx:e1e1
1	1	801	2001	2801	100.0	267	625.0	0.0	3	tblastx:e1e1
1	3	803	2003	2803	100.0	267	622.0	0.0	2	tblastx:e1e1
1	802	2	2802	2002	100.0	267	619.0	0.0	-1	tblastx:e1e1
1	801	1	2801	2001	100.0	267	615.0	1.5e-179	-2	tblastx:e1e1
1	2	802	2002	2802	100.0	267	600.0	3.9e-175	1	tblastx:e1e1
1	676	729	5453	5506	50.0	18	24.4	0.13	2	tblastx:e1e1
1	96	61	115	80	58.333	12	23.5	0.24	-3	tblastx:e1e1
1	404	381	14267	14290	75.0	8	19.9	0.43	2	tblastx:e1e1
1	548	519	14155	14184	70.0	10	18.0	0.43	1	tblastx:e1e1
1	748	701	17134	17087	50.0	16	21.7	0.87	-3	tblastx:e1e1
1	326	391	15982	15917	45.455	22	21.7	0.87	-3	tblastx:e1e1
1	552	593	14692	14733	42.857	14	21.2	1.2	1	tblastx:e1e1
1	450	430	8694	8714	71.429	7	20.8	1.6	3	tblastx:e1e1
1	775	761	3652	3638	100.0	5	20.8	1.6	-3	tblastx:e1e1
1	149	102	15133	15180	50.0	16	20.8	1.6	1	tblastx:e1e1
1	139	174	1079	1114	50.0	12	20.3	2.3	2	tblastx:e1e1
1	766	692	2400	2474	28.0	25	20.3	2.3	3	tblastx:e1e1
1	400	474	2766	2692	28.0	25	20.3	2.3	-1	tblastx:e1e1
1	802	743	3515	3574	35.0	20	19.9	3.1	2	tblastx:e1e1
1	775	755	12996	12976	71.429	7	19.9	3.1	-1	tblastx:e1e1
1	91	150	10422	10481	40.0	20	19.9	3.1	3	tblastx:e1e1
1	401	381	7469	7449	85.714	7	19.9	3.1	-2	tblastx:e1e1
1	783	803	12389	12409	71.429	7	19.9	3.1	2	tblastx:e1e1
1	774	712	15217	15279	38.095	21	19.9	3.1	1	tblastx:e1e1
1	466	428	1893	1855	46.154	13	19.9	3.1	-1	tblastx:e1e1
1	138	194	1688	1744	31.579	19	19.4	4.3	2	tblastx:e1e1
1	466	431	12708	12673	50.0	12	19.4	4.3	-1	tblastx:e1e1
1	191	117	10774	10848	36.0	25	19.4	4.3	1	tblastx:e1e1
1	796	773	14759	14782	62.5	8	19.4	4.3	2	tblastx:e1e1
1	639	568	17241	17170	41.667	24	18.9	5.9	-1	tblastx:e1e1
1	594	553	5259	5300	35.714	14	18.9	5.9	3	tblastx:e1e1
1	151	165	2136	2150	100.0	5	18.5	8.0	3	tblastx:e1e1
1	136	150	2151	2165	100.0	5	18.5	8.0	3	tblastx:e1e1
1	110	136	11935	11909	55.556	9	18.5	8.0	-3	tblastx:e1e1
1	556	527	9518	9489	60.0	10	18.5	8.0	-2	tblastx:e1e1
1	478	461	8695	8678	66.667	6	18.5	8.0	-3	tblastx:e1e1
1	553	515	5998	5960	61.538	13	18.5	8.0	-3	tblastx:e1e1
2	1	93	3394	3486	100.0	31	79.4	1.82e-19	1	tblastx:e1e1
2	93	1	3486	3394	100.0	31	75.8	2.31e-18	-1	tblastx:e1e1
2	3	92	3396	3485	100.0	30	73.5	1.13e-17	3	tblastx:e1e1
2	92	3	3485	3396	100.0	30	70.7	7.59e-17	-2	tblastx:e1e1
2	91	2	3484	3395	100.0	30	68.4	3.72e-16	-3	tblastx:e1e1
2	2	91	3395	3484	100.0	30	68.0	5.11e-16	2	tblastx:e1e1
2	18	35	16087	16104	83.333	6	17.6	0.76	1	tblastx:e1e1
2	22	57	17717	17752	50.0	12	17.6	0.76	2	tblastx:e1e1
2	63	92	13249	13220	50.0	10	16.6	1.3	-3	tblastx:e1e1
2	24	47	15638	15615	62.5	8	16.2	1.8	-2	tblastx:e1e1
2	13	30	4963	4980	66.667	6	15.3	3.7	1	tblastx:e1e1
2	25	60	10213	10248	58.333	12	15.3	3.7	1	tblastx:e1e1
2	24	47	17096	17119	37.5	8	15.3	3.7	2	tblastx:e1e1
2	37	2	14617	14652	58.333	12	13.9	8.8	1	tblastx:e1e1
2	4	24	1	21	57.143	7	13.9	9.6	1	tblastx:e1e1
3	94	2	5445	5353	100.0	31	87.2	8.22e-22	-1	tblastx:e1e1
3	1	96	5352	5447	100.0	32	85.8	2.31e-21	3	tblastx:e1e1
3	95	3	5446	5354	100.0	31	77.1	8.9e-19	-3	tblastx:e1e1
3	96	1	5447	5352	100.0	32	74.8	4.36e-18	-2	tblastx:e1e1
3	2	94	5353	5445	100.0	31	71.8	3.81e-17	1	tblastx:e1e1
3	3	95	5354	5446	100.0	31	71.6	4.36e-17	2	tblastx:e1e1
3	93	55	12424	12386	61.538	13	21.2	0.06	-3	tblastx:e1e1
3	85	26	13631	13572	40.0	20	19.9	0.16	-2	tblastx:e1e1
3	42	68	15555	15529	66.667	9	18.0	0.55	-1	tblastx:e1e1
3	25	93	5406	5338	39.13	23	17.6	0.76	-1	tblastx:e1e1
3	31	5	13903	13929	66.667	9	17.6	0.76	1	tblastx:e1e1
3	54	77	11720	11697	75.0	8	16.6	1.4	-2	tblastx:e1e1
3	37	69	16347	16379	54.545	11	16.6	1.6	3	tblastx:e1e1
3	88	50	4527	4565	46.154	13	16.2	2.0	3	tblastx:e1e1
3	45	68	7266	7243	62.5	8	16.2	2.0	-1	tblastx:e1e1
3	89	72	1969	1986	66.667	6	15.7	2.7	1	tblastx:e1e1
3	46	66	5003	4983	71.429	7	15.7	2.7	-2	tblastx:e1e1
3	37	5	17155	17123	45.455	11	14.4	7.0	-3	tblastx:e1e1
3	31	5	2701	2675	55.556	9	14.4	7.0	-3	tblastx:e1e1
3	52	69	17434	17417	66.667	6	13.9	9.6	-3	tblastx:e1e1
3	19	69	15435	15385	29.412	17	13.9	9.6	-1	tblastx:e1e1
3	58	29	5944	5915	30.0	10	13.9	9.6	-3	tblastx:e1e1
4	3	125	5526	5648	100.0	41	107.0	8.93e-28	3	tblastx:e1e1
4	124	2	5647	5525	100.0	41	107.0	1.04e-27	-3	tblastx:e1e1
4	125	3	5648	5526	100.0	41	102.0	2.8e-26	-2	tblastx:e1e1
4	126	1	5649	5524	100.0	42	101.0	7.25e-26	-1	tblastx:e1e1
4	1	126	5524	5649	100.0	42	99.8	2.4e-25	1	tblastx:e1e1
4	2	124	5525	5647	100.0	41	90.9	1.13e-22	2	tblastx:e1e1
4	126	13	6271	6158	55.263	38	52.4	4.16e-11	-3	tblastx:e1e1
4	35	124	6180	6269	60.0	30	38.6	6.01e-07	3	tblastx:e1e1
4	124	44	6269	6189	48.148	27	34.2	1.21e-05	-2	tblastx:e1e1
4	34	2	11368	11336	54.545	11	20.6	0.092	-3	tblastx:e1e1
4	67	29	16958	16920	53.846	13	20.1	0.092	-2	tblastx:e1e1
4	27	65	16735	16697	46.154	13	21.2	0.1	-3	tblastx:e1e1
4	107	87	11916	11936	85.714	7	20.8	0.14	3	tblastx:e1e1
4	109	50	13926	13985	40.0	20	18.8	0.58	3	tblastx:e1e1
4	98	84	1935	1921	80.0	5	18.0	0.92	-1	tblastx:e1e1
4	104	30	6249	6175	36.0	25	17.6	1.3	-1	tblastx:e1e1
4	57	28	3665	3636	50.0	10	17.6	1.3	-2	tblastx:e1e1
4	77	103	13266	13240	55.556	9	17.6	1.3	-1	tblastx:e1e1
4	39	125	9175	9089	27.586	29	17.6	1.3	-3	tblastx:e1e1
4	98	6	13348	13440	32.258	31	17.6	1.3	1	tblastx:e1e1
