exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	2	187	2002	2187	100.0	62	155.0	2.35e-42	1	tblastx:e1e1
1	187	2	2187	2002	100.0	62	154.0	6.1e-42	-3	tblastx:e1e1
1	3	188	2003	2188	100.0	62	153.0	1.58e-41	2	tblastx:e1e1
1	189	1	2189	2001	100.0	63	150.0	1.06e-40	-1	tblastx:e1e1
1	188	3	2188	2003	100.0	62	146.0	1.85e-39	-2	tblastx:e1e1
1	1	189	2001	2189	100.0	63	145.0	4.17e-39	3	tblastx:e1e1
1	103	5	3070	2972	39.394	33	26.7	0.002	-2	tblastx:e1e1
1	103	8	6904	6809	34.375	32	26.3	0.003	-2	tblastx:e1e1
1	68	100	1798	1766	63.636	11	24.0	0.012	-2	tblastx:e1e1
1	9	113	6810	6914	31.429	35	24.0	0.012	3	tblastx:e1e1
1	76	62	4936	4922	100.0	5	23.1	0.024	-2	tblastx:e1e1
1	62	91	2020	1991	70.0	10	22.6	0.032	-2	tblastx:e1e1
1	100	71	2053	2082	60.0	10	21.7	0.061	1	tblastx:e1e1
1	53	82	2100	2071	60.0	10	21.7	0.061	-3	tblastx:e1e1
1	161	45	1376	1260	30.769	39	21.7	0.075	-1	tblastx:e1e1
1	57	25	325	293	63.636	11	18.9	0.075	-2	tblastx:e1e1
1	165	148	2994	2977	66.667	6	16.6	0.075	-3	tblastx:e1e1
1	44	67	2364	2387	75.0	8	20.3	0.16	3	tblastx:e1e1
1	53	76	343	366	62.5	8	18.0	0.19	1	tblastx:e1e1
1	3	56	256	309	38.889	18	17.6	0.19	1	tblastx:e1e1
1	41	79	3124	3162	46.154	13	19.9	0.22	1	tblastx:e1e1
1	21	68	5488	5535	50.0	16	19.9	0.22	1	tblastx:e1e1
1	3	56	7118	7171	38.889	18	19.9	0.22	2	tblastx:e1e1
1	90	37	6819	6766	55.556	18	19.4	0.3	-3	tblastx:e1e1
1	23	88	5752	5687	31.818	22	19.4	0.3	-2	tblastx:e1e1
1	89	36	6742	6689	44.444	18	18.9	0.41	-2	tblastx:e1e1
