exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	428	2001	2428	100.0	428	exon	CDS
1	148	183	28226	28192	78.947	38	exon	intron
1	315	352	4458	4420	77.5	40	exon	intron
1	15	34	14712	14732	86.364	22	exon	intron
1	210	239	17227	17199	78.125	32	exon	intron
1	182	208	23535	23512	81.481	27	exon	intron
1	239	258	3764	3785	86.364	22	exon	intron
1	196	229	22976	22944	76.471	34	exon	intron
1	18	45	4668	4695	78.571	28	exon	intron
1	357	396	5758	5720	74.419	43	exon	intron
1	185	210	27516	27540	80.769	26	exon	intron
1	19	40	9397	9377	82.609	23	exon	intron
1	47	66	22335	22354	85.0	20	exon	intron
1	201	257	22288	22344	68.254	63	exon	intron
1	260	285	32	61	76.667	30	exon	intron
1	310	330	12275	12254	82.609	23	exon	intron
1	193	211	14764	14782	84.211	19	exon	intron
1	231	251	26323	26344	81.818	22	exon	intron
1	154	182	802	772	75.0	32	exon	intron
1	18	34	10724	10705	85.0	20	exon	intron
1	264	290	14711	14733	77.778	27	exon	intron
1	270	290	20468	20448	80.952	21	exon	intron
1	172	189	21484	21466	84.211	19	exon	intron
1	261	286	24414	24435	76.923	26	exon	intron
1	311	337	4268	4244	75.0	28	exon	intron
1	269	290	8307	8284	79.167	24	exon	intron
1	77	103	9068	9046	75.0	28	exon	intron
1	315	334	15731	15711	80.952	21	exon	intron
1	218	244	11422	11387	69.444	36	exon	intron
1	351	367	20500	20517	83.333	18	exon	intron
1	20	37	22455	22471	83.333	18	exon	intron
1	109	134	27011	26987	75.0	28	exon	intron
2	1	99	3029	3127	100.0	99	exon	CDS
2	18	41	13673	13652	83.333	24	exon	intron
2	13	51	808	769	72.093	43	exon	intron
2	20	40	22482	22503	81.818	22	exon	intron
2	69	99	21989	22016	72.727	33	exon	intron
2	7	40	25222	25181	71.429	42	exon	intron
2	42	59	1046	1029	83.333	18	exon	intron
2	3	29	19759	19729	71.875	32	exon	intron
2	31	92	22502	22566	65.714	70	exon	intron
2	68	94	21816	21840	74.074	27	exon	intron
3	1	110	5649	5758	100.0	110	exon	CDS
3	33	57	15766	15788	84.0	25	exon	intron
3	60	77	545	562	89.474	19	exon	intron
3	72	110	2396	2357	74.419	43	exon	intron
3	78	100	17681	17659	83.333	24	exon	intron
3	5	25	19108	19083	76.923	26	exon	intron
3	38	55	20862	20879	84.211	19	exon	intron
3	33	52	7036	7017	80.952	21	exon	intron
3	48	75	17679	17702	72.414	29	exon	intron
3	41	59	797	816	80.0	20	exon	intron
3	9	29	7787	7804	76.19	21	exon	CDS
3	27	48	9380	9398	77.273	22	exon	intron
3	22	43	15891	15871	78.261	23	exon	intron
3	5	25	19247	19230	76.19	21	exon	intron
3	1	21	8720	8704	76.19	21	exon	intron
3	66	88	8953	8930	75.0	24	exon	intron
3	18	33	21156	21138	78.947	19	exon	intron
3	32	54	22606	22583	75.0	24	exon	intron
3	32	49	27231	27248	77.778	18	exon	intron
4	1	93	7788	7880	100.0	93	exon	CDS
4	45	68	21466	21446	83.333	24	exon	intron
4	53	80	22281	22253	77.419	31	exon	intron
4	67	85	19627	19644	84.211	19	exon	intron
4	61	76	3272	3255	83.333	18	exon	intron
4	13	33	14704	14721	80.952	21	exon	intron
4	70	87	27814	27831	84.211	19	exon	intron
4	35	49	4889	4906	83.333	18	exon	intron
4	60	82	8250	8232	78.261	23	exon	intron
4	55	73	24866	24847	80.0	20	exon	intron
4	44	67	25806	25833	75.0	28	exon	intron
4	44	63	28977	28993	80.0	20	exon	intron
5	1	142	16838	16979	100.0	142	exon	CDS
5	83	111	23485	23459	79.31	29	exon	intron
5	1	17	3725	3742	88.889	18	exon	intron
5	59	76	26233	26249	88.889	18	exon	intron
5	90	111	5519	5500	81.818	22	exon	intron
5	81	116	26943	26908	73.684	38	exon	intron
5	105	136	21296	21264	74.286	35	exon	intron
5	6	26	24480	24460	81.818	22	exon	intron
5	71	92	2431	2407	76.0	25	exon	intron
5	79	96	3945	3962	83.333	18	exon	intron
5	68	88	9419	9393	74.074	27	exon	intron
5	4	33	3024	2999	73.333	30	exon	intron
5	68	92	26490	26514	76.0	25	exon	intron
5	102	120	9190	9209	80.0	20	exon	intron
5	30	47	25313	25328	83.333	18	exon	intron
5	101	121	20204	20223	77.273	22	exon	intron
6	1	27	27314	27340	100.0	27	exon	exon
6	1	23	4482	4503	78.261	23	exon	intron
6	1	19	22162	22180	76.19	21	exon	intron
