metric	value
hits:exon->CDS	11
hits:exon->exon	8
hits:exon->intron	178
copies:exon_to_intron_total	150
copies:exon_01_(2001-2463)	18
copies:exon_02_(2546-2678)	30
copies:exon_03_(3904-4077)	22
copies:exon_04_(4186-4263)	18
copies:exon_05_(4887-4990)	24
copies:exon_06_(5077-5265)	29
copies:exon_07_(6298-6340)	9
intron:total_raw_exon_to_intron_hits	166
intron:total_clustered_copies	76
intron_01_(1-2000):raw_hits	29
intron_01_(1-2000):clustered_copies	19
intron_02_(2464-2545):raw_hits	0
intron_02_(2464-2545):clustered_copies	0
intron_03_(2679-3903):raw_hits	31
intron_03_(2679-3903):clustered_copies	13
intron_04_(4078-4185):raw_hits	5
intron_04_(4078-4185):clustered_copies	2
intron_05_(4264-4886):raw_hits	15
intron_05_(4264-4886):clustered_copies	6
intron_06_(4991-5076):raw_hits	4
intron_06_(4991-5076):clustered_copies	2
intron_07_(5266-6297):raw_hits	18
intron_07_(5266-6297):clustered_copies	11
intron_08_(6341-8340):raw_hits	64
intron_08_(6341-8340):clustered_copies	23
