exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	164	2001	2164	100.0	164	246.0	8.98e-69	blastn:w7;e1e2
1	131	145	6153	6167	93.333	15	21.4	0.88	blastn:w7;e1e2
1	36	53	8185	8201	88.889	18	21.4	0.88	blastn:w7;e1e2
1	121	132	185	174	100.0	12	20.7	0.88	blastn:w7;e1e2
1	6	19	4626	4613	92.857	14	19.9	2.5	blastn:w7;e1e2
1	138	163	2670	2692	76.923	26	18.4	6.9	blastn:w7;e1e2
1	147	158	3795	3807	92.308	13	17.7	6.9	blastn:w7;e1e2
1	12	21	7128	7119	100.0	10	17.7	6.9	blastn:w7;e1e2
1	51	60	7749	7740	100.0	10	17.7	6.9	blastn:w7;e1e2
1	2	14	7748	7759	92.308	13	17.7	6.9	blastn:w7;e1e2
1	153	164	9291	9303	92.308	13	17.7	6.9	blastn:w7;e1e2
1	121	132	2661	2650	91.667	12	17.0	19.0	blastn:w7;e1e2
1	4	15	3631	3620	91.667	12	17.0	19.0	blastn:w7;e1e2
1	129	142	9509	9495	86.667	15	17.0	19.0	blastn:w7;e1e2
1	94	147	9507	9563	67.742	62	17.0	19.0	blastn:w7;e1e2
1	20	28	454	446	100.0	9	16.2	19.0	blastn:w7;e1e2
1	141	149	1337	1329	100.0	9	16.2	19.0	blastn:w7;e1e2
1	144	152	1527	1535	100.0	9	16.2	19.0	blastn:w7;e1e2
1	66	74	5120	5112	100.0	9	16.2	19.0	blastn:w7;e1e2
1	124	132	5255	5263	100.0	9	16.2	19.0	blastn:w7;e1e2
1	99	110	5648	5638	91.667	12	16.2	19.0	blastn:w7;e1e2
1	27	58	5723	5692	71.429	35	16.2	19.0	blastn:w7;e1e2
1	31	39	6974	6982	100.0	9	16.2	19.0	blastn:w7;e1e2
1	12	20	8140	8148	100.0	9	16.2	19.0	blastn:w7;e1e2
1	102	110	9296	9288	100.0	9	16.2	19.0	blastn:w7;e1e2
1	119	129	1307	1297	90.909	11	15.5	54.0	blastn:w7;e1e2
1	72	85	3162	3150	85.714	14	15.5	54.0	blastn:w7;e1e2
1	101	114	4421	4409	85.714	14	15.5	54.0	blastn:w7;e1e2
1	97	126	4640	4611	71.875	32	15.5	54.0	blastn:w7;e1e2
