metric	value
hits:exon->CDS	65
hits:exon->exon	14
hits:exon->intron	935
copies:exon_to_intron_total	917
copies:exon_01_(2001-3976)	76
copies:exon_02_(4674-4797)	15
copies:exon_03_(7061-7235)	6
copies:exon_04_(7876-7976)	22
copies:exon_05_(8418-8475)	10
copies:exon_06_(10012-10073)	13
copies:exon_07_(11225-11254)	34
copies:exon_08_(11408-11477)	25
copies:exon_09_(13135-13305)	16
copies:exon_10_(14217-14385)	29
copies:exon_11_(17287-17417)	7
copies:exon_12_(17908-18017)	18
copies:exon_13_(18275-18386)	17
copies:exon_14_(18724-18845)	19
copies:exon_15_(19653-19776)	22
copies:exon_16_(22208-22288)	25
copies:exon_17_(22427-22536)	16
copies:exon_18_(23060-23261)	18
copies:exon_19_(24376-24490)	20
copies:exon_20_(25474-25605)	20
copies:exon_21_(25717-25797)	27
copies:exon_22_(26229-26365)	14
copies:exon_23_(33000-33139)	28
copies:exon_24_(33456-33570)	26
copies:exon_25_(34994-35113)	15
copies:exon_26_(35548-35641)	22
copies:exon_27_(35961-36025)	17
copies:exon_28_(37116-37218)	17
copies:exon_29_(37621-37730)	13
copies:exon_30_(38029-38152)	17
copies:exon_31_(38900-39010)	11
copies:exon_32_(39240-39331)	23
copies:exon_33_(40353-40550)	28
copies:exon_34_(41885-42004)	36
copies:exon_35_(43160-43288)	25
copies:exon_36_(49570-49713)	24
copies:exon_37_(51507-51752)	14
copies:exon_38_(58991-59110)	39
copies:exon_39_(64823-64942)	22
copies:exon_40_(81536-81748)	23
copies:exon_41_(93827-93898)	33
copies:exon_42_(113236-113335)	7
copies:exon_43_(114121-114284)	8
intron:total_raw_exon_to_intron_hits	892
intron:total_clustered_copies	733
intron_01_(1-2000):raw_hits	14
intron_01_(1-2000):clustered_copies	11
intron_02_(3977-4673):raw_hits	3
intron_02_(3977-4673):clustered_copies	3
intron_03_(4798-7060):raw_hits	14
intron_03_(4798-7060):clustered_copies	8
intron_04_(7236-7875):raw_hits	5
intron_04_(7236-7875):clustered_copies	4
intron_05_(7977-8417):raw_hits	2
intron_05_(7977-8417):clustered_copies	1
intron_06_(8476-10011):raw_hits	9
intron_06_(8476-10011):clustered_copies	6
intron_07_(10074-11224):raw_hits	13
intron_07_(10074-11224):clustered_copies	10
intron_08_(11255-11407):raw_hits	2
intron_08_(11255-11407):clustered_copies	2
intron_09_(11478-13134):raw_hits	16
intron_09_(11478-13134):clustered_copies	13
intron_10_(13306-14216):raw_hits	12
intron_10_(13306-14216):clustered_copies	8
intron_11_(14386-17286):raw_hits	21
intron_11_(14386-17286):clustered_copies	19
intron_12_(17418-17907):raw_hits	2
intron_12_(17418-17907):clustered_copies	2
intron_13_(18018-18274):raw_hits	0
intron_13_(18018-18274):clustered_copies	0
intron_14_(18387-18723):raw_hits	2
intron_14_(18387-18723):clustered_copies	2
intron_15_(18846-19652):raw_hits	3
intron_15_(18846-19652):clustered_copies	3
intron_16_(19777-22207):raw_hits	14
intron_16_(19777-22207):clustered_copies	13
intron_17_(22289-22426):raw_hits	1
intron_17_(22289-22426):clustered_copies	1
intron_18_(22537-23059):raw_hits	10
intron_18_(22537-23059):clustered_copies	8
intron_19_(23262-24375):raw_hits	13
intron_19_(23262-24375):clustered_copies	10
intron_20_(24491-25473):raw_hits	8
intron_20_(24491-25473):clustered_copies	7
intron_21_(25606-25716):raw_hits	0
intron_21_(25606-25716):clustered_copies	0
intron_22_(25798-26228):raw_hits	3
intron_22_(25798-26228):clustered_copies	3
intron_23_(26366-32999):raw_hits	49
intron_23_(26366-32999):clustered_copies	44
intron_24_(33140-33455):raw_hits	5
intron_24_(33140-33455):clustered_copies	4
intron_25_(33571-34993):raw_hits	10
intron_25_(33571-34993):clustered_copies	8
intron_26_(35114-35547):raw_hits	3
intron_26_(35114-35547):clustered_copies	2
intron_27_(35642-35960):raw_hits	3
intron_27_(35642-35960):clustered_copies	3
intron_28_(36026-37115):raw_hits	9
intron_28_(36026-37115):clustered_copies	9
intron_29_(37219-37620):raw_hits	5
intron_29_(37219-37620):clustered_copies	4
intron_30_(37731-38028):raw_hits	2
intron_30_(37731-38028):clustered_copies	2
intron_31_(38153-38899):raw_hits	7
intron_31_(38153-38899):clustered_copies	5
intron_32_(39011-39239):raw_hits	0
intron_32_(39011-39239):clustered_copies	0
intron_33_(39332-40352):raw_hits	8
intron_33_(39332-40352):clustered_copies	8
intron_34_(40551-41884):raw_hits	11
intron_34_(40551-41884):clustered_copies	10
intron_35_(42005-43159):raw_hits	15
intron_35_(42005-43159):clustered_copies	12
intron_36_(43289-49569):raw_hits	50
intron_36_(43289-49569):clustered_copies	42
intron_37_(49714-51506):raw_hits	12
intron_37_(49714-51506):clustered_copies	10
intron_38_(51753-58990):raw_hits	65
intron_38_(51753-58990):clustered_copies	53
intron_39_(59111-64822):raw_hits	50
intron_39_(59111-64822):clustered_copies	33
intron_40_(64943-81535):raw_hits	129
intron_40_(64943-81535):clustered_copies	114
intron_41_(81749-93826):raw_hits	112
intron_41_(81749-93826):clustered_copies	91
intron_42_(93899-113235):raw_hits	154
intron_42_(93899-113235):clustered_copies	124
intron_43_(113336-114120):raw_hits	6
intron_43_(113336-114120):clustered_copies	5
intron_44_(114285-116284):raw_hits	20
intron_44_(114285-116284):clustered_copies	16
