exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	1317	2001	3317	100.0	1317	1959.0	0.0	blastn:w7;e1e2
1	71	91	4216	4195	90.909	22	27.4	0.086	blastn:w7;e1e2
1	111	158	782	833	73.077	52	25.1	0.24	blastn:w7;e1e2
1	121	145	2145	2121	84.615	26	25.1	0.24	blastn:w7;e1e2
1	640	682	3395	3354	73.913	46	24.4	0.67	blastn:w7;e1e2
1	500	522	3407	3384	84.0	25	24.4	0.67	blastn:w7;e1e2
1	546	585	4077	4111	75.0	40	24.4	0.67	blastn:w7;e1e2
1	120	145	173	199	81.481	27	23.6	0.67	blastn:w7;e1e2
1	142	179	4317	4276	72.093	43	23.6	0.67	blastn:w7;e1e2
1	403	439	2128	2165	75.0	40	22.9	1.9	blastn:w7;e1e2
1	128	165	2403	2439	75.0	40	22.9	1.9	blastn:w7;e1e2
1	722	756	931	904	74.286	35	22.2	1.9	blastn:w7;e1e2
1	70	91	3812	3835	83.333	24	22.2	1.9	blastn:w7;e1e2
1	1093	1112	5604	5622	85.714	21	22.2	1.9	blastn:w7;e1e2
1	52	84	6202	6170	75.758	33	22.2	1.9	blastn:w7;e1e2
1	118	134	1066	1083	88.889	18	21.4	5.3	blastn:w7;e1e2
1	98	138	3507	3558	69.231	52	21.4	5.3	blastn:w7;e1e2
1	133	163	4644	4619	75.0	32	21.4	5.3	blastn:w7;e1e2
1	117	131	1361	1348	93.333	15	20.7	5.3	blastn:w7;e1e2
1	588	604	1349	1365	88.235	17	20.7	5.3	blastn:w7;e1e2
1	416	437	1355	1376	81.818	22	20.7	5.3	blastn:w7;e1e2
1	36	59	1741	1765	80.0	25	20.7	5.3	blastn:w7;e1e2
1	316	345	2345	2316	75.0	32	20.7	5.3	blastn:w7;e1e2
1	942	960	2463	2478	84.211	19	20.7	5.3	blastn:w7;e1e2
1	722	733	2733	2722	100.0	12	20.7	5.3	blastn:w7;e1e2
1	463	478	2942	2960	84.211	19	20.7	5.3	blastn:w7;e1e2
1	802	831	3701	3727	76.667	30	20.7	5.3	blastn:w7;e1e2
1	661	682	4191	4212	81.818	22	20.7	5.3	blastn:w7;e1e2
1	807	832	4851	4879	75.862	29	20.7	5.3	blastn:w7;e1e2
1	393	411	6486	6505	85.0	20	20.7	5.3	blastn:w7;e1e2
1	1096	1135	3853	3820	73.171	41	19.9	15.0	blastn:w7;e1e2
1	193	221	4030	4059	75.0	32	19.9	15.0	blastn:w7;e1e2
1	134	152	4301	4283	84.211	19	19.9	15.0	blastn:w7;e1e2
1	1090	1110	5348	5327	81.818	22	19.9	15.0	blastn:w7;e1e2
1	134	165	6190	6161	73.529	34	19.9	15.0	blastn:w7;e1e2
1	765	775	23	33	100.0	11	19.2	15.0	blastn:w7;e1e2
1	149	159	798	788	100.0	11	19.2	15.0	blastn:w7;e1e2
1	816	834	926	909	84.211	19	19.2	15.0	blastn:w7;e1e2
1	586	602	1332	1349	84.211	19	19.2	15.0	blastn:w7;e1e2
1	115	160	1844	1890	69.388	49	19.2	15.0	blastn:w7;e1e2
1	596	606	2014	2024	100.0	11	19.2	15.0	blastn:w7;e1e2
1	67	82	2082	2067	87.5	16	19.2	15.0	blastn:w7;e1e2
1	644	659	2116	2131	87.5	16	19.2	15.0	blastn:w7;e1e2
1	14	24	2596	2606	100.0	11	19.2	15.0	blastn:w7;e1e2
1	116	131	2644	2659	87.5	16	19.2	15.0	blastn:w7;e1e2
1	813	925	3231	3349	63.492	126	19.2	15.0	blastn:w7;e1e2
1	313	323	3539	3529	100.0	11	19.2	15.0	blastn:w7;e1e2
1	457	469	3795	3808	92.857	14	19.2	15.0	blastn:w7;e1e2
1	66	81	4037	4022	87.5	16	19.2	15.0	blastn:w7;e1e2
1	904	924	4987	5007	80.952	21	19.2	15.0	blastn:w7;e1e2
1	1175	1185	5472	5482	100.0	11	19.2	15.0	blastn:w7;e1e2
1	181	191	5517	5527	100.0	11	19.2	15.0	blastn:w7;e1e2
1	3	13	5739	5729	100.0	11	19.2	15.0	blastn:w7;e1e2
1	1009	1027	6474	6457	84.211	19	19.2	15.0	blastn:w7;e1e2
1	909	963	6602	6554	68.421	57	19.2	15.0	blastn:w7;e1e2
1	304	318	184	199	87.5	16	18.4	41.0	blastn:w7;e1e2
1	98	120	558	530	75.862	29	18.4	41.0	blastn:w7;e1e2
1	65	77	969	957	92.308	13	18.4	41.0	blastn:w7;e1e2
1	977	989	1408	1396	92.308	13	18.4	41.0	blastn:w7;e1e2
1	957	969	3426	3438	92.308	13	18.4	41.0	blastn:w7;e1e2
1	571	588	3681	3664	83.333	18	18.4	41.0	blastn:w7;e1e2
1	119	131	3708	3720	92.308	13	18.4	41.0	blastn:w7;e1e2
1	974	986	4036	4024	92.308	13	18.4	41.0	blastn:w7;e1e2
1	473	498	4289	4314	75.0	28	18.4	41.0	blastn:w7;e1e2
1	572	584	4570	4582	92.308	13	18.4	41.0	blastn:w7;e1e2
1	1025	1047	5102	5120	78.261	23	18.4	41.0	blastn:w7;e1e2
1	457	469	5133	5145	92.308	13	18.4	41.0	blastn:w7;e1e2
1	214	226	5649	5637	92.308	13	18.4	41.0	blastn:w7;e1e2
1	950	965	6426	6409	83.333	18	18.4	41.0	blastn:w7;e1e2
1	1186	1195	298	289	100.0	10	17.7	41.0	blastn:w7;e1e2
1	920	929	371	380	100.0	10	17.7	41.0	blastn:w7;e1e2
1	672	681	722	713	100.0	10	17.7	41.0	blastn:w7;e1e2
1	544	558	1150	1136	86.667	15	17.7	41.0	blastn:w7;e1e2
1	1282	1291	1262	1271	100.0	10	17.7	41.0	blastn:w7;e1e2
1	1174	1195	1654	1672	77.273	22	17.7	41.0	blastn:w7;e1e2
1	712	721	1679	1670	100.0	10	17.7	41.0	blastn:w7;e1e2
1	118	132	1730	1744	86.667	15	17.7	41.0	blastn:w7;e1e2
1	590	599	1879	1888	100.0	10	17.7	41.0	blastn:w7;e1e2
1	134	143	2012	2021	100.0	10	17.7	41.0	blastn:w7;e1e2
1	1092	1101	2126	2135	100.0	10	17.7	41.0	blastn:w7;e1e2
1	303	319	2129	2146	83.333	18	17.7	41.0	blastn:w7;e1e2
1	12	21	2134	2143	100.0	10	17.7	41.0	blastn:w7;e1e2
1	951	965	2158	2144	86.667	15	17.7	41.0	blastn:w7;e1e2
1	153	162	2162	2153	100.0	10	17.7	41.0	blastn:w7;e1e2
1	823	832	2166	2157	100.0	10	17.7	41.0	blastn:w7;e1e2
1	129	146	2303	2319	83.333	18	17.7	41.0	blastn:w7;e1e2
1	1181	1190	2536	2545	100.0	10	17.7	41.0	blastn:w7;e1e2
1	1164	1173	2593	2584	100.0	10	17.7	41.0	blastn:w7;e1e2
1	157	166	2832	2823	100.0	10	17.7	41.0	blastn:w7;e1e2
