exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	3828	2001	5828	100.0	3828	exon	CDS
1	3001	3036	104645	104613	88.889	36	exon	intron
1	2997	3034	57195	57157	85.0	40	exon	intron
1	3003	3035	57195	57162	88.235	34	exon	intron
1	2987	3064	15536	15607	72.5	80	exon	intron
1	2998	3046	104644	104598	79.592	49	exon	intron
1	3002	3025	96515	96539	96.0	25	exon	intron
1	3002	3035	22732	22763	85.294	34	exon	intron
1	3008	3043	109428	109392	84.211	38	exon	intron
1	2984	3035	76771	76832	74.194	62	exon	intron
1	2990	3034	9388	9431	78.723	47	exon	intron
1	2998	3035	22737	22772	81.579	38	exon	intron
1	2998	3025	43739	43713	89.286	28	exon	intron
1	227	292	14990	15049	72.059	68	exon	intron
1	2995	3058	22739	22805	71.831	71	exon	intron
1	2193	2216	34267	34291	92.0	25	exon	intron
1	3004	3035	85236	85202	83.333	36	exon	intron
1	29	53	103360	103337	92.0	25	exon	intron
1	821	852	56653	56623	84.375	32	exon	intron
1	2998	3035	9404	9442	79.487	39	exon	intron
1	237	266	41216	41185	84.375	32	exon	intron
1	2997	3024	43197	43169	86.207	29	exon	intron
1	2184	2214	54328	54358	84.848	33	exon	intron
1	3004	3024	54345	54365	95.238	21	exon	intron
1	3004	3024	54346	54366	95.238	21	exon	intron
1	61	96	63466	63499	80.556	36	exon	intron
1	3008	3031	96517	96539	91.667	24	exon	intron
1	3004	3024	103345	103365	95.238	21	exon	intron
1	3008	3035	9401	9428	85.714	28	exon	intron
1	2990	3025	12296	12330	80.556	36	exon	intron
1	2987	3034	35661	35608	74.074	54	exon	intron
1	808	847	38392	38354	78.049	41	exon	intron
1	3004	3021	43729	43712	100.0	18	exon	intron
1	2536	2617	49403	49495	67.708	96	exon	intron
1	925	970	74803	74755	74.51	51	exon	intron
1	794	821	102537	102510	86.207	29	exon	intron
1	247	287	20872	20831	76.744	43	exon	intron
1	2997	3034	22733	22767	78.947	38	exon	intron
1	2193	2214	76798	76820	91.304	23	exon	intron
1	34	67	49839	49809	79.412	34	exon	intron
1	2998	3019	54345	54366	90.909	22	exon	intron
1	29	56	56327	56357	83.871	31	exon	intron
1	41	61	18143	18122	90.909	22	exon	intron
1	256	306	18373	18423	73.214	56	exon	intron
