exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	983	2001	2983	100.0	983	exon	CDS
1	175	197	278	298	86.957	23	exon	intron
1	890	923	8635	8668	77.778	36	exon	intron
1	226	244	15722	15701	86.364	22	exon	intron
1	785	802	17675	17656	90.0	20	exon	intron
1	544	564	7508	7528	85.714	21	exon	intron
1	158	226	15302	15241	69.014	71	exon	intron
1	955	975	6001	6020	85.714	21	exon	intron
1	99	119	14459	14479	82.609	23	exon	intron
1	959	983	8334	8362	75.862	29	exon	intron
1	928	961	9913	9882	75.0	36	exon	intron
1	453	472	12221	12240	85.0	20	exon	intron
1	158	182	12990	13012	80.769	26	exon	intron
1	503	528	16162	16138	78.571	28	exon	intron
1	128	153	4174	4197	77.778	27	exon	intron
1	115	132	7208	7229	81.818	22	exon	intron
1	620	640	4540	4561	81.818	22	exon	intron
1	331	350	11066	11083	85.0	20	exon	intron
1	964	982	12135	12118	84.211	19	exon	intron
1	550	567	17798	17816	84.211	19	exon	intron
1	475	506	17907	17875	74.286	35	exon	intron
1	96	123	1552	1579	75.0	28	exon	intron
1	382	399	5705	5722	83.333	18	exon	intron
1	189	208	7413	7393	80.952	21	exon	intron
1	417	434	9169	9186	83.333	18	exon	intron
1	51	72	10800	10824	76.0	25	exon	intron
1	143	169	14144	14174	72.727	33	exon	intron
2	1	60	4731	4790	100.0	60	exon	CDS
2	11	55	3918	3871	72.0	50	exon	intron
2	32	60	1532	1503	75.758	33	exon	intron
2	28	53	11637	11665	79.31	29	exon	CDS
2	29	47	1369	1351	84.211	19	exon	intron
2	13	38	10368	10392	77.778	27	exon	intron
2	4	25	12538	12520	81.818	22	exon	intron
2	37	54	7860	7844	83.333	18	exon	intron
2	32	48	10180	10197	83.333	18	exon	intron
2	6	25	2425	2443	80.0	20	exon	CDS
2	34	52	8979	9002	75.0	24	exon	intron
2	23	37	8617	8599	78.947	19	exon	intron
2	37	59	9617	9645	72.414	29	exon	intron
2	39	56	2925	2943	78.947	19	exon	CDS
2	4	23	3543	3523	73.913	23	exon	intron
2	25	51	13594	13621	72.414	29	exon	CDS
2	1	18	4108	4091	77.778	18	exon	intron
2	32	49	4856	4839	78.947	19	exon	intron
2	28	43	18378	18395	77.778	18	exon	intron
