exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	314	2001	2314	100.0	314	exon	CDS
1	99	159	1932	1992	72.308	65	exon	intron
1	121	166	2901	2944	76.087	46	exon	intron
1	103	164	36534	36604	72.222	72	exon	intron
1	115	148	1787	1826	77.5	40	exon	intron
1	92	157	1955	1877	67.901	81	exon	intron
1	91	145	1973	2031	70.492	61	exon	exon
1	154	230	36536	36462	68.293	82	exon	intron
1	217	256	2406	2372	75.61	41	exon	intron
1	118	135	2872	2889	94.444	18	exon	intron
1	97	163	36408	36466	69.118	68	exon	exon
1	290	308	2833	2853	90.476	21	exon	intron
1	129	157	36249	36278	80.0	30	exon	intron
1	260	278	10601	10619	89.474	19	exon	intron
1	252	270	2913	2930	89.474	19	exon	intron
1	153	201	36520	36479	71.429	49	exon	intron
1	277	312	2872	2909	74.359	39	exon	intron
1	222	314	36979	36896	64.078	103	exon	intron
1	140	160	1929	1953	80.0	25	exon	intron
1	154	187	1982	1951	75.0	36	exon	intron
1	23	52	2052	2023	77.419	31	exon	intron
1	256	282	3830	3802	76.667	30	exon	intron
1	155	253	36592	36493	65.455	110	exon	intron
1	217	238	1981	1960	82.609	23	exon	intron
1	117	150	2887	2850	73.684	38	exon	intron
1	47	66	66356	66374	85.0	20	exon	exon
1	15	33	36966	36948	84.211	19	exon	intron
1	139	164	2381	2356	76.923	26	exon	intron
1	48	106	2865	2928	67.143	70	exon	intron
1	44	131	37002	36919	65.217	92	exon	intron
1	140	162	2352	2374	78.261	23	exon	intron
1	289	306	2985	2968	83.333	18	exon	intron
1	3	20	36469	36452	83.333	18	exon	intron
2	1	733	7535	8267	100.0	733	exon	CDS
2	560	614	154	209	75.0	60	exon	intron
2	106	144	45111	45148	77.5	40	exon	intron
2	346	369	65085	65107	87.5	24	exon	exon
2	699	721	117	137	86.957	23	exon	intron
2	20	39	4831	4850	90.476	21	exon	intron
2	598	625	50034	50009	82.143	28	exon	intron
2	434	468	60812	60848	76.316	38	exon	intron
2	682	702	60258	60238	86.364	22	exon	intron
2	260	281	6733	6710	83.333	24	exon	intron
2	164	184	14059	14081	82.609	23	exon	intron
2	56	76	57079	57057	82.609	23	exon	intron
2	513	534	59841	59818	83.333	24	exon	intron
2	480	509	17919	17892	77.419	31	exon	intron
2	141	200	34731	34776	65.574	61	exon	intron
2	478	495	52549	52565	88.889	18	exon	intron
2	431	457	52623	52646	77.778	27	exon	intron
2	473	494	56247	56225	82.609	23	exon	intron
2	173	205	25918	25882	72.973	37	exon	intron
2	603	627	28679	28702	80.0	25	exon	intron
2	651	674	33823	33847	80.0	25	exon	intron
2	504	526	52288	52268	82.609	23	exon	intron
2	98	116	15178	15196	84.211	19	exon	intron
2	704	722	22916	22932	84.211	19	exon	intron
2	31	54	53276	53253	79.167	24	exon	intron
2	27	48	66734	66754	81.818	22	exon	exon
2	444	462	68415	68397	84.211	19	exon	intron
3	1	121	21365	21485	100.0	121	exon	CDS
3	98	118	18210	18187	83.333	24	exon	intron
3	4	61	28905	28845	70.149	67	exon	intron
3	23	64	62911	62866	71.429	49	exon	intron
3	17	47	66693	66722	75.758	33	exon	exon
3	4	29	14580	14556	80.769	26	exon	intron
3	101	120	22656	22636	85.714	21	exon	intron
3	11	46	41780	41811	72.973	37	exon	intron
3	11	30	44179	44159	85.714	21	exon	intron
3	14	29	52759	52742	88.889	18	exon	intron
3	49	68	30113	30132	85.0	20	exon	intron
3	84	103	39448	39467	85.0	20	exon	intron
3	4	30	43596	43617	77.778	27	exon	intron
3	12	31	47543	47524	85.0	20	exon	intron
3	46	67	53637	53659	82.609	23	exon	intron
3	34	60	56377	56400	77.778	27	exon	intron
3	58	87	10356	10384	76.667	30	exon	intron
3	3	24	51232	51253	81.818	22	exon	intron
3	37	58	9922	9945	79.167	24	exon	intron
3	66	94	26300	26324	75.862	29	exon	intron
3	1	19	27796	27778	84.211	19	exon	intron
3	53	85	39617	39583	75.0	36	exon	intron
3	96	116	47074	47053	81.818	22	exon	intron
3	81	118	47368	47323	71.739	46	exon	intron
3	75	104	56926	56896	75.0	32	exon	intron
3	63	85	61436	61460	80.769	26	exon	intron
3	3	34	16473	16438	73.684	38	exon	intron
3	12	36	25674	25655	80.0	25	exon	intron
3	12	37	44593	44618	76.923	26	exon	intron
3	32	51	56394	56415	81.818	22	exon	intron
3	82	100	60245	60225	80.952	21	exon	intron
3	23	42	61061	61040	81.818	22	exon	intron
3	7	27	67027	67045	80.952	21	exon	exon
3	87	115	12166	12137	75.0	32	exon	intron
3	16	47	16509	16482	72.727	33	exon	intron
3	81	118	34580	34614	70.0	40	exon	intron
3	78	118	43464	43500	69.767	43	exon	intron
3	22	44	48461	48486	76.923	26	exon	intron
3	83	102	53526	53506	80.952	21	exon	intron
3	59	84	54532	54556	76.923	26	exon	intron
3	16	36	58350	58369	80.952	21	exon	intron
3	32	51	66458	66478	80.952	21	exon	exon
3	73	92	9387	9370	80.0	20	exon	intron
3	99	121	16247	16223	76.923	26	exon	intron
3	33	52	18046	18065	80.0	20	exon	intron
3	103	120	21366	21347	80.0	20	exon	intron
3	55	71	21921	21938	83.333	18	exon	intron
3	25	45	26248	26227	78.261	23	exon	intron
3	20	38	26698	26712	78.947	19	exon	intron
3	7	45	34296	34334	68.889	45	exon	intron
3	103	120	34909	34893	83.333	18	exon	intron
3	93	108	45939	45923	83.333	18	exon	intron
3	16	37	48873	48853	78.261	23	exon	intron
3	5	29	51085	51061	76.923	26	exon	intron
3	21	45	58468	58492	76.0	25	exon	intron
