metric	value
hits:exon->CDS	37
hits:exon->exon	2
hits:exon->intron	284
copies:exon_to_intron_total	183
copies:exon_01_(2001-2221)	39
copies:exon_02_(2289-2837)	35
copies:exon_03_(2906-2999)	24
copies:exon_04_(3069-3252)	52
copies:exon_05_(3327-3531)	33
intron:total_raw_exon_to_intron_hits	260
intron:total_clustered_copies	49
intron_01_(1-2000):raw_hits	107
intron_01_(1-2000):clustered_copies	21
intron_02_(2222-2288):raw_hits	2
intron_02_(2222-2288):clustered_copies	2
intron_03_(2838-2905):raw_hits	3
intron_03_(2838-2905):clustered_copies	1
intron_04_(3000-3068):raw_hits	2
intron_04_(3000-3068):clustered_copies	2
intron_05_(3253-3326):raw_hits	4
intron_05_(3253-3326):clustered_copies	2
intron_06_(3532-5531):raw_hits	142
intron_06_(3532-5531):clustered_copies	21
