exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	498	2001	2498	100.0	498	exon	CDS
1	183	239	11448	11396	71.186	59	exon	intron
1	1	22	4545	4566	86.364	22	exon	intron
1	38	78	9509	9554	72.34	47	exon	exon
1	453	473	11237	11255	85.714	21	exon	exon
1	227	249	6577	6555	82.609	23	exon	intron
1	51	71	8703	8722	85.714	21	exon	intron
1	137	160	12511	12532	83.333	24	exon	intron
1	135	154	13545	13564	85.0	20	exon	intron
1	322	338	2338	2322	88.889	18	exon	intron
1	287	315	3147	3120	77.419	31	exon	intron
1	67	102	394	361	72.5	40	exon	intron
1	40	62	948	924	80.0	25	exon	intron
1	199	217	2005	1989	84.211	19	exon	intron
1	19	35	12178	12160	84.211	19	exon	intron
1	302	325	1643	1621	79.167	24	exon	intron
1	211	236	2236	2211	76.923	26	exon	intron
1	201	226	5742	5717	76.923	26	exon	intron
1	230	253	7782	7802	79.167	24	exon	intron
1	170	195	8361	8335	75.862	29	exon	intron
1	340	363	8463	8443	79.167	24	exon	intron
1	363	380	1994	1977	83.333	18	exon	intron
1	34	78	3923	3887	68.085	47	exon	intron
1	197	233	6043	6073	70.27	37	exon	intron
1	388	403	9009	8992	83.333	18	exon	intron
1	292	314	9182	9207	76.923	26	exon	exon
1	10	32	11297	11277	78.261	23	exon	intron
1	82	114	11866	11904	72.5	40	exon	intron
1	297	318	3059	3080	77.273	22	exon	intron
1	298	316	3748	3767	80.0	20	exon	CDS
1	371	395	5423	5444	76.0	25	exon	intron
1	189	209	5800	5777	75.0	24	exon	intron
1	146	164	10182	10164	78.947	19	exon	intron
1	403	421	10977	10995	78.947	19	exon	exon
2	1	86	2752	2837	100.0	86	exon	CDS
2	19	40	5585	5610	80.769	26	exon	CDS
2	1	28	8100	8131	75.0	32	exon	intron
2	45	74	8631	8606	71.875	32	exon	intron
2	23	47	8945	8968	76.923	26	exon	intron
2	32	49	338	319	80.952	21	exon	intron
2	1	76	3367	3300	63.415	82	exon	intron
2	42	71	5562	5590	72.727	33	exon	CDS
2	2	24	12363	12336	75.862	29	exon	intron
2	64	80	3489	3470	80.0	20	exon	intron
2	20	62	7684	7641	68.0	50	exon	intron
2	7	38	3759	3792	71.429	35	exon	CDS
2	1	25	8639	8611	73.333	30	exon	intron
2	6	27	9139	9116	76.0	25	exon	intron
2	20	79	11519	11468	67.213	61	exon	intron
2	55	86	2917	2946	71.875	32	exon	intron
2	32	58	4832	4810	75.0	28	exon	intron
2	4	28	6663	6689	75.0	28	exon	intron
2	27	46	12547	12565	76.19	21	exon	intron
2	21	80	529	463	65.714	70	exon	intron
2	64	81	2161	2139	73.913	23	exon	intron
2	2	22	4290	4269	73.913	23	exon	intron
2	16	38	8307	8286	73.913	23	exon	intron
2	1	25	9335	9315	73.077	26	exon	intron
2	21	37	9607	9590	77.778	18	exon	intron
3	1	170	3635	3804	100.0	170	exon	CDS
3	106	155	4063	4019	72.549	51	exon	intron
3	76	96	11120	11146	77.778	27	exon	exon
3	130	146	6182	6200	84.211	19	exon	intron
3	64	87	8697	8720	79.167	24	exon	intron
3	87	132	1392	1348	69.388	49	exon	intron
3	115	132	3937	3919	84.211	19	exon	intron
