exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	111.8	1e-33	phmmer:f0
	-1	-1	0	23.9	4e-06	phmmer:f0
	-1	-1	0	79.0	4.1e-24	phmmer:f0
	-1	-1	0	50.6	3.9e-15	phmmer:f0
	-1	-1	0	48.8	9.2e-15	phmmer:f0
	-1	-1	0	36.0	1.4e-10	phmmer:f0
	-1	-1	0	12.1	0.0094	phmmer:f0
	-1	-1	0	48.8	2.9e-14	phmmer:f0
	-1	-1	0	47.2	9.6e-14	phmmer:f0
	-1	-1	0	74.2	3.2e-22	phmmer:f0
	-1	-1	0	32.2	8.8e-09	phmmer:f0
	-1	-1	0	39.8	9.9e-12	phmmer:f0
	-1	-1	0	18.7	8.3e-05	phmmer:f0
	-1	-1	0	51.8	1.3e-15	phmmer:f0
	-1	-1	0	84.3	9.8e-26	phmmer:f0
	-1	-1	0	74.5	1.2e-22	phmmer:f0
	-1	-1	0	19.0	4.3e-05	phmmer:f0
	-1	-1	0	124.2	7.2e-38	phmmer:f0
	-1	-1	0	47.0	4.5e-14	phmmer:f0
	-1	-1	0	67.8	2.6e-20	phmmer:f0
	-1	-1	0	24.4	1.1e-06	phmmer:f0
	-1	-1	0	20.9	1.5e-05	phmmer:f0
	-1	-1	0	48.0	2.8e-14	phmmer:f0
	-1	-1	0	31.1	9.9e-09	phmmer:f0
	-1	-1	0	39.5	1.1e-11	phmmer:f0
	-1	-1	0	14.5	0.0026	phmmer:f0
	-1	-1	0	41.5	2.7e-12	phmmer:f0
	-1	-1	0	43.5	1.1e-12	phmmer:f0
	-1	-1	0	14.5	0.0034	phmmer:f0
	-1	-1	0	50.8	4.6e-15	phmmer:f0
	-1	-1	0	12.4	0.018	phmmer:f0
	-1	-1	0	58.1	2e-17	phmmer:f0
	-1	-1	0	73.0	5.7e-22	phmmer:f0
	-1	-1	0	43.3	8.3e-13	phmmer:f0
	-1	-1	0	24.9	6.5e-07	phmmer:f0
	-1	-1	0	53.3	5.7e-16	phmmer:f0
	-1	-1	0	96.6	3e-29	phmmer:f0
	-1	-1	0	54.2	4.7e-16	phmmer:f0
	-1	-1	0	51.3	4e-15	phmmer:f0
	-1	-1	0	33.6	1.3e-09	phmmer:f0
	-1	-1	0	28.8	4.8e-08	phmmer:f0
	-1	-1	0	46.3	1.2e-13	phmmer:f0
	-1	-1	0	26.5	3.3e-07	phmmer:f0
	-1	-1	0	35.7	1.2e-10	phmmer:f0
	-1	-1	0	41.5	1.3e-11	phmmer:f0
