metric	value
hits:exon->CDS	21
hits:exon->exon	3
hits:exon->intron	127
copies:exon_to_intron_total	122
copies:exon_01_(2001-2116)	4
copies:exon_02_(2291-2435)	17
copies:exon_03_(4677-4819)	6
copies:exon_04_(5292-5465)	11
copies:exon_05_(5759-5874)	5
copies:exon_06_(6335-6495)	7
copies:exon_07_(6923-7049)	8
copies:exon_08_(7140-7217)	8
copies:exon_09_(7763-7839)	13
copies:exon_10_(8180-8237)	7
copies:exon_11_(9031-9141)	17
copies:exon_12_(9741-10225)	19
intron:total_raw_exon_to_intron_hits	115
intron:total_clustered_copies	85
intron_01_(1-2000):raw_hits	18
intron_01_(1-2000):clustered_copies	16
intron_02_(2117-2290):raw_hits	1
intron_02_(2117-2290):clustered_copies	1
intron_03_(2436-4676):raw_hits	33
intron_03_(2436-4676):clustered_copies	23
intron_04_(4820-5291):raw_hits	1
intron_04_(4820-5291):clustered_copies	1
intron_05_(5466-5758):raw_hits	5
intron_05_(5466-5758):clustered_copies	4
intron_06_(5875-6334):raw_hits	3
intron_06_(5875-6334):clustered_copies	2
intron_07_(6496-6922):raw_hits	5
intron_07_(6496-6922):clustered_copies	3
intron_08_(7050-7139):raw_hits	0
intron_08_(7050-7139):clustered_copies	0
intron_09_(7218-7762):raw_hits	5
intron_09_(7218-7762):clustered_copies	4
intron_10_(7840-8179):raw_hits	5
intron_10_(7840-8179):clustered_copies	3
intron_11_(8238-9030):raw_hits	7
intron_11_(8238-9030):clustered_copies	4
intron_12_(9142-9740):raw_hits	6
intron_12_(9142-9740):clustered_copies	5
intron_13_(10226-12225):raw_hits	26
intron_13_(10226-12225):clustered_copies	19
