exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	1053	1006	72.093	43	19.9	7.6	blastn,tblastx	1030.5
1	1488	1515	78.788	33	24.4	0.34	blastn,tblastx	1505.0
1	2228	2254	84.211	23	18.4	2.12e-05	blastn,tblastx	2238.0
1	2568	2518	65.984	244	53.4	2.13e-09	blastn,tblastx	2560.5
1	2907	3120	66.667	174	45.9	3.67e-07	blastn,tblastx	3023.5
1	3356	3476	67.516	157	49.6	4.68e-08	blastn,tblastx	3421.0
1	5118	5186	71.429	35	23.5	3.16e-05	blastn,tblastx	5147.0
1	5560	5540	84.211	20	19.4	7.6	blastn,tblastx	5546.0
1	7864	7782	71.875	45	22.6	0.82	blastn,tblastx	7817.0
1	8708	8754	82.143	28	24.4	0.51	blastn,tblastx	8729.0
1	9022	8966	75.0	36	19.9	7.6	blastn,tblastx	8998.0
1	12518	12469	87.179	39	41.5	8.08e-06	blastn,tblastx	12488.5
1	13747	13764	84.211	19	19.9	3.16e-05	blastn,tblastx	13755.75
1	15504	15478	90.476	24	26.6	1.61e-05	blastn,tblastx	15500.0
1	15764	15672	85.0	68	26.7	0.047	blastn,tblastx	15717.5
1	15840	15826	67.059	85	29.0	0.001	blastn,tblastx	15830.5
1	16293	16276	74.286	35	24.9	0.25	blastn,tblastx	16280.5
1	16568	16616	75.0	48	31.1	5.3e-08	blastn,tblastx	16581.0
1	16702	16678	85.714	22	21.4	0.29	blastn,tblastx	16689.75
1	17296	17357	73.684	38	20.7	2.8	blastn,tblastx	17326.5
1	18731	18788	81.481	30	22.9	2.1	blastn,tblastx	18755.0
1	19796	19894	71.91	89	41.4	1.82e-06	blastn,tblastx	19843.5
1	19928	19881	78.125	32	22.9	0.82	blastn,tblastx	19904.5
2	1378	1358	83.333	19	22.1	0.15	blastn,tblastx	1368.5
2	1687	1764	83.333	46	20.8	4.3	blastn,tblastx	1721.5
2	4130	4132	100.0	224	335.0	3.41e-95	blastn,tblastx	4129.5
2	6510	6457	75.862	29	19.2	3.5	blastn,tblastx	6483.75
2	8555	8534	75.0	32	24.9	0.25	blastn,tblastx	8544.25
2	11610	11586	73.913	46	22.9	1.0	blastn,tblastx	11613.5
2	12142	12120	79.31	29	22.2	0.38	blastn,tblastx	12124.0
2	14550	14525	84.211	23	24.0	0.011	blastn,tblastx	14537.5
2	16140	16152	71.111	45	19.9	0.98	blastn,tblastx	16147.0
3	5466	5468	100.0	278	415.0	3.04e-119	blastn,tblastx	5467.5
3	14463	14486	81.818	33	26.6	0.048	blastn,tblastx	14463.5
4	7982	8246	100.0	265	396.0	1.88e-113	blastn,tblastx	8114.0
5	10550	10532	78.125	32	23.6	1.2	blastn,tblastx	10542.0
5	10583	10647	80.0	35	24.0	0.47	blastn,tblastx	10608.0
5	16123	17964	100.0	1843	2741.0	0.0	blastn,tblastx	17044.0
5	18782	18814	84.211	28	19.9	8.2	blastn,tblastx	18798.25
