exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	21.7	1.8e-06	phmmer:f0
	-1	-1	0	74.0	3.5e-22	phmmer:f0
	-1	-1	0	65.9	1e-19	phmmer:f0
	-1	-1	0	59.3	1e-17	phmmer:f0
	-1	-1	0	56.5	7.6e-17	phmmer:f0
	-1	-1	0	21.9	2.8e-06	phmmer:f0
	-1	-1	0	79.1	2.9e-24	phmmer:f0
	-1	-1	0	45.9	4.7e-14	phmmer:f0
	-1	-1	0	48.1	1.6e-14	phmmer:f0
	-1	-1	0	17.3	0.00022	phmmer:f0
	-1	-1	0	60.7	1.2e-18	phmmer:f0
	-1	-1	0	37.1	1.9e-11	phmmer:f0
	-1	-1	0	51.8	1e-15	phmmer:f0
	-1	-1	0	85.8	2.1e-26	phmmer:f0
	-1	-1	0	71.1	1.1e-21	phmmer:f0
	-1	-1	0	84.1	2.2e-25	phmmer:f0
	-1	-1	0	40.7	8.4e-12	phmmer:f0
	-1	-1	0	37.5	1.5e-11	phmmer:f0
