exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1668	1	3668	2001	100.0	556	1358.0	0.0	-3	tblastx:e1e1
1	1669	2	3669	2002	100.0	556	1327.0	0.0	-2	tblastx:e1e1
1	2	1669	2002	3669	100.0	556	1326.0	0.0	1	tblastx:e1e1
1	3	1670	2003	3670	100.0	556	1322.0	0.0	2	tblastx:e1e1
1	1670	3	3670	2003	100.0	556	1321.0	0.0	-1	tblastx:e1e1
1	1	1668	2001	3668	100.0	556	1302.0	0.0	3	tblastx:e1e1
1	1614	1537	441	364	50.0	26	29.0	0.027	-2	tblastx:e1e1
1	1217	1321	31338	31442	40.0	35	27.2	0.095	3	tblastx:e1e1
1	435	382	2374	2427	50.0	18	26.7	0.13	1	tblastx:e1e1
1	374	427	2435	2382	50.0	18	26.7	0.13	-3	tblastx:e1e1
1	1315	1365	19303	19253	52.941	17	24.9	0.35	-1	tblastx:e1e1
1	1561	1602	14638	14597	50.0	14	24.0	0.35	-1	tblastx:e1e1
1	526	603	37748	37671	42.308	26	23.5	0.35	-3	tblastx:e1e1
1	1201	1272	35653	35582	29.167	24	22.1	0.35	-1	tblastx:e1e1
1	1295	1333	20032	19994	46.154	13	20.8	0.35	-1	tblastx:e1e1
1	1387	1352	13976	13941	58.333	12	24.9	0.47	-3	tblastx:e1e1
1	1094	1144	10595	10545	47.059	17	24.4	0.64	-3	tblastx:e1e1
1	1040	1105	38631	38696	45.455	22	24.4	0.64	3	tblastx:e1e1
1	758	723	16244	16279	50.0	12	23.5	0.69	2	tblastx:e1e1
1	327	295	32099	32131	72.727	11	23.5	0.69	2	tblastx:e1e1
1	390	361	31740	31769	70.0	10	23.1	0.69	3	tblastx:e1e1
1	1447	1403	8043	8087	40.0	15	22.6	0.69	3	tblastx:e1e1
1	640	524	27490	27606	30.769	39	21.2	0.69	1	tblastx:e1e1
1	1530	1453	3454	3531	38.462	26	20.3	0.69	1	tblastx:e1e1
1	779	829	27705	27755	47.059	17	24.0	0.88	3	tblastx:e1e1
1	1540	1517	41058	41081	62.5	8	23.5	1.2	3	tblastx:e1e1
1	589	506	37003	36920	32.143	28	23.1	1.7	-1	tblastx:e1e1
1	1598	1533	12770	12705	40.909	22	23.1	1.7	-3	tblastx:e1e1
1	1306	1395	36161	36250	23.333	30	23.1	1.7	2	tblastx:e1e1
1	988	1056	8162	8230	43.478	23	22.6	2.3	2	tblastx:e1e1
1	1579	1511	35267	35335	34.783	23	22.6	2.3	2	tblastx:e1e1
1	1304	1369	31454	31389	40.909	22	22.1	3.1	-3	tblastx:e1e1
1	1540	1517	29243	29220	62.5	8	22.1	3.1	-3	tblastx:e1e1
1	1552	1529	20378	20355	87.5	8	22.1	3.1	-3	tblastx:e1e1
1	767	693	40199	40125	32.0	25	21.7	4.3	-3	tblastx:e1e1
1	1347	1303	38753	38709	46.667	15	21.7	4.3	-3	tblastx:e1e1
1	243	329	33724	33638	41.379	29	21.7	4.3	-1	tblastx:e1e1
1	1459	1388	29172	29243	37.5	24	21.7	4.3	3	tblastx:e1e1
1	1043	1105	32778	32840	57.143	21	21.7	4.3	3	tblastx:e1e1
1	39	98	40454	40513	40.0	20	21.7	4.3	2	tblastx:e1e1
1	1194	1156	35539	35501	53.846	13	21.2	5.9	-1	tblastx:e1e1
1	863	813	30793	30743	41.176	17	21.2	5.9	-1	tblastx:e1e1
1	1534	1599	12706	12771	40.909	22	21.2	5.9	1	tblastx:e1e1
1	1584	1477	26226	26119	33.333	36	21.2	5.9	-2	tblastx:e1e1
1	393	325	19974	20042	34.783	23	21.2	5.9	3	tblastx:e1e1
1	1494	1535	35428	35469	50.0	14	21.2	5.9	1	tblastx:e1e1
1	1524	1462	38312	38374	42.857	21	21.2	5.9	2	tblastx:e1e1
1	431	396	440	405	58.333	12	21.2	5.9	-3	tblastx:e1e1
1	731	693	39350	39312	53.846	13	20.8	8.1	-3	tblastx:e1e1
1	928	881	3836	3883	50.0	16	20.8	8.1	2	tblastx:e1e1
1	1461	1396	35263	35198	31.818	22	20.8	8.1	-1	tblastx:e1e1
1	1643	1581	35192	35130	38.095	21	20.8	8.1	-3	tblastx:e1e1
1	1094	1117	31018	30995	50.0	8	20.8	8.1	-1	tblastx:e1e1
1	1496	1573	22617	22694	34.615	26	20.8	8.1	3	tblastx:e1e1
1	1628	1587	29430	29471	50.0	14	20.8	8.1	3	tblastx:e1e1
1	1579	1608	31332	31361	50.0	10	20.8	8.1	3	tblastx:e1e1
1	1540	1517	10246	10223	62.5	8	20.8	8.1	-1	tblastx:e1e1
1	1545	1586	34066	34107	57.143	14	20.8	8.1	1	tblastx:e1e1
1	522	487	38546	38581	66.667	12	20.8	8.1	2	tblastx:e1e1
1	1502	1549	41392	41439	56.25	16	20.8	8.1	1	tblastx:e1e1
2	1	780	38849	39628	100.0	260	632.0	0.0	2	tblastx:e1e1
2	781	2	39629	38850	100.0	260	629.0	0.0	-3	tblastx:e1e1
2	779	3	39627	38851	100.0	259	618.0	4.86e-180	-2	tblastx:e1e1
2	780	1	39628	38849	100.0	260	615.0	3.27e-179	-1	tblastx:e1e1
