method	exon_index	sstart	send	reason	detail
blastn	1	1633	1647	basic	len/pident 15/93.333
blastn	1	8929	8914	basic	len/pident 17/88.235
blastn	1	12520	12507	basic	len/pident 14/92.857
blastn	1	8326	8316	basic	len/pident 11/100.0
blastn	1	11033	11043	basic	len/pident 11/100.0
blastn	1	12517	12505	basic	len/pident 14/92.857
blastn	1	12755	12769	basic	len/pident 17/88.235
blastn	1	3401	3410	basic	len/pident 10/100.0
blastn	1	6462	6451	basic	len/pident 13/92.308
blastn	1	9678	9667	basic	len/pident 13/92.308
blastn	1	14122	14136	basic	len/pident 15/86.667
blastn	1	833	822	basic	len/pident 12/91.667
blastn	1	1181	1192	basic	len/pident 12/91.667
blastn	1	7851	7864	basic	len/pident 15/86.667
blastn	1	10203	10187	basic	len/pident 17/82.353
blastn	1	11543	11554	basic	len/pident 12/91.667
blastn	1	13391	13407	basic	len/pident 17/82.353
blastn	1	283	291	basic	len/pident 9/100.0
blastn	1	936	928	basic	len/pident 9/100.0
blastn	1	3052	3044	basic	len/pident 9/100.0
blastn	1	3346	3330	basic	len/pident 17/82.353
blastn	1	4115	4098	low_complexity	entropy<0.5 fraction
blastn	1	4256	4267	basic	len/pident 12/91.667
blastn	1	4454	4444	basic	len/pident 12/91.667
blastn	1	4490	4498	basic	len/pident 9/100.0
blastn	1	4631	4641	basic	len/pident 12/91.667
blastn	1	5015	5007	basic	len/pident 9/100.0
blastn	1	5175	5185	basic	len/pident 12/91.667
blastn	1	5196	5188	basic	len/pident 9/100.0
blastn	1	5231	5239	basic	len/pident 9/100.0
blastn	1	5519	5535	basic	len/pident 17/82.353
blastn	1	6788	6801	basic	len/pident 14/85.714
blastn	1	7396	7404	basic	len/pident 9/100.0
blastn	1	8281	8289	basic	len/pident 9/100.0
blastn	1	10192	10176	basic	len/pident 17/82.353
blastn	1	10782	10795	basic	len/pident 15/86.667
blastn	1	11915	11904	basic	len/pident 12/91.667
blastn	1	12434	12422	basic	len/pident 16/81.25
blastn	1	12705	12697	basic	len/pident 9/100.0
blastn	1	13098	13090	basic	len/pident 9/100.0
blastn	1	3289	3299	basic	len/pident 11/90.909
blastn	1	3656	3646	basic	len/pident 11/90.909
blastn	1	4522	4512	basic	len/pident 11/90.909
blastn	1	4711	4699	basic	len/pident 14/85.714
blastn	1	5083	5073	basic	len/pident 11/90.909
blastn	1	7404	7394	basic	len/pident 11/90.909
blastn	1	8217	8227	basic	len/pident 11/90.909
blastn	1	9812	9802	basic	len/pident 11/90.909
blastn	1	13399	13409	basic	len/pident 11/90.909
blastn	1	16	9	basic	len/pident 8/100.0
blastn	1	1836	1843	basic	len/pident 8/100.0
blastn	1	2029	2036	basic	len/pident 8/100.0
blastn	1	2119	2126	basic	len/pident 8/100.0
blastn	1	2657	2650	basic	len/pident 8/100.0
blastn	1	2986	2993	basic	len/pident 8/100.0
blastn	1	3033	3026	basic	len/pident 8/100.0
blastn	1	3288	3295	basic	len/pident 8/100.0
blastn	1	3380	3387	basic	len/pident 8/100.0
blastn	1	3494	3501	basic	len/pident 8/100.0
blastn	1	3587	3580	basic	len/pident 8/100.0
blastn	1	3750	3757	basic	len/pident 8/100.0
blastn	1	3764	3771	basic	len/pident 8/100.0
blastn	1	3788	3795	basic	len/pident 8/100.0
blastn	1	4125	4118	basic	len/pident 8/100.0
blastn	1	4152	4145	basic	len/pident 8/100.0
blastn	1	4276	4269	basic	len/pident 8/100.0
blastn	1	4540	4533	basic	len/pident 8/100.0
blastn	1	4617	4610	basic	len/pident 8/100.0
blastn	1	4794	4801	basic	len/pident 8/100.0
blastn	1	4821	4814	basic	len/pident 8/100.0
blastn	1	4912	4919	basic	len/pident 8/100.0
blastn	1	5072	5079	basic	len/pident 8/100.0
blastn	1	5083	5090	basic	len/pident 8/100.0
blastn	1	5472	5465	basic	len/pident 8/100.0
blastn	1	5524	5517	basic	len/pident 8/100.0
blastn	1	5607	5600	basic	len/pident 8/100.0
blastn	1	6244	6237	basic	len/pident 8/100.0
blastn	1	6283	6290	basic	len/pident 8/100.0
blastn	1	6320	6327	basic	len/pident 8/100.0
blastn	1	6378	6371	basic	len/pident 8/100.0
blastn	1	6501	6494	basic	len/pident 8/100.0
blastn	1	6549	6556	basic	len/pident 8/100.0
blastn	1	6623	6630	basic	len/pident 8/100.0
blastn	1	6682	6675	basic	len/pident 8/100.0
blastn	1	6677	6684	basic	len/pident 8/100.0
blastn	1	7257	7264	basic	len/pident 8/100.0
blastn	1	7528	7535	basic	len/pident 8/100.0
blastn	1	8160	8153	basic	len/pident 8/100.0
blastn	1	8274	8281	basic	len/pident 8/100.0
blastn	1	8761	8754	basic	len/pident 8/100.0
blastn	1	8867	8874	basic	len/pident 8/100.0
blastn	1	8871	8878	basic	len/pident 8/100.0
blastn	1	9153	9146	basic	len/pident 8/100.0
blastn	1	9251	9239	basic	len/pident 13/84.615
blastn	1	10104	10111	basic	len/pident 8/100.0
blastn	1	10709	10716	basic	len/pident 8/100.0
blastn	1	11510	11517	basic	len/pident 8/100.0
blastn	1	11600	11593	basic	len/pident 8/100.0
blastn	1	11619	11626	basic	len/pident 8/100.0
blastn	1	12105	12098	basic	len/pident 8/100.0
blastn	1	12727	12720	basic	len/pident 8/100.0
blastn	1	13184	13191	basic	len/pident 8/100.0
blastn	1	14244	14237	basic	len/pident 8/100.0
blastn	2	13013	13002	basic	len/pident 12/100.0
blastn	2	11630	11617	basic	len/pident 14/92.857
blastn	2	14105	14118	basic	len/pident 14/92.857
blastn	2	4750	4763	basic	len/pident 16/87.5
blastn	2	8442	8430	basic	len/pident 14/92.857
blastn	2	2593	2602	basic	len/pident 10/100.0
blastn	2	7101	7110	basic	len/pident 10/100.0
blastn	2	1513	1529	basic	len/pident 17/82.353
blastn	2	4994	5005	basic	len/pident 12/91.667
blastn	2	971	979	basic	len/pident 9/100.0
blastn	2	1127	1135	basic	len/pident 9/100.0
blastn	2	2146	2154	basic	len/pident 9/100.0
blastn	2	3769	3761	basic	len/pident 9/100.0
blastn	2	4305	4295	basic	len/pident 12/91.667
blastn	2	7034	7042	basic	len/pident 9/100.0
blastn	2	7653	7645	basic	len/pident 9/100.0
blastn	2	8967	8975	basic	len/pident 9/100.0
blastn	2	10810	10818	basic	len/pident 9/100.0
blastn	2	11684	11692	basic	len/pident 9/100.0
blastn	2	12102	12110	basic	len/pident 9/100.0
blastn	2	13287	13300	basic	len/pident 14/85.714
blastn	2	3137	3127	basic	len/pident 11/90.909
blastn	2	3234	3224	basic	len/pident 11/90.909
blastn	2	3617	3627	basic	len/pident 11/90.909
blastn	2	3966	3956	basic	len/pident 11/90.909
blastn	2	4815	4825	basic	len/pident 11/90.909
blastn	2	8614	8601	basic	len/pident 14/85.714
blastn	2	8736	8726	basic	len/pident 11/90.909
blastn	2	8809	8822	basic	len/pident 14/85.714
blastn	2	10093	10105	basic	len/pident 14/85.714
blastn	2	12704	12694	basic	len/pident 11/90.909
blastn	2	13967	13982	basic	len/pident 16/81.25
blastn	2	14111	14121	basic	len/pident 11/90.909
blastn	2	14159	14149	basic	len/pident 11/90.909
blastn	2	14262	14272	basic	len/pident 11/90.909
blastn	2	381	374	basic	len/pident 8/100.0
blastn	2	1431	1438	basic	len/pident 8/100.0
blastn	2	1802	1809	basic	len/pident 8/100.0
blastn	2	1987	1980	basic	len/pident 8/100.0
blastn	2	3024	3017	basic	len/pident 8/100.0
blastn	2	3229	3236	basic	len/pident 8/100.0
blastn	2	5183	5190	basic	len/pident 8/100.0
blastn	2	5468	5475	basic	len/pident 8/100.0
blastn	2	6874	6881	basic	len/pident 8/100.0
blastn	2	7035	7042	basic	len/pident 8/100.0
blastn	2	7393	7400	basic	len/pident 8/100.0
blastn	2	7906	7913	basic	len/pident 8/100.0
blastn	2	8173	8166	basic	len/pident 8/100.0
blastn	2	8179	8186	basic	len/pident 8/100.0
blastn	2	8321	8328	basic	len/pident 8/100.0
blastn	2	8457	8464	basic	len/pident 8/100.0
blastn	2	8803	8810	basic	len/pident 8/100.0
blastn	2	8994	8987	basic	len/pident 8/100.0
blastn	2	9062	9055	basic	len/pident 8/100.0
blastn	2	9507	9500	basic	len/pident 8/100.0
blastn	2	9805	9812	basic	len/pident 8/100.0
blastn	2	9987	9999	basic	len/pident 13/84.615
blastn	2	10433	10440	basic	len/pident 8/100.0
blastn	2	11322	11315	basic	len/pident 8/100.0
blastn	2	11335	11328	basic	len/pident 8/100.0
blastn	2	12124	12117	basic	len/pident 8/100.0
blastn	2	12447	12454	basic	len/pident 8/100.0
blastn	2	12713	12706	basic	len/pident 8/100.0
blastn	2	12817	12824	basic	len/pident 8/100.0
blastn	2	13192	13185	basic	len/pident 8/100.0
blastn	3	6362	6371	basic	len/pident 10/100.0
blastn	3	2603	2616	basic	len/pident 14/85.714
blastn	3	4615	4604	basic	len/pident 12/91.667
blastn	3	5041	5051	basic	len/pident 12/91.667
blastn	3	5054	5046	basic	len/pident 9/100.0
blastn	3	8423	8431	basic	len/pident 9/100.0
blastn	3	10303	10311	basic	len/pident 9/100.0
blastn	3	10577	10569	basic	len/pident 9/100.0
blastn	3	11452	11444	basic	len/pident 9/100.0
blastn	3	11872	11880	basic	len/pident 9/100.0
blastn	3	12838	12846	basic	len/pident 9/100.0
blastn	3	13865	13852	basic	len/pident 14/85.714
blastn	3	616	606	basic	len/pident 11/90.909
blastn	3	2844	2854	basic	len/pident 11/90.909
