method	exon_index	sstart	send	reason	detail
blastn	1	2542	2553	basic	len/pident 12/100.0
blastn	1	1704	1691	basic	len/pident 14/92.857
blastn	1	2613	2626	basic	len/pident 14/92.857
blastn	1	2543	2553	basic	len/pident 11/100.0
blastn	1	6871	6881	basic	len/pident 11/100.0
blastn	1	8400	8387	basic	len/pident 14/92.857
blastn	1	9708	9696	basic	len/pident 13/92.308
blastn	1	2397	2383	basic	len/pident 15/86.667
blastn	1	2543	2552	basic	len/pident 10/100.0
blastn	1	2544	2553	basic	len/pident 10/100.0
blastn	1	24960	24946	basic	len/pident 15/86.667
blastn	1	1296	1285	basic	len/pident 12/91.667
blastn	1	1852	1836	basic	len/pident 17/82.353
blastn	1	2543	2554	basic	len/pident 12/91.667
blastn	1	8453	8464	basic	len/pident 12/91.667
blastn	1	14839	14823	basic	len/pident 17/82.353
blastn	1	21336	21325	basic	len/pident 12/91.667
blastn	1	24857	24844	basic	len/pident 15/86.667
blastn	1	1462	1454	basic	len/pident 9/100.0
blastn	1	1699	1691	basic	len/pident 9/100.0
blastn	1	3571	3563	basic	len/pident 9/100.0
blastn	1	7126	7118	basic	len/pident 9/100.0
blastn	1	8875	8867	basic	len/pident 9/100.0
blastn	1	9754	9746	basic	len/pident 9/100.0
blastn	1	9977	9985	basic	len/pident 9/100.0
blastn	1	10668	10660	basic	len/pident 9/100.0
blastn	1	11156	11148	basic	len/pident 9/100.0
blastn	1	16455	16447	basic	len/pident 9/100.0
blastn	1	20979	20971	basic	len/pident 9/100.0
blastn	1	22812	22804	basic	len/pident 9/100.0
blastn	1	28263	28255	basic	len/pident 9/100.0
blastn	2	9152	9164	basic	len/pident 13/92.308
blastn	2	4775	4761	basic	len/pident 15/86.667
blastn	2	6231	6240	basic	len/pident 10/100.0
blastn	2	7886	7897	basic	len/pident 13/92.308
blastn	2	10506	10497	basic	len/pident 10/100.0
blastn	2	12339	12351	basic	len/pident 13/92.308
blastn	2	17380	17389	basic	len/pident 10/100.0
blastn	2	18250	18261	basic	len/pident 13/92.308
blastn	2	16888	16874	basic	len/pident 17/82.353
blastn	2	624	613	basic	len/pident 12/91.667
blastn	2	2862	2872	basic	len/pident 12/91.667
blastn	2	11638	11630	basic	len/pident 9/100.0
blastn	2	12055	12063	basic	len/pident 9/100.0
blastn	2	14269	14261	basic	len/pident 9/100.0
blastn	2	14299	14284	basic	len/pident 17/82.353
blastn	2	18021	18029	basic	len/pident 9/100.0
blastn	2	18266	18258	basic	len/pident 9/100.0
blastn	2	21892	21884	basic	len/pident 9/100.0
blastn	2	22571	22563	basic	len/pident 9/100.0
blastn	2	26024	26034	basic	len/pident 12/91.667
blastn	2	27705	27697	basic	len/pident 9/100.0
blastn	2	4181	4191	basic	len/pident 11/90.909
blastn	2	6203	6216	basic	len/pident 14/85.714
blastn	2	9414	9404	basic	len/pident 11/90.909
blastn	2	11752	11742	basic	len/pident 11/90.909
blastn	2	23865	23855	basic	len/pident 11/90.909
blastn	2	25999	26009	basic	len/pident 11/90.909
blastn	2	26870	26858	basic	len/pident 14/85.714
blastn	2	696	689	basic	len/pident 8/100.0
blastn	2	742	730	basic	len/pident 13/84.615
blastn	2	4125	4132	basic	len/pident 8/100.0
blastn	2	4878	4871	basic	len/pident 8/100.0
blastn	2	5314	5302	basic	len/pident 13/84.615
blastn	2	5719	5729	basic	len/pident 11/90.909
blastn	2	5948	5955	basic	len/pident 8/100.0
blastn	2	6787	6794	basic	len/pident 8/100.0
blastn	2	8907	8914	basic	len/pident 8/100.0
blastn	2	11145	11152	basic	len/pident 8/100.0
blastn	2	11528	11538	basic	len/pident 11/90.909
blastn	2	14099	14092	basic	len/pident 8/100.0
blastn	2	15359	15352	basic	len/pident 8/100.0
blastn	2	16247	16240	basic	len/pident 8/100.0
blastn	2	17321	17328	basic	len/pident 8/100.0
blastn	2	17711	17718	basic	len/pident 8/100.0
blastn	2	18541	18534	basic	len/pident 8/100.0
