method	exon_index	sstart	send	reason	detail
blastn	1	1218	1206	basic	len/pident 13/92.308
blastn	1	874	866	basic	len/pident 9/100.0
blastn	1	11959	11951	basic	len/pident 9/100.0
blastn	1	1945	1930	basic	len/pident 16/81.25
blastn	1	2853	2863	basic	len/pident 11/90.909
blastn	1	10981	10971	basic	len/pident 11/90.909
blastn	1	1686	1679	basic	len/pident 8/100.0
blastn	1	1742	1735	basic	len/pident 8/100.0
blastn	1	2492	2485	basic	len/pident 8/100.0
blastn	1	2506	2518	basic	len/pident 13/84.615
blastn	1	4246	4239	basic	len/pident 8/100.0
blastn	1	5502	5509	basic	len/pident 8/100.0
blastn	1	6526	6533	basic	len/pident 8/100.0
blastn	1	6872	6879	basic	len/pident 8/100.0
blastn	1	6892	6885	basic	len/pident 8/100.0
blastn	1	7060	7053	basic	len/pident 8/100.0
blastn	1	8420	8427	basic	len/pident 8/100.0
blastn	1	8536	8543	basic	len/pident 8/100.0
blastn	1	8995	9002	basic	len/pident 8/100.0
blastn	1	9223	9216	basic	len/pident 8/100.0
blastn	1	9435	9442	basic	len/pident 8/100.0
blastn	1	9466	9459	basic	len/pident 8/100.0
blastn	1	9812	9819	basic	len/pident 8/100.0
blastn	1	10947	10940	basic	len/pident 8/100.0
blastn	1	11601	11594	basic	len/pident 8/100.0
blastn	1	11835	11842	basic	len/pident 8/100.0
blastn	2	1110	1098	basic	len/pident 13/92.308
blastn	2	1893	1881	basic	len/pident 13/92.308
blastn	2	5035	5023	basic	len/pident 13/92.308
blastn	2	7140	7128	basic	len/pident 13/92.308
blastn	2	5787	5778	basic	len/pident 10/100.0
blastn	2	9039	9048	basic	len/pident 10/100.0
blastn	2	9195	9204	basic	len/pident 10/100.0
blastn	2	11231	11245	basic	len/pident 15/86.667
blastn	2	3268	3279	basic	len/pident 12/91.667
blastn	2	11157	11143	basic	len/pident 17/82.353
blastn	2	1427	1435	basic	len/pident 9/100.0
blastn	2	1704	1696	basic	len/pident 9/100.0
blastn	2	3132	3140	basic	len/pident 9/100.0
blastn	2	3135	3143	basic	len/pident 9/100.0
blastn	2	3678	3686	basic	len/pident 9/100.0
blastn	2	6078	6086	basic	len/pident 9/100.0
blastn	2	6367	6359	basic	len/pident 9/100.0
blastn	2	9527	9540	basic	len/pident 14/85.714
blastn	2	10004	9996	basic	len/pident 9/100.0
blastn	2	9996	10004	basic	len/pident 9/100.0
blastn	2	10821	10829	basic	len/pident 9/100.0
blastn	2	2666	2678	basic	len/pident 14/85.714
blastn	2	9298	9308	basic	len/pident 11/90.909
blastn	2	9785	9795	basic	len/pident 11/90.909
blastn	2	11628	11638	basic	len/pident 11/90.909
blastn	2	920	927	basic	len/pident 8/100.0
blastn	2	1228	1221	basic	len/pident 8/100.0
blastn	2	2329	2322	basic	len/pident 8/100.0
blastn	2	2410	2403	basic	len/pident 8/100.0
blastn	2	3107	3100	basic	len/pident 8/100.0
blastn	2	3350	3343	basic	len/pident 8/100.0
blastn	2	3995	3988	basic	len/pident 8/100.0
blastn	2	4812	4805	basic	len/pident 8/100.0
blastn	2	4974	4967	basic	len/pident 8/100.0
blastn	2	5208	5215	basic	len/pident 8/100.0
blastn	2	5706	5699	basic	len/pident 8/100.0
blastn	2	5923	5930	basic	len/pident 8/100.0
blastn	2	6806	6813	basic	len/pident 8/100.0
blastn	2	7916	7909	basic	len/pident 8/100.0
blastn	2	7909	7916	basic	len/pident 8/100.0
blastn	2	9211	9204	basic	len/pident 8/100.0
blastn	2	9278	9285	basic	len/pident 8/100.0
blastn	2	9423	9416	basic	len/pident 8/100.0
blastn	2	10095	10088	basic	len/pident 8/100.0
blastn	2	10132	10139	basic	len/pident 8/100.0
blastn	2	10558	10551	basic	len/pident 8/100.0
blastn	2	10831	10824	basic	len/pident 8/100.0
blastn	2	11020	11027	basic	len/pident 8/100.0
blastn	2	11108	11120	basic	len/pident 17/76.471
blastn	2	11759	11766	basic	len/pident 8/100.0
blastn	3	5780	5764	basic	len/pident 17/88.235
blastn	3	10526	10513	basic	len/pident 14/92.857
blastn	3	9115	9101	basic	len/pident 17/88.235
blastn	3	3440	3428	basic	len/pident 13/92.308
blastn	3	6474	6486	basic	len/pident 13/92.308
blastn	3	2630	2644	basic	len/pident 15/86.667
blastn	3	6475	6484	basic	len/pident 10/100.0
blastn	3	4473	4489	basic	len/pident 17/82.353
blastn	3	11549	11533	basic	len/pident 17/82.353
blastn	3	1110	1102	basic	len/pident 9/100.0
blastn	3	1349	1357	basic	len/pident 9/100.0
blastn	3	2525	2517	basic	len/pident 9/100.0
blastn	3	2678	2670	basic	len/pident 9/100.0
blastn	3	3236	3223	basic	len/pident 14/85.714
blastn	3	4626	4618	basic	len/pident 9/100.0
blastn	3	5465	5457	basic	len/pident 9/100.0
blastn	3	5534	5542	basic	len/pident 9/100.0
