metric	value
hits:exon->CDS	24
hits:exon->exon	23
hits:exon->intron	470
copies:exon_to_intron_total	442
copies:exon_01_(2001-2314)	15
copies:exon_02_(7535-8267)	24
copies:exon_03_(21365-21485)	57
copies:exon_04_(36432-36543)	15
copies:exon_05_(39856-39974)	36
copies:exon_06_(42544-42626)	40
copies:exon_07_(44216-44333)	28
copies:exon_08_(45750-45856)	7
copies:exon_09_(46755-46835)	8
copies:exon_10_(48076-48170)	28
copies:exon_11_(49238-49309)	15
copies:exon_12_(50997-51125)	43
copies:exon_13_(54042-54151)	37
copies:exon_14_(61050-61308)	31
copies:exon_15_(64180-67423)	58
intron:total_raw_exon_to_intron_hits	432
intron:total_clustered_copies	347
intron_01_(1-2000):raw_hits	18
intron_01_(1-2000):clustered_copies	9
intron_02_(2315-7534):raw_hits	35
intron_02_(2315-7534):clustered_copies	23
intron_03_(8268-21364):raw_hits	84
intron_03_(8268-21364):clustered_copies	69
intron_04_(21486-36431):raw_hits	97
intron_04_(21486-36431):clustered_copies	83
intron_05_(36544-39855):raw_hits	27
intron_05_(36544-39855):clustered_copies	21
intron_06_(39975-42543):raw_hits	17
intron_06_(39975-42543):clustered_copies	15
intron_07_(42627-44215):raw_hits	19
intron_07_(42627-44215):clustered_copies	14
intron_08_(44334-45749):raw_hits	8
intron_08_(44334-45749):clustered_copies	6
intron_09_(45857-46754):raw_hits	6
intron_09_(45857-46754):clustered_copies	6
intron_10_(46836-48075):raw_hits	12
intron_10_(46836-48075):clustered_copies	8
intron_11_(48171-49237):raw_hits	7
intron_11_(48171-49237):clustered_copies	7
intron_12_(49310-50996):raw_hits	10
intron_12_(49310-50996):clustered_copies	9
intron_13_(51126-54041):raw_hits	20
intron_13_(51126-54041):clustered_copies	16
intron_14_(54152-61049):raw_hits	49
intron_14_(54152-61049):clustered_copies	40
intron_15_(61309-64179):raw_hits	16
intron_15_(61309-64179):clustered_copies	14
intron_16_(67424-69423):raw_hits	7
intron_16_(67424-69423):clustered_copies	7
