exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	1369	2	3369	2002	100.0	456	1090.0	0.0	-1	tblastx:e1e1
1	1368	1	3368	2001	100.0	456	1089.0	0.0	-2	tblastx:e1e1
1	3	1367	2003	3367	100.0	455	1088.0	0.0	2	tblastx:e1e1
1	1	1368	2001	3368	100.0	456	1070.0	0.0	3	tblastx:e1e1
1	2	1369	2002	3369	100.0	456	1062.0	0.0	1	tblastx:e1e1
1	1367	3	3367	2003	100.0	455	1056.0	0.0	-3	tblastx:e1e1
1	1039	995	2990	3034	60.0	15	26.7	0.042	2	tblastx:e1e1
1	990	1034	3039	2995	60.0	15	26.7	0.042	-1	tblastx:e1e1
1	532	476	9336	9392	42.105	19	24.9	0.15	3	tblastx:e1e1
1	617	673	12606	12662	63.158	19	24.9	0.15	3	tblastx:e1e1
1	881	976	1776	1871	28.125	32	20.8	0.39	3	tblastx:e1e1
1	860	898	1667	1705	46.154	13	18.0	0.39	2	tblastx:e1e1
1	66	13	1897	1950	44.444	18	23.1	0.54	1	tblastx:e1e1
1	1162	1136	11742	11768	66.667	9	23.1	0.54	3	tblastx:e1e1
1	11	34	1885	1908	75.0	8	19.9	0.62	1	tblastx:e1e1
1	169	195	2025	2051	77.778	9	18.0	0.62	3	tblastx:e1e1
1	833	967	1567	1701	28.889	45	22.6	0.74	1	tblastx:e1e1
1	343	375	12101	12069	63.636	11	22.6	0.74	-2	tblastx:e1e1
1	661	738	8296	8219	38.462	26	22.1	1.0	-3	tblastx:e1e1
1	1063	962	9302	9201	29.412	34	21.7	1.4	-2	tblastx:e1e1
1	43	126	10402	10319	32.143	28	21.2	1.9	-3	tblastx:e1e1
1	1195	1151	16251	16295	46.667	15	21.2	1.9	3	tblastx:e1e1
1	774	827	10741	10794	38.889	18	20.8	2.6	1	tblastx:e1e1
1	1214	1179	16484	16449	58.333	12	20.3	3.6	-2	tblastx:e1e1
1	1231	1205	6634	6660	66.667	9	20.3	3.6	1	tblastx:e1e1
1	53	82	1783	1754	60.0	10	20.3	3.6	-3	tblastx:e1e1
1	1168	1133	16505	16470	58.333	12	19.9	5.0	-2	tblastx:e1e1
1	1070	1129	4316	4375	45.0	20	19.9	5.0	2	tblastx:e1e1
1	1073	1096	12224	12201	62.5	8	19.9	5.0	-2	tblastx:e1e1
1	786	824	5902	5940	46.154	13	19.9	5.0	1	tblastx:e1e1
1	1336	1265	7525	7596	37.5	24	19.9	5.0	1	tblastx:e1e1
1	867	823	14166	14210	46.667	15	19.9	5.0	3	tblastx:e1e1
1	120	179	8406	8465	40.0	20	19.4	6.8	3	tblastx:e1e1
1	985	947	7525	7487	38.462	13	19.4	6.8	-3	tblastx:e1e1
1	285	311	9785	9811	55.556	9	19.4	6.8	2	tblastx:e1e1
1	435	458	14623	14600	75.0	8	18.9	9.4	-3	tblastx:e1e1
1	531	563	12483	12451	54.545	11	18.9	9.4	-1	tblastx:e1e1
1	54	80	7272	7298	66.667	9	18.9	9.4	3	tblastx:e1e1
1	1082	1096	9298	9284	100.0	5	18.9	9.4	-3	tblastx:e1e1
1	1203	1165	9216	9254	46.154	13	18.9	9.4	3	tblastx:e1e1
1	526	564	10323	10361	46.154	13	18.9	9.4	3	tblastx:e1e1
1	1079	1117	13440	13478	46.154	13	18.9	9.4	3	tblastx:e1e1
2	72	1	5797	5726	100.0	24	65.2	2.06e-15	-3	tblastx:e1e1
2	1	72	5726	5797	100.0	24	63.8	5.35e-15	2	tblastx:e1e1
2	2	70	5727	5795	100.0	23	59.3	1.28e-13	3	tblastx:e1e1
2	70	2	5795	5727	100.0	23	51.9	2.06e-11	-2	tblastx:e1e1
2	71	3	5796	5728	100.0	23	50.1	7.35e-11	-1	tblastx:e1e1
2	3	71	5728	5796	100.0	23	47.8	3.59e-10	1	tblastx:e1e1
2	39	19	5185	5165	71.429	7	15.7	1.6	-3	tblastx:e1e1
2	59	18	2635	2676	42.857	14	15.3	2.2	1	tblastx:e1e1
2	59	24	12624	12659	50.0	12	15.3	2.2	3	tblastx:e1e1
2	30	50	296	316	71.429	7	13.9	5.8	2	tblastx:e1e1
2	31	51	620	640	57.143	7	13.9	5.8	2	tblastx:e1e1
3	114	1	6582	6469	100.0	38	91.8	4.63e-23	-1	tblastx:e1e1
3	112	2	6580	6470	100.0	37	91.3	6.36e-23	-3	tblastx:e1e1
3	3	113	6471	6581	100.0	37	87.2	1.11e-21	3	tblastx:e1e1
3	1	114	6469	6582	100.0	38	87.2	1.13e-21	1	tblastx:e1e1
3	113	3	6581	6471	100.0	37	86.8	1.52e-21	-2	tblastx:e1e1
3	2	112	6470	6580	100.0	37	85.4	3.95e-21	2	tblastx:e1e1
3	56	91	5856	5821	58.333	12	17.6	0.97	-1	tblastx:e1e1
3	69	110	7620	7579	57.143	14	17.1	1.3	-1	tblastx:e1e1
3	61	41	11991	12011	57.143	7	15.7	3.5	3	tblastx:e1e1
3	15	47	13196	13164	36.364	11	14.8	6.5	-2	tblastx:e1e1
4	1	57	7254	7310	100.0	19	52.8	1.12e-11	3	tblastx:e1e1
4	57	1	7310	7254	100.0	19	50.1	7.35e-11	-2	tblastx:e1e1
4	56	3	7309	7256	100.0	18	47.3	4.94e-10	-3	tblastx:e1e1
4	3	56	7256	7309	100.0	18	43.7	6.27e-09	2	tblastx:e1e1
4	2	55	7255	7308	100.0	18	41.8	2.23e-08	1	tblastx:e1e1
4	55	2	7308	7255	100.0	18	41.8	2.24e-08	-1	tblastx:e1e1
4	19	45	2054	2080	66.667	9	18.9	0.18	2	tblastx:e1e1
4	57	13	8590	8546	40.0	15	16.2	1.2	-3	tblastx:e1e1
4	15	53	11968	12006	38.462	13	14.8	3.1	1	tblastx:e1e1
4	34	17	9536	9519	66.667	6	14.8	3.1	-2	tblastx:e1e1
5	172	2	8650	8480	100.0	57	143.0	3.2e-38	-3	tblastx:e1e1
5	2	172	8480	8650	100.0	57	141.0	8.31e-38	2	tblastx:e1e1
5	171	1	8649	8479	100.0	57	140.0	2.15e-37	-1	tblastx:e1e1
5	3	173	8481	8651	100.0	57	128.0	6.05e-34	3	tblastx:e1e1
5	1	171	8479	8649	100.0	57	127.0	1.24e-33	1	tblastx:e1e1
