exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	2002	4734	100.0	2734	4065.0	0.0	blastn,tblastx	3367.5
1	4164	4088	66.667	105	25.1	1.1	blastn,tblastx	4134.75
1	5292	5342	70.0	50	23.6	3.1	blastn,tblastx	5317.0
1	6653	6713	76.19	42	26.6	0.34	blastn,tblastx	6688.0
1	9551	9639	69.048	126	42.2	1.33e-05	blastn,tblastx	9590.5
1	10908	10891	71.429	77	36.8	4.88e-06	blastn,tblastx	10905.5
1	13528	13572	79.167	24	21.7	2.6	blastn,tblastx	13550.5
2	127	78	86.364	40	26.3	0.073	blastn,tblastx	94.0
2	1237	1284	84.211	26	19.9	8.6	blastn,tblastx	1270.0
2	5890	5891	100.0	1872	2784.0	0.0	blastn,tblastx	5890.5
2	7224	7190	82.143	32	25.1	0.005	blastn,tblastx	7201.5
2	12412	12459	79.31	29	22.9	3.3	blastn,tblastx	12432.0
2	14181	14222	82.143	28	25.9	0.75	blastn,tblastx	14207.0
3	1440	1490	74.359	39	26.3	0.25	blastn,tblastx	1465.0
3	1558	1584	81.25	32	27.4	0.9	blastn,tblastx	1571.5
3	2345	2350	69.048	126	42.2	1.06e-05	blastn,tblastx	2354.5
3	2467	2423	77.778	36	25.1	1.06e-05	blastn,tblastx	2447.25
3	6540	6562	88.889	21	23.5	1.7	blastn,tblastx	6546.5
3	6931	6876	89.474	31	23.6	7.0	blastn,tblastx	6899.0
3	7335	7288	81.25	32	26.6	0.9	blastn,tblastx	7309.25
3	7461	7448	66.667	96	28.1	0.025	blastn,tblastx	7457.0
3	8407	8428	90.0	20	23.6	2.3	blastn,tblastx	8403.0
3	8668	8710	79.31	29	23.1	2.3	blastn,tblastx	8689.0
3	9986	9988	100.0	6156	9150.0	0.0	blastn,tblastx	9987.5
3	10345	10252	69.333	75	26.6	0.044	blastn,tblastx	10302.75
