exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	496	2001	2496	100.0	496	exon	CDS
1	287	320	4603	4572	80.0	35	exon	intron
1	246	281	2144	2106	76.923	39	exon	intron
1	106	144	2281	2246	76.923	39	exon	intron
1	252	273	6368	6391	87.5	24	exon	intron
1	83	122	8263	8303	76.744	43	exon	intron
1	147	167	4303	4326	87.5	24	exon	exon
1	137	186	20892	20944	72.222	54	exon	intron
1	78	102	4509	4488	84.0	25	exon	intron
1	246	265	14767	14749	90.0	20	exon	intron
1	276	319	18292	18336	74.468	47	exon	intron
1	267	288	22634	22610	84.0	25	exon	intron
1	477	495	2495	2477	90.0	20	exon	intron
1	111	159	4693	4751	69.492	59	exon	exon
1	364	402	8952	8990	75.0	40	exon	intron
1	256	278	21	44	83.333	24	exon	intron
1	170	193	6744	6724	83.333	24	exon	intron
1	450	467	14456	14438	89.474	19	exon	intron
1	257	277	14994	14974	85.714	21	exon	intron
1	219	254	18012	18043	75.0	36	exon	intron
1	147	167	19826	19806	85.714	21	exon	intron
1	120	171	21581	21633	71.93	57	exon	intron
1	259	279	2543	2524	85.714	21	exon	intron
1	248	269	6369	6392	83.333	24	exon	intron
1	229	277	15018	14973	70.588	51	exon	intron
1	112	136	14975	14996	80.0	25	exon	intron
1	254	275	22228	22205	83.333	24	exon	intron
1	134	151	1980	1964	88.889	18	exon	intron
1	251	270	6076	6057	85.0	20	exon	intron
1	50	66	9219	9236	88.889	18	exon	intron
1	366	385	9589	9608	85.714	21	exon	CDS
1	263	279	13656	13639	88.889	18	exon	intron
1	245	265	2136	2114	82.609	23	exon	intron
1	114	136	2265	2245	82.609	23	exon	intron
1	459	483	4648	4618	74.194	31	exon	intron
1	257	291	9142	9095	68.75	48	exon	intron
1	366	394	20751	20780	76.667	30	exon	intron
1	111	138	22213	22234	78.571	28	exon	exon
1	48	66	4787	4765	78.261	23	exon	intron
1	316	339	10128	10151	79.167	24	exon	intron
1	284	302	11210	11194	84.211	19	exon	intron
1	256	273	13834	13815	85.0	20	exon	intron
1	17	35	23023	23005	84.211	19	exon	intron
1	293	314	10462	10484	79.167	24	exon	intron
1	258	275	18952	18930	78.261	23	exon	intron
1	12	42	22229	22199	74.194	31	exon	intron
1	210	230	22719	22739	80.952	21	exon	intron
1	104	127	24343	24315	75.862	29	exon	intron
1	185	202	1770	1785	83.333	18	exon	intron
1	99	120	2511	2535	76.0	25	exon	intron
1	235	270	5996	5962	72.222	36	exon	intron
1	338	358	7705	7727	78.261	23	exon	intron
1	348	381	10532	10505	73.529	34	exon	intron
1	32	49	15921	15938	83.333	18	exon	intron
1	374	390	19733	19715	84.211	19	exon	intron
1	257	272	19806	19823	83.333	18	exon	intron
1	152	176	1501	1477	76.0	25	exon	intron
1	259	276	22230	22214	83.333	18	exon	intron
1	158	179	22674	22696	78.261	23	exon	intron
2	1	91	2943	3033	100.0	91	exon	CDS
2	44	75	9372	9407	75.676	37	exon	intron
2	54	84	20124	20156	76.471	34	exon	intron
2	32	55	2476	2499	80.0	25	exon	CDS
2	46	74	6459	6487	76.667	30	exon	CDS
2	45	72	8248	8277	74.194	31	exon	intron
2	25	44	8396	8411	80.0	20	exon	intron
2	1	23	12531	12554	79.167	24	exon	intron
2	43	61	17739	17722	84.211	19	exon	intron
2	46	78	23392	23422	72.222	36	exon	intron
2	11	28	20731	20711	80.952	21	exon	intron
2	12	43	4466	4438	72.727	33	exon	intron
2	18	44	11478	11451	75.862	29	exon	intron
2	38	59	17022	17004	77.273	22	exon	intron
2	1	24	720	744	76.0	25	exon	intron
2	35	61	10764	10800	70.27	37	exon	intron
2	10	28	13586	13603	80.0	20	exon	intron
2	67	86	17325	17309	80.0	20	exon	intron
2	45	74	8741	8764	73.333	30	exon	intron
2	10	30	11281	11264	76.19	21	exon	intron
2	2	24	11463	11488	73.077	26	exon	intron
2	1	22	15322	15345	76.0	25	exon	intron
2	60	84	8988	9014	74.074	27	exon	intron
2	35	54	10676	10695	77.273	22	exon	intron
3	1	154	3165	3318	100.0	154	exon	CDS
3	5	127	3291	3169	66.187	139	exon	intron
3	104	128	8988	8966	88.0	25	exon	intron
3	3	23	948	969	81.818	22	exon	intron
3	2	36	15609	15643	71.795	39	exon	intron
3	111	141	21006	20975	75.0	32	exon	intron
3	84	103	6839	6817	78.261	23	exon	intron
3	16	36	7730	7712	80.952	21	exon	intron
3	24	45	10726	10704	76.0	25	exon	intron
3	110	129	20521	20499	78.261	23	exon	intron
3	82	113	2574	2546	71.875	32	exon	intron
3	3	21	6272	6288	78.947	19	exon	intron
3	6	38	20563	20529	71.429	35	exon	intron
4	1	1433	4210	5642	100.0	1433	exon	CDS
4	482	525	6387	6338	76.471	51	exon	intron
4	363	394	2320	2287	80.0	35	exon	intron
4	6	24	15781	15763	94.737	19	exon	intron
4	1265	1291	21085	21113	82.759	29	exon	intron
4	115	168	23195	23256	70.769	65	exon	intron
