exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	evidence
1	1	689	2001	2689	100.0	689	1026.0	0.0	blastn:w7;e1e2
1	453	474	6859	6836	87.5	24	25.9	0.32	blastn:w7;e1e2
1	378	412	213	246	75.676	37	25.1	0.32	blastn:w7;e1e2
1	453	480	8682	8654	80.0	30	24.4	0.89	blastn:w7;e1e2
1	453	471	5403	5385	89.474	19	23.6	0.89	blastn:w7;e1e2
1	298	323	13464	13442	81.481	27	23.6	0.89	blastn:w7;e1e2
1	425	448	14883	14906	83.333	24	23.6	0.89	blastn:w7;e1e2
1	456	484	223	248	79.31	29	22.9	2.5	blastn:w7;e1e2
1	353	381	5861	5891	78.125	32	22.9	2.5	blastn:w7;e1e2
1	157	204	6783	6726	70.69	58	22.9	2.5	blastn:w7;e1e2
1	300	346	17039	16999	72.917	48	22.9	2.5	blastn:w7;e1e2
1	460	489	5403	5379	76.667	30	22.2	2.5	blastn:w7;e1e2
1	451	467	227	244	88.889	18	21.4	7.0	blastn:w7;e1e2
1	452	466	1990	2004	93.333	15	21.4	7.0	blastn:w7;e1e2
1	490	507	2091	2072	85.0	20	21.4	7.0	blastn:w7;e1e2
1	72	91	2507	2490	85.0	20	21.4	7.0	blastn:w7;e1e2
1	454	495	4805	4855	69.231	52	21.4	7.0	blastn:w7;e1e2
1	165	179	10226	10240	93.333	15	21.4	7.0	blastn:w7;e1e2
1	314	330	13184	13167	88.889	18	21.4	7.0	blastn:w7;e1e2
1	418	450	147	177	76.471	34	20.7	7.0	blastn:w7;e1e2
1	387	413	4528	4554	78.571	28	20.7	7.0	blastn:w7;e1e2
1	504	520	9157	9141	88.235	17	20.7	7.0	blastn:w7;e1e2
1	98	117	10033	10051	85.0	20	20.7	7.0	blastn:w7;e1e2
1	89	112	13798	13774	80.0	25	20.7	7.0	blastn:w7;e1e2
1	388	404	17008	16992	88.235	17	20.7	7.0	blastn:w7;e1e2
1	452	465	1266	1253	92.857	14	19.9	20.0	blastn:w7;e1e2
1	56	71	3591	3607	88.235	17	19.9	20.0	blastn:w7;e1e2
1	435	448	6801	6814	92.857	14	19.9	20.0	blastn:w7;e1e2
1	447	478	8684	8654	75.0	32	19.9	20.0	blastn:w7;e1e2
1	578	601	10284	10307	79.167	24	19.9	20.0	blastn:w7;e1e2
1	354	375	12854	12874	81.818	22	19.9	20.0	blastn:w7;e1e2
1	432	448	15876	15891	88.235	17	19.9	20.0	blastn:w7;e1e2
1	647	659	128	141	92.857	14	19.2	20.0	blastn:w7;e1e2
1	451	470	223	244	81.818	22	19.2	20.0	blastn:w7;e1e2
1	351	366	2366	2351	87.5	16	19.2	20.0	blastn:w7;e1e2
1	449	469	4477	4501	76.0	25	19.2	20.0	blastn:w7;e1e2
1	312	342	7919	7949	74.194	31	19.2	20.0	blastn:w7;e1e2
1	640	650	9488	9498	100.0	11	19.2	20.0	blastn:w7;e1e2
1	454	492	10839	10884	68.085	47	19.2	20.0	blastn:w7;e1e2
1	362	377	12880	12865	88.235	17	19.2	20.0	blastn:w7;e1e2
1	392	402	14077	14067	100.0	11	19.2	20.0	blastn:w7;e1e2
1	235	247	16162	16149	92.857	14	19.2	20.0	blastn:w7;e1e2
1	451	466	17005	16990	87.5	16	19.2	20.0	blastn:w7;e1e2
1	597	609	3255	3243	92.308	13	18.4	55.0	blastn:w7;e1e2
1	451	468	6853	6836	83.333	18	18.4	55.0	blastn:w7;e1e2
1	171	183	7013	7001	92.308	13	18.4	55.0	blastn:w7;e1e2
1	44	56	7151	7139	92.308	13	18.4	55.0	blastn:w7;e1e2
1	359	371	8030	8042	92.308	13	18.4	55.0	blastn:w7;e1e2
1	359	371	8665	8653	92.308	13	18.4	55.0	blastn:w7;e1e2
1	381	402	8848	8827	79.167	24	18.4	55.0	blastn:w7;e1e2
1	446	458	10854	10866	92.308	13	18.4	55.0	blastn:w7;e1e2
1	310	327	12010	11993	83.333	18	18.4	55.0	blastn:w7;e1e2
1	384	399	16468	16454	87.5	16	18.4	55.0	blastn:w7;e1e2
1	657	666	471	480	100.0	10	17.7	55.0	blastn:w7;e1e2
1	597	606	549	540	100.0	10	17.7	55.0	blastn:w7;e1e2
1	133	142	1225	1216	100.0	10	17.7	55.0	blastn:w7;e1e2
1	521	542	1425	1407	77.273	22	17.7	55.0	blastn:w7;e1e2
1	367	376	2376	2367	100.0	10	17.7	55.0	blastn:w7;e1e2
1	391	412	5669	5651	77.273	22	17.7	55.0	blastn:w7;e1e2
1	148	157	5715	5706	100.0	10	17.7	55.0	blastn:w7;e1e2
1	155	164	5914	5905	100.0	10	17.7	55.0	blastn:w7;e1e2
1	484	493	7071	7080	100.0	10	17.7	55.0	blastn:w7;e1e2
1	393	410	8682	8666	83.333	18	17.7	55.0	blastn:w7;e1e2
1	22	31	8810	8801	100.0	10	17.7	55.0	blastn:w7;e1e2
1	478	492	9099	9085	86.667	15	17.7	55.0	blastn:w7;e1e2
1	78	87	9444	9453	100.0	10	17.7	55.0	blastn:w7;e1e2
1	471	480	10378	10369	100.0	10	17.7	55.0	blastn:w7;e1e2
1	415	429	10465	10479	86.667	15	17.7	55.0	blastn:w7;e1e2
1	313	327	11036	11050	86.667	15	17.7	55.0	blastn:w7;e1e2
1	419	428	12139	12130	100.0	10	17.7	55.0	blastn:w7;e1e2
1	411	420	13926	13935	100.0	10	17.7	55.0	blastn:w7;e1e2
1	463	472	14794	14803	100.0	10	17.7	55.0	blastn:w7;e1e2
1	466	475	14794	14803	100.0	10	17.7	55.0	blastn:w7;e1e2
