exon_index	qstart	qend	sstart	send	pident	length	qlabel	slabel
1	1	115	2001	2115	100.0	115	exon	CDS
1	6	40	2403	2369	81.579	38	exon	intron
1	11	38	1932	1957	78.571	28	exon	intron
1	41	63	10761	10781	82.609	23	exon	intron
1	82	110	2260	2229	75.758	33	exon	intron
1	1	39	2402	2441	72.093	43	exon	intron
1	81	105	2209	2183	77.778	27	exon	intron
1	1	44	2596	2639	71.739	46	exon	intron
1	62	107	2506	2557	70.37	54	exon	intron
1	3	26	10694	10712	79.167	24	exon	intron
1	9	58	1863	1814	69.091	55	exon	intron
1	78	108	2167	2135	72.727	33	exon	intron
1	37	97	2706	2663	65.574	61	exon	intron
1	60	76	8011	7994	83.333	18	exon	intron
1	69	106	1879	1843	70.732	41	exon	intron
1	11	29	1843	1857	78.947	19	exon	intron
1	75	98	2808	2825	75.0	24	exon	intron
1	60	78	4318	4335	78.947	19	exon	intron
1	46	63	10812	10830	78.947	19	exon	intron
2	1	131	3164	3294	100.0	131	exon	CDS
2	12	32	3957	3937	86.364	22	exon	intron
2	50	67	10275	10292	83.333	18	exon	intron
2	19	41	3204	3182	76.923	26	exon	intron
2	35	50	4561	4544	83.333	18	exon	intron
2	81	105	5561	5592	68.75	32	exon	intron
2	8	43	2987	2961	69.444	36	exon	intron
2	74	103	4293	4320	74.194	31	exon	intron
2	97	117	7947	7923	76.0	25	exon	intron
2	70	87	4673	4691	78.947	19	exon	CDS
2	56	72	6755	6735	76.19	21	exon	intron
2	56	76	10080	10053	71.429	28	exon	intron
3	1	92	3945	4036	100.0	92	exon	CDS
3	18	43	4533	4561	75.862	29	exon	intron
3	37	73	10116	10156	71.429	42	exon	intron
3	1	20	1246	1264	80.0	20	exon	intron
3	7	48	6298	6341	68.75	48	exon	intron
3	21	42	1414	1393	76.0	25	exon	intron
3	7	29	6926	6907	78.261	23	exon	intron
3	20	73	1259	1204	67.797	59	exon	intron
3	30	54	3358	3379	76.0	25	exon	intron
3	35	56	4713	4729	72.727	22	exon	CDS
4	1	86	4171	4256	100.0	86	exon	CDS
4	67	86	7487	7506	85.714	21	exon	intron
4	4	24	6733	6757	80.0	25	exon	intron
4	15	32	7525	7509	83.333	18	exon	intron
4	3	36	497	459	70.0	40	exon	intron
4	9	34	4454	4430	74.074	27	exon	intron
4	15	52	4959	4996	69.048	42	exon	intron
4	45	80	6330	6298	68.421	38	exon	intron
4	40	72	9848	9875	69.697	33	exon	intron
4	7	35	455	430	70.968	31	exon	intron
4	8	33	1055	1079	73.077	26	exon	intron
4	63	85	5613	5591	75.0	24	exon	intron
4	5	32	7644	7667	71.429	28	exon	intron
4	19	50	253	288	66.667	39	exon	intron
5	1	110	4611	4720	100.0	110	exon	CDS
5	78	99	11456	11474	86.364	22	exon	intron
5	68	91	4103	4082	80.0	25	exon	intron
5	30	65	239	207	71.053	38	exon	intron
5	9	29	6721	6741	80.952	21	exon	intron
5	24	44	9473	9453	78.261	23	exon	intron
5	80	93	5074	5057	77.778	18	exon	intron
5	37	56	7598	7625	71.429	28	exon	intron
5	63	81	3233	3250	78.947	19	exon	CDS
6	1	147	5338	5484	100.0	147	exon	CDS
6	4	23	1221	1241	85.714	21	exon	intron
6	73	90	10234	10254	80.952	21	exon	intron
6	75	93	10860	10877	84.211	19	exon	intron
6	4	20	732	749	83.333	18	exon	intron
6	10	37	5020	5052	72.727	33	exon	intron
6	110	127	6121	6135	83.333	18	exon	intron
6	20	41	5922	5941	78.261	23	exon	intron
6	33	51	6878	6859	80.0	20	exon	intron
6	49	73	1045	1070	75.0	28	exon	intron
6	13	43	3359	3388	72.727	33	exon	intron
6	113	128	10456	10436	76.19	21	exon	intron
6	34	59	2959	2934	73.077	26	exon	intron
6	55	76	5045	5067	75.0	24	exon	intron
6	64	86	8829	8810	73.913	23	exon	intron
6	93	118	694	666	70.0	30	exon	intron
6	11	27	10884	10866	78.947	19	exon	intron
7	1	84	6204	6287	100.0	84	exon	CDS
7	4	21	6630	6647	88.889	18	exon	intron
7	11	26	3567	3584	83.333	18	exon	intron
7	47	78	9050	9022	69.697	33	exon	intron
7	45	62	10145	10162	78.947	19	exon	intron
