exon_index	sstart	send	pident	length	bitscore	evalue	methods	subject_mid
1	1765	1890	79.31	75	35.9	1.85e-07	blastn,tblastx	1834.0
1	1972	1910	85.185	34	25.9	0.2	blastn,tblastx	1930.5
1	2001	2288	100.0	288	430.0	1.51e-123	blastn,tblastx	2144.5
1	2510	2432	82.927	41	34.8	0.000412	blastn,tblastx	2481.0
1	2726	2650	70.909	55	25.9	0.063	blastn,tblastx	2690.0
2	6098	6161	100.0	64	97.9	3.56e-24	blastn,tblastx	6129.5
4	12717	12804	100.0	90	136.0	1.36e-35	blastn,tblastx	12760.5
5	13115	13236	100.0	123	185.0	3.57e-50	blastn,tblastx	13175.0
6	18871	18964	100.0	95	144.0	8.54e-38	blastn,tblastx	18918.0
6	22157	22173	74.074	27	16.6	2.4	blastn,tblastx	22165.0
7	24590	24591	100.0	172	258.0	6.51e-72	blastn,tblastx	24590.5
8	25282	25282	100.0	102	154.0	6.97e-41	blastn,tblastx	25282.5
9	2952	3026	74.419	43	25.1	0.37	blastn,tblastx	2992.0
9	4874	4883	75.0	36	21.4	1.5	blastn,tblastx	4878.25
9	26010	26524	100.0	515	768.0	0.0	blastn,tblastx	26267.0
