exon_index	qstart	qend	sstart	send	pident	length	bitscore	evalue	frame	evidence
1	3	1271	2003	3271	100.0	423	1044.0	0.0	2	tblastx:e1e1
1	2	1270	2002	3270	100.0	423	1044.0	0.0	1	tblastx:e1e1
1	1272	1	3272	2001	100.0	424	1037.0	0.0	-2	tblastx:e1e1
1	1271	3	3271	2003	100.0	423	1037.0	0.0	-3	tblastx:e1e1
1	1270	2	3270	2002	100.0	423	1036.0	0.0	-1	tblastx:e1e1
1	1	1272	2001	3272	100.0	424	1024.0	0.0	3	tblastx:e1e1
1	745	515	2787	2557	31.169	77	32.7	6.64e-15	-1	tblastx:e1e1
1	787	557	2745	2515	31.169	77	32.7	6.64e-15	-1	tblastx:e1e1
1	1017	877	3033	2893	36.17	47	31.3	6.64e-15	-1	tblastx:e1e1
1	1033	893	3017	2877	36.17	47	31.3	6.64e-15	-2	tblastx:e1e1
1	1112	1017	3152	3057	46.875	32	25.4	6.64e-15	-2	tblastx:e1e1
1	1152	1057	3112	3017	46.875	32	25.4	6.64e-15	-3	tblastx:e1e1
1	505	437	2582	2514	43.478	23	24.0	6.64e-15	-2	tblastx:e1e1
1	582	514	2505	2437	43.478	23	24.0	6.64e-15	-1	tblastx:e1e1
1	893	867	2910	2884	88.889	9	23.5	6.64e-15	-1	tblastx:e1e1
1	910	884	2893	2867	88.889	9	23.5	6.64e-15	-3	tblastx:e1e1
1	863	1039	2868	3044	37.288	59	48.3	7.52e-12	3	tblastx:e1e1
1	1066	1167	3098	3199	35.294	34	25.8	7.52e-12	2	tblastx:e1e1
1	1150	1179	3260	3289	60.0	10	19.9	7.52e-12	2	tblastx:e1e1
1	912	874	2913	2875	76.923	13	29.0	1.86e-11	-1	tblastx:e1e1
1	592	515	2602	2525	53.846	26	28.1	1.86e-11	-3	tblastx:e1e1
1	1124	1008	3064	2948	35.897	39	27.6	1.86e-11	-3	tblastx:e1e1
1	745	665	2762	2682	33.333	27	19.9	1.86e-11	-2	tblastx:e1e1
