method	exon_index	sstart	send	reason	detail
blastn	1	12493	12467	low_complexity	entropy<0.5 fraction
blastn	1	19914	19898	basic	len/pident 17/100.0
blastn	1	18601	18585	basic	len/pident 17/94.118
blastn	1	10326	10340	basic	len/pident 15/93.333
blastn	1	18592	18606	basic	len/pident 15/93.333
blastn	1	1686	1702	basic	len/pident 17/88.235
blastn	1	12492	12471	low_complexity	entropy<0.5 fraction
blastn	1	19574	19588	basic	len/pident 15/93.333
blastn	1	240	227	basic	len/pident 14/92.857
blastn	1	1287	1271	basic	len/pident 17/88.235
blastn	1	1664	1680	basic	len/pident 17/88.235
blastn	1	4338	4351	basic	len/pident 14/92.857
blastn	1	16191	16204	basic	len/pident 14/92.857
blastn	1	1509	1519	basic	len/pident 11/100.0
blastn	1	3326	3341	basic	len/pident 16/87.5
blastn	1	5479	5489	basic	len/pident 11/100.0
blastn	1	7245	7255	basic	len/pident 11/100.0
blastn	1	12482	12467	basic	len/pident 16/87.5
blastn	1	15762	15772	basic	len/pident 11/100.0
blastn	1	16823	16807	basic	len/pident 17/88.235
blastn	1	18272	18262	basic	len/pident 11/100.0
blastn	2	9601	9588	basic	len/pident 14/92.857
blastn	2	1718	1728	basic	len/pident 11/100.0
blastn	2	19261	19275	basic	len/pident 17/88.235
blastn	2	16524	16536	basic	len/pident 13/92.308
blastn	2	2943	2932	basic	len/pident 13/92.308
blastn	2	3103	3114	basic	len/pident 13/92.308
blastn	2	3153	3144	basic	len/pident 10/100.0
blastn	2	3258	3267	basic	len/pident 10/100.0
blastn	2	14606	14615	basic	len/pident 10/100.0
blastn	2	16184	16193	basic	len/pident 10/100.0
blastn	2	16264	16255	basic	len/pident 10/100.0
blastn	2	2169	2153	basic	len/pident 17/82.353
blastn	2	3909	3922	basic	len/pident 15/86.667
blastn	2	3954	3938	basic	len/pident 17/82.353
blastn	2	4306	4317	basic	len/pident 12/91.667
blastn	2	6471	6482	basic	len/pident 12/91.667
blastn	2	6526	6510	basic	len/pident 17/82.353
blastn	2	10331	10320	basic	len/pident 12/91.667
blastn	2	10579	10568	basic	len/pident 12/91.667
blastn	2	10614	10603	basic	len/pident 12/91.667
blastn	2	15483	15472	basic	len/pident 12/91.667
blastn	2	16166	16182	basic	len/pident 17/82.353
blastn	2	1569	1577	basic	len/pident 9/100.0
blastn	2	1783	1791	basic	len/pident 9/100.0
blastn	2	1849	1857	basic	len/pident 9/100.0
blastn	2	1929	1937	basic	len/pident 9/100.0
blastn	2	2997	3012	basic	len/pident 17/82.353
blastn	2	3293	3282	basic	len/pident 14/85.714
blastn	2	3476	3484	basic	len/pident 9/100.0
blastn	2	4001	3993	basic	len/pident 9/100.0
blastn	2	4292	4279	basic	len/pident 14/85.714
blastn	2	4806	4814	basic	len/pident 9/100.0
blastn	2	6296	6304	basic	len/pident 9/100.0
blastn	2	11781	11789	basic	len/pident 9/100.0
blastn	2	15906	15893	basic	len/pident 14/85.714
blastn	2	16132	16140	basic	len/pident 9/100.0
blastn	2	16365	16357	basic	len/pident 9/100.0
blastn	2	16486	16478	basic	len/pident 9/100.0
blastn	2	17386	17399	basic	len/pident 14/85.714
blastn	2	17522	17530	basic	len/pident 9/100.0
blastn	2	17903	17916	basic	len/pident 14/85.714
blastn	2	18076	18089	basic	len/pident 14/85.714
blastn	2	18097	18089	basic	len/pident 9/100.0
blastn	2	19510	19502	basic	len/pident 9/100.0
blastn	3	9370	9386	basic	len/pident 17/88.235
blastn	3	14203	14187	basic	len/pident 17/88.235
blastn	3	2744	2754	basic	len/pident 11/100.0
blastn	3	4204	4194	basic	len/pident 11/100.0
blastn	3	8370	8380	basic	len/pident 11/100.0
blastn	3	730	721	basic	len/pident 10/100.0
blastn	3	2784	2770	basic	len/pident 15/86.667
blastn	3	2865	2874	basic	len/pident 10/100.0
blastn	3	3090	3101	basic	len/pident 13/92.308
blastn	3	3353	3362	basic	len/pident 10/100.0
blastn	3	3548	3559	basic	len/pident 13/92.308
blastn	3	8070	8056	basic	len/pident 15/86.667
blastn	3	11470	11461	basic	len/pident 10/100.0
blastn	3	13263	13254	basic	len/pident 10/100.0
blastn	3	14219	14228	basic	len/pident 10/100.0
blastn	3	14629	14620	basic	len/pident 10/100.0
blastn	3	15081	15072	basic	len/pident 10/100.0
